episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,4000,-433.0197,-433.0197,4000,0,0,0,1,0.6617,1.447,max_steps,11.7,-0.020786,0.550488,-0.898651,0.896234,2.724108,1.86685,0.006726,5.986796,0.49778,0.444516,-0.987382,1.0,,,,,,,,,,,,,250,gru
2,8000,-766.5719,-599.7958,4000,0,0,0,1,0.9044,1.453,max_steps,26.0,-0.022968,0.553421,-0.89774,0.897785,2.780485,1.881521,0.00311,5.993079,0.516193,0.427075,-0.611821,1.0,-1.182204,2.281881,2.344496,,0.905138,0.174717,3.729744,0.0005,0.0005,0.499251,-2.736097,0.002476,500,gru
3,12000,-1187.8939,-795.8285,4000,0,0,0,1,2.1153,1.514,max_steps,42.3,-0.014145,0.541701,-0.895523,0.898507,2.798971,1.788866,0.006129,5.997208,0.495233,0.441673,-0.684528,1.0,-1.244733,1.817864,2.360833,,0.8058,0.173303,3.274799,0.0005,0.0005,0.498253,-2.755344,0.005339,750,gru
4,16000,-538.6591,-731.5362,4000,0,0,0,1,0.8409,1.54,max_steps,57.9,-0.007609,0.533362,-0.895279,0.896165,2.90505,1.807514,0.003749,5.985207,0.482707,0.454455,-0.999272,1.0,-1.291849,1.90976,2.348128,,0.817616,0.190271,3.418681,0.0005,0.0005,0.497257,-2.754406,0.007876,1000,gru
5,19739,-0.6773,-585.3644,3739,1,1,0,0,0.2925,1.573,goal,72.7,0.001551,0.532532,-0.898696,0.893885,2.970478,1.788101,0.012492,5.972823,0.502678,0.436898,-0.304818,1.0,-1.356415,1.342469,2.353994,,0.75103,0.151836,3.428323,0.0005,0.0005,0.496264,-2.76641,0.010206,1234,gru
6,23344,-1255.8055,-697.1046,3605,0,0,1,0,2.6146,1.613,collision,88.6,0.005016,0.532937,-0.894621,0.891525,3.114838,1.76644,0.006686,5.991205,0.459149,0.444485,-0.703697,1.001162,-1.432171,1.088638,2.350621,,0.664691,0.059525,3.278696,0.0005,0.0005,0.495272,-2.771943,0.012429,1460,gru
7,26042,-1107.8119,-755.7771,2698,0,0,1,0,3.1367,1.658,collision,100.5,0.014589,0.523322,-0.894621,0.894486,3.216515,1.762614,0.010874,5.991266,0.439034,0.462823,-0.883109,1.0,-1.526192,0.73919,2.333238,,0.511182,0.080808,2.942905,0.0005,0.0005,0.494282,-2.767617,0.014621,1629,gru
8,30042,-1083.9719,-796.8014,4000,0,0,0,1,1.8532,1.683,max_steps,117.9,-0.001705,0.520873,-0.896743,0.895408,3.291744,1.7434,0.007305,5.987077,0.494477,0.441413,-0.593909,1.0,-1.670332,0.523626,2.334514,,0.386873,0.073711,2.764379,0.0005,0.0005,0.493295,-2.776382,0.016803,1879,gru
9,33658,11.1079,-707.0337,3616,1,1,0,0,0.2917,1.691,goal,133.6,-0.004392,0.52028,-0.897358,0.894832,3.348624,1.740791,0.014673,5.993421,0.508477,0.425389,-0.286618,1.0,-1.899743,5.264729,2.343999,,0.25727,0.07697,1.384675,0.0005,0.0005,0.49231,-2.790952,0.018962,2105,gru
10,37658,-632.7658,-699.6069,4000,0,0,0,1,1.0006,1.676,max_steps,150.3,-0.006762,0.527571,-0.89828,0.896901,3.341241,1.762047,0.011841,5.993251,0.461847,0.457876,-1.0,1.0,-2.204619,1.915282,2.341589,,0.276641,0.046843,1.660856,0.0005,0.0005,0.491327,-2.797134,0.020672,2355,gru
