global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
8000,2,-1.159688,2.818208,2.328391,,0.950988,0.221781,3.812056,0.0005,0.0005,0.4995,-2.722953,0.001709,gru
8000,2,-1.204721,1.745554,2.360602,,0.859289,0.127654,3.647431,0.0005,0.0005,0.499001,-2.749241,0.003242,gru
12000,3,-1.230163,2.191497,2.360309,,0.829564,0.208096,3.29666,0.0005,0.0005,0.498502,-2.752999,0.004668,gru
12000,3,-1.259302,1.444232,2.361357,,0.782036,0.138511,3.252937,0.0005,0.0005,0.498004,-2.75769,0.00601,gru
16000,4,-1.275551,2.433541,2.344115,,0.863517,0.197771,3.519505,0.0005,0.0005,0.497506,-2.749631,0.007272,gru
16000,4,-1.308147,1.38598,2.352142,,0.771716,0.18277,3.317858,0.0005,0.0005,0.497008,-2.759181,0.00848,gru
19739,5,-1.333682,1.344854,2.343851,,0.755093,0.202844,3.350451,0.0005,0.0005,0.496512,-2.757337,0.009642,gru
19739,5,-1.379148,1.340084,2.364136,,0.746968,0.100827,3.506195,0.0005,0.0005,0.496015,-2.775483,0.01077,gru
23344,6,-1.416099,1.171662,2.360271,,0.694085,0.058593,3.327242,0.0005,0.0005,0.495519,-2.776738,0.01188,gru
23344,6,-1.448243,1.005613,2.340971,,0.635297,0.060456,3.23015,0.0005,0.0005,0.495024,-2.767148,0.012979,gru
26042,7,-1.497479,0.742601,2.333573,,0.522529,0.084735,2.870719,0.0005,0.0005,0.494529,-2.765887,0.014076,gru
26042,7,-1.554905,0.735779,2.332902,,0.499834,0.076881,3.015091,0.0005,0.0005,0.494035,-2.769347,0.015166,gru
30042,8,-1.626148,0.456195,2.333052,,0.376054,0.09407,2.573054,0.0005,0.0005,0.493542,-2.773384,0.016261,gru
30042,8,-1.714516,0.591057,2.335975,,0.397692,0.053353,2.955705,0.0005,0.0005,0.493049,-2.779379,0.017345,gru
33658,9,-1.832789,10.357639,2.356803,,0.3284,0.074748,1.311427,0.0005,0.0005,0.492556,-2.798041,0.018419,gru
33658,9,-1.966698,0.171819,2.331196,,0.18614,0.079192,1.457924,0.0005,0.0005,0.492064,-2.783862,0.019505,gru
37658,10,-2.135427,1.10977,2.336146,,0.226695,0.054174,0.933,0.0005,0.0005,0.491573,-2.791302,0.020438,gru
37658,10,-2.27381,2.720794,2.347032,,0.326587,0.039512,2.388713,0.0005,0.0005,0.491082,-2.802966,0.020906,gru
41658,11,-2.293745,0.205522,2.323193,,0.286021,0.141401,3.058292,0.0005,0.0005,0.490591,-2.789957,0.020973,gru
41658,11,-2.251996,10.5702,2.360754,,0.411353,0.079235,4.039878,0.0005,0.0005,0.490101,-2.820626,0.02077,gru
45658,12,-2.171814,0.202735,2.36199,,0.246372,0.091557,2.927398,0.0005,0.0005,0.489612,-2.825466,0.020467,gru
45658,12,-2.101791,0.138948,2.347895,,0.196428,0.104189,1.853021,0.0005,0.0005,0.489122,-2.819361,0.020153,gru
49658,13,-2.04058,1.970516,2.34312,,0.222866,0.052346,1.146142,0.0005,0.0005,0.488634,-2.819893,0.019868,gru
49658,13,-1.993939,0.101271,2.343545,,0.162043,0.114184,0.442371,0.0005,0.0005,0.488145,-2.82414,0.019643,gru
53658,14,-1.959688,0.149243,2.337925,,0.209942,0.057556,0.95323,0.0005,0.0005,0.487657,-2.824053,0.0195,gru
53658,14,-1.941342,1.810303,2.36613,,0.229994,0.162915,0.595023,0.0005,0.0005,0.48717,-2.848244,0.019408,gru
57658,15,-1.937241,0.11361,2.373425,,0.175558,0.099891,0.967606,0.0005,0.0005,0.486683,-2.857457,0.019365,gru
57658,15,-1.927431,0.155696,2.336285,,0.207254,0.098695,1.30393,0.0005,0.0005,0.486196,-2.834686,0.019367,gru
61658,16,-1.93318,0.193065,2.365786,,0.230585,0.151178,1.64955,0.0005,0.0005,0.48571,-2.859899,0.019415,gru
61658,16,-1.942409,0.157983,2.343693,,0.19825,0.094295,1.133522,0.0005,0.0005,0.485224,-2.847913,0.019491,gru
65658,17,-1.975627,0.153289,2.359619,,0.203749,0.119992,1.37081,0.0005,0.0005,0.484739,-2.863375,0.0196,gru
65658,17,-2.004697,0.141144,2.339927,,0.195188,0.093972,0.83822,0.0005,0.0005,0.484254,-2.853077,0.019728,gru
69658,18,-2.034854,0.122851,2.339658,,0.187637,0.051499,0.710732,0.0005,0.0005,0.48377,-2.856824,0.019871,gru
69658,18,-2.088937,0.801118,2.335611,,0.247682,0.147473,0.759591,0.0005,0.0005,0.483287,-2.857825,0.020035,gru
72849,19,-2.121785,0.134407,2.321943,,0.198372,0.151125,0.252433,0.0005,0.0005,0.482804,-2.851822,0.020197,gru
72849,19,-2.171026,1.960853,2.331164,,0.231739,0.072885,0.905836,0.0005,0.0005,0.482322,-2.862457,0.020315,gru
76849,20,-2.19504,0.100646,2.341227,,0.183587,0.113314,1.241862,0.0005,0.0005,0.48184,-2.873722,0.020371,gru
76849,20,-2.184961,1.080926,2.335264,,0.227177,0.078854,1.525108,0.0005,0.0005,0.481359,-2.873307,0.020359,gru
80849,21,-2.166883,0.137118,2.332318,,0.219986,0.071279,1.32444,0.0005,0.0005,0.480878,-2.875085,0.0203,gru
80849,21,-2.153734,0.125971,2.361083,,0.202087,0.062625,1.35835,0.0005,0.0005,0.480398,-2.900073,0.0202,gru
84849,22,-2.118102,0.141287,2.338958,,0.203475,0.088397,0.38354,0.0005,0.0005,0.479918,-2.887811,0.020109,gru
84849,22,-2.094432,0.098092,2.359925,,0.170294,0.080928,0.596553,0.0005,0.0005,0.479438,-2.90714,0.020012,gru
88849,23,-2.062754,0.107882,2.331539,,0.171239,0.099843,0.223772,0.0005,0.0005,0.47896,-2.89023,0.019932,gru
88849,23,-2.057596,1.826164,2.349537,,0.236278,0.13266,0.466907,0.0005,0.0005,0.478481,-2.907409,0.019881,gru
92849,24,-2.049541,0.126169,2.355821,,0.180729,0.07839,0.586302,0.0005,0.0005,0.478003,-2.915989,0.019862,gru
92849,24,-2.043907,1.129963,2.325948,,0.203496,0.15054,0.465461,0.0005,0.0005,0.477525,-2.897893,0.019866,gru
96849,25,-2.053575,0.118189,2.356522,,0.177522,0.040103,0.789652,0.0005,0.0005,0.477048,-2.924416,0.019902,gru
96849,25,-2.068053,0.065652,2.358429,,0.144666,0.108888,0.261817,0.0005,0.0005,0.476571,-2.929783,0.019948,gru
99528,26,-2.092346,0.100151,2.356549,,0.167813,0.083447,0.510521,0.0005,0.0005,0.476095,-2.932348,0.020013,gru
