episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,3764,-256.4583,-256.4583,3764,0,0,1,0,0.9819,1.861,collision,16.0,0.048787,0.42991,-0.872914,0.876209,3.13494,1.442045,0.03265,5.921629,0.463303,0.442639,-0.737649,1.0,,,,,,,,,,,,,0,gru
2,7131,-545.8744,-401.1663,3367,0,0,1,0,2.2495,1.879,collision,32.5,0.040892,0.422546,-0.877267,0.880168,3.105541,1.396739,0.101663,5.92529,0.463319,0.446528,-0.652286,1.006626,,,,,,,,,,,,,0,gru
3,11071,-523.6473,-441.9933,3940,0,0,1,0,1.3379,1.866,collision,43.8,0.048288,0.430151,-0.874938,0.875076,3.090756,1.424176,0.021604,5.934566,0.462371,0.446312,-0.754802,1.0,,,,,,,,,,,,,0,gru
4,14899,-248.1552,-393.5338,3828,0,0,1,0,0.9586,1.861,collision,57.0,0.05002,0.42876,-0.844282,0.878204,3.135374,1.428922,0.054054,5.917665,0.458889,0.448717,-0.75446,1.0,0.039115,1.895852,2.179415,0.009999,1.894314,0.069195,0.444224,0.000185,,,,,0,gru
5,17111,-469.4488,-408.7168,2212,0,0,1,0,3.187,1.897,collision,63.8,0.069602,0.416864,-0.872395,0.888134,3.173246,1.407808,0.078257,5.892384,0.425197,0.472314,-1.0,1.0,,,,,,,,,,,,,0,gru
6,20738,-570.3928,-435.6628,3627,0,0,1,0,1.8101,1.899,collision,74.3,0.065582,0.426249,-0.890109,0.890976,3.236786,1.40457,0.028679,5.926342,0.452564,0.457933,-0.801709,1.0,,,,,,,,,,,,,0,gru
7,24738,-251.481,-409.3511,4000,0,0,0,1,1.0401,1.9,max_steps,86.4,0.06981,0.427804,-0.876435,0.881418,3.266657,1.414879,0.126628,5.973226,0.455073,0.468494,-0.766388,1.002781,,,,,,,,,,,,,0,gru
8,27428,-478.7787,-418.0296,2690,0,0,1,0,2.696,1.896,collision,96.3,0.038238,0.424689,-0.877644,0.869828,3.224142,1.428756,0.173949,5.951102,0.451534,0.452391,-0.772349,1.0,0.029363,1.658171,2.179152,0.009996,1.634208,0.23955,0.905728,0.000245,,,,,0,gru
9,30712,-539.3753,-431.5124,3284,0,0,1,0,2.1411,1.877,collision,106.8,0.05981,0.43071,-0.880801,0.884203,3.20681,1.42631,0.019639,5.912364,0.453482,0.455821,-0.844996,1.0,,,,,,,,,,,,,0,gru
10,34402,549.7217,-333.389,3690,1,1,0,0,0.2842,1.906,goal,117.3,0.06164,0.422925,-0.84718,0.877735,3.235328,1.414751,0.056156,5.961968,0.455378,0.471582,-0.97457,1.0,,,,,,,,,,,,,0,gru
