episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,3770,1218.9578,1218.9578,3770,1,1,0,0,0.2928,1.599,goal,25.6,0.0032,0.524226,-0.898869,0.896178,3.06266,1.821177,0.004182,5.982833,0.499736,0.435133,-0.240341,1.0,-1.170429,1.562088,2.359709,0.498727,1.237127,0.05189,2.048982,6.5e-05,6.5e-05,0.498727,-2.33633,0.001039,236,gru
2,8446,-715.1842,251.8868,4676,0,0,1,0,1.9973,1.726,collision,55.6,-0.023881,0.538325,-0.898277,0.897054,3.439018,1.606655,0.017051,5.985733,0.45705,0.425208,-0.693578,1.003201,-1.237986,1.143472,2.357265,0.496339,1.028929,0.03499,2.048705,8e-05,8e-05,0.496339,-2.350746,0.002922,529,gru
3,12720,527.5788,343.7841,4274,0,0,1,0,0.6234,1.624,collision,80.6,-0.001531,0.528948,-0.897809,0.898699,3.094363,1.743556,0.008699,5.99058,0.454754,0.454643,-1.0,1.0,-1.363731,0.934767,2.355897,0.493962,0.930024,0.032846,2.133064,9.5e-05,9.5e-05,0.493962,-2.365893,0.005207,797,gru
4,16983,-756.0063,68.8365,4263,0,0,1,0,2.0648,1.661,collision,105.4,0.022901,0.523629,-0.897002,0.898066,3.20953,1.740093,0.010334,5.981791,0.462764,0.441981,-0.594339,1.0,-1.6963,0.476244,2.353416,0.491597,0.652625,0.035242,1.940008,0.00011,0.00011,0.491597,-2.380244,0.008337,1064,gru
5,20792,-639.9947,-72.9297,3809,0,0,1,0,2.3237,1.639,collision,129.2,-0.014057,0.5312,-0.898118,0.894392,3.206776,1.768999,0.032948,5.994975,0.446497,0.461833,-1.0,1.0,-2.321572,0.18429,2.354156,0.489243,0.291023,0.045447,1.308716,0.000125,0.000125,0.489243,-2.396868,0.010589,1303,gru
6,25204,-332.8153,-116.244,4412,0,0,1,0,1.4043,1.65,collision,153.0,0.00146,0.531952,-0.895549,0.896525,3.228159,1.7489,0.024826,5.985624,0.483345,0.427467,-0.561619,1.0,-2.193823,0.084166,2.346686,0.486901,0.185638,0.048599,0.423608,0.00014,0.00014,0.486901,-2.40759,0.010174,1579,gru
7,28822,1226.6648,75.6001,3618,1,1,0,0,0.2997,1.63,goal,169.5,0.012733,0.530319,-0.899041,0.897144,3.163753,1.769622,0.018641,5.990029,0.49484,0.446327,-0.425597,1.002448,-2.263485,0.055784,2.353942,0.484569,0.129045,0.026674,0.201581,0.000155,0.000155,0.484569,-2.428915,0.010457,1806,gru
8,33299,-396.97,16.5289,4477,0,0,1,0,1.5263,1.619,collision,188.0,0.017217,0.52903,-0.897158,0.89665,3.124895,1.773237,0.010567,5.990906,0.442839,0.470125,-1.0,1.0,-2.272174,0.077271,2.357878,0.482249,0.121271,0.024893,0.082882,0.00017,0.00017,0.482249,-2.44788,0.010613,2086,gru
9,37648,-201.1359,-7.6561,4349,0,0,1,0,1.3321,1.616,collision,213.5,-0.000698,0.53749,-0.898391,0.896002,3.183139,1.792282,0.01644,5.988632,0.445882,0.464871,-1.0,1.0,-2.276368,0.049578,2.358572,0.47994,0.096539,0.032877,0.041673,0.000185,0.000185,0.47994,-2.464507,0.010697,2358,gru
10,42013,625.5528,55.6648,4365,0,0,1,0,0.5605,1.612,collision,237.8,0.018998,0.529988,-0.894357,0.898019,3.076973,1.757704,0.007602,5.994974,0.465647,0.443566,-0.498054,1.008535,-2.285292,0.039662,2.360317,0.477642,0.084255,0.027892,0.033807,0.0002,0.0002,0.477642,-2.481916,0.010831,2631,gru
11,46396,-188.4401,-85.075,4383,0,0,1,0,1.2663,1.607,collision,262.3,0.009278,0.529536,-0.896323,0.897106,3.038168,1.750729,0.015619,5.988622,0.443334,0.466349,-1.0,1.0,-2.288582,0.084242,2.360488,0.475354,0.10237,0.022516,0.039386,0.0002,0.0002,0.475354,-2.498172,0.010974,2905,gru
