episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,2181,565.5406,565.5406,2181,0,0,1,0,1.776,1.799,collision,17.4,-0.007465,0.424856,-0.872766,0.863381,2.86916,1.444352,0.046267,5.874415,0.416047,0.414651,-0.716427,1.0,,,,,,,,,,,,,,0,gru
2,4681,240.6161,403.0784,2500,0,0,0,1,2.4687,1.789,max_steps,33.0,-0.002335,0.4299,-0.855763,0.880833,2.81937,1.42793,0.053231,5.925694,0.437891,0.439539,-0.659965,1.0,,,,,,,,,,,,,,0,gru
3,5984,395.7692,400.642,1303,0,0,1,0,2.4394,1.8,collision,41.6,-0.005806,0.423414,-0.845454,0.857856,2.823271,1.412164,0.062733,5.795822,0.436091,0.417956,-0.112272,1.0,,,,,,,,,,,,,,0,gru
4,8484,283.9051,371.4578,2500,0,0,0,1,2.3983,1.782,max_steps,63.4,-0.00227,0.428158,-0.882376,0.866125,2.819936,1.44384,0.08239,5.845798,0.413507,0.442462,-0.971158,1.0,0.001262,0.003402,1.838062,0.004994,0.056167,0.056105,0.026003,0.0335,3.7e-05,,,,,0,gru
5,10670,683.0518,433.7766,2186,0,0,1,0,1.5902,1.808,collision,77.5,-0.027751,0.424351,-0.86829,0.854811,2.824604,1.393862,0.098847,5.88357,0.419232,0.404346,-0.460397,1.009792,,,,,,,,,,,,,,0,gru
6,13170,645.8918,469.1291,2500,0,0,0,1,1.5759,1.813,max_steps,94.5,-0.006876,0.419169,-0.872715,0.861266,2.885339,1.444305,0.077602,5.935362,0.420103,0.423265,-0.849457,1.0,,,,,,,,,,,,,,0,gru
7,15574,396.3221,458.7281,2404,0,0,1,0,2.1076,1.81,collision,109.0,-0.022498,0.428842,-0.856106,0.862055,2.859054,1.41188,0.092278,5.891389,0.410794,0.438183,-0.942528,1.0,,,,,,,,,,,,,,0,gru
8,17829,414.1271,453.153,2255,0,0,1,0,2.1402,1.774,collision,124.6,-0.024356,0.428501,-0.870447,0.870643,2.762686,1.407067,0.026455,5.954264,0.399106,0.402994,-0.588521,1.0,0.023254,0.0036,1.837987,0.004982,0.057803,0.055841,0.028091,0.033797,4.9e-05,,,,,0,gru
9,19718,349.1615,441.5984,1889,0,0,1,0,2.4299,1.791,collision,136.7,-0.041693,0.422011,-0.860782,0.85063,2.773685,1.412316,0.076242,5.792916,0.384102,0.413399,-0.858775,1.003183,,,,,,,,,,,,,,0,gru
10,20585,238.3033,421.2689,867,0,0,1,0,3.0152,1.827,collision,142.1,-0.053001,0.425943,-0.825655,0.865531,2.868646,1.382983,0.159956,5.861483,0.381371,0.381629,-0.2805,1.002864,,,,,,,,,,,,,,0,gru
11,21727,330.8195,397.7968,1142,0,0,1,0,2.7298,1.82,collision,149.3,-0.028761,0.415223,-0.881518,0.892164,2.859959,1.425725,0.085137,5.911403,0.413735,0.408915,-0.266718,1.008211,,,,,,,,,,,,,,0,gru
12,24227,575.9552,431.3307,2500,0,0,0,1,1.6697,1.812,max_steps,165.0,-0.023989,0.423175,-0.874985,0.879092,2.846941,1.428166,0.094427,5.892673,0.450402,0.425443,-0.627573,1.0,0.037551,0.003258,1.837774,0.00497,0.047351,0.059042,0.020253,0.03336,6.1e-05,,,,,0,gru
13,26727,479.8105,439.7348,2500,0,0,0,1,1.8855,1.793,max_steps,180.7,-0.032853,0.422954,-0.888966,0.87184,2.797945,1.415357,0.1246,5.883433,0.433629,0.416774,-0.638086,1.0,,,,,,,,,,,,,,0,gru
14,28235,441.4652,455.4908,1508,0,0,1,0,2.3952,1.775,collision,189.6,-0.041171,0.427059,-0.884302,0.854398,2.812337,1.448607,0.099197,5.879901,0.405947,0.404405,-0.432391,1.00937,,,,,,,,,,,,,,0,gru
15,29503,371.0356,424.2892,1268,0,0,1,0,2.4737,1.792,collision,197.3,-0.045591,0.423562,-0.877872,0.88707,2.812223,1.431086,0.039258,5.906733,0.375666,0.380437,-0.373039,1.0,,,,,,,,,,,,,,0,gru
16,30147,87.6121,368.4612,644,0,0,1,0,3.3643,1.811,collision,202.2,-0.033868,0.426195,-0.875069,0.803492,2.813512,1.3815,0.119458,5.744579,0.360004,0.396621,-0.62137,1.0,0.020642,0.003747,1.838245,0.004958,0.041314,0.056169,0.013045,0.028515,7.3e-05,,,,,0,gru
17,31212,304.9457,359.3236,1065,0,0,1,0,2.8257,1.768,collision,208.9,-0.05079,0.431396,-0.875302,0.867174,2.732352,1.401817,0.131192,5.736695,0.398259,0.393858,-0.269355,1.002776,,,,,,,,,,,,,,0,gru
18,32363,312.7544,349.1863,1151,0,0,1,0,2.7971,1.74,collision,216.5,-0.026249,0.423515,-0.874999,0.81822,2.691572,1.443668,0.023386,5.897031,0.395235,0.391499,-0.388733,1.002792,,,,,,,,,,,,,,0,gru
19,33238,243.557,338.6258,875,0,0,1,0,2.9289,1.781,collision,222.0,-0.055079,0.435605,-0.863821,0.863592,2.777333,1.374375,0.061224,5.882838,0.429557,0.411737,-0.231092,1.0,,,,,,,,,,,,,,0,gru
20,34210,136.5408,328.4496,972,0,0,1,0,3.1998,1.758,collision,228.2,-0.03778,0.421005,-0.855223,0.858244,2.637348,1.365145,0.175184,5.59647,0.368992,0.402828,-0.796398,1.0,0.01028,0.006412,1.838439,0.004946,0.054211,0.063298,0.010565,0.029348,8.5e-05,,,,,0,gru
21,35023,121.0283,307.4705,813,0,0,1,0,3.2461,1.738,collision,233.4,-0.037826,0.435558,-0.868271,0.832819,2.703882,1.40942,0.11375,5.715651,0.33133,0.377226,-0.729652,1.0,,,,,,,,,,,,,,0,gru
22,35695,174.7012,267.3451,672,0,0,1,0,3.2246,1.749,collision,237.6,-0.029125,0.427116,-0.839764,0.867749,2.718009,1.429173,0.117563,5.69218,0.382837,0.390661,-0.144033,1.0,,,,,,,,,,,,,,0,gru
23,37233,340.6995,253.434,1538,0,0,1,0,2.4931,1.76,collision,247.2,-0.030921,0.420128,-0.870061,0.889435,2.7291,1.43328,0.092433,5.81585,0.345954,0.377696,-0.722983,1.0,,,,,,,,,,,,,,0,gru
24,39733,413.7395,250.6614,2500,0,0,0,1,2.2069,1.745,max_steps,263.8,-0.032001,0.430591,-0.860957,0.843024,2.706529,1.430091,0.061557,5.883757,0.437633,0.447945,-0.978133,1.005241,0.004062,0.004046,1.839145,0.004934,0.033973,0.052468,0.004952,0.026836,9.7e-05,,,,,0,gru
