global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
8484,4,0.019728,0.004766,1.837877,0.004994,0.070233,0.08594,0.035131,0.062415,3.7e-05,,,,,gru
8484,4,0.043769,0.00396,1.837877,0.004994,0.067684,0.030972,0.036119,0.025036,3.7e-05,,,,,gru
8484,4,0.045712,0.004303,1.837918,0.004994,0.065594,0.029392,0.034372,0.021411,3.7e-05,,,,,gru
8484,4,-0.050451,0.003194,1.837939,0.004994,0.057894,0.041382,0.030888,0.029556,3.7e-05,,,,,gru
8484,4,-0.138308,0.004491,1.837942,0.004994,0.057402,0.082273,0.02657,0.042816,3.7e-05,,,,,gru
8484,4,0.098002,0.003462,1.837978,0.004994,0.061108,0.039746,0.033644,0.03265,3.7e-05,,,,,gru
8484,4,0.075996,0.004574,1.838009,0.004994,0.06569,0.051882,0.031075,0.018902,3.7e-05,,,,,gru
8484,4,-0.080315,0.002849,1.838051,0.004994,0.051829,0.061934,0.025926,0.035488,3.7e-05,,,,,gru
8484,4,-0.060135,0.003475,1.838068,0.004994,0.057293,0.036324,0.025186,0.027024,3.7e-05,,,,,gru
8484,4,0.008408,0.002313,1.838084,0.004994,0.049255,0.083814,0.02694,0.029439,3.7e-05,,,,,gru
8484,4,-0.062564,0.002539,1.838104,0.004994,0.050805,0.033296,0.02363,0.019232,3.7e-05,,,,,gru
8484,4,0.107734,0.003235,1.838116,0.004994,0.056165,0.056854,0.0283,0.038083,3.7e-05,,,,,gru
8484,4,0.047724,0.003456,1.838129,0.004994,0.053671,0.010253,0.024393,0.014571,3.7e-05,,,,,gru
8484,4,-0.025167,0.00276,1.838142,0.004994,0.048802,0.057689,0.021804,0.029763,3.7e-05,,,,,gru
8484,4,-0.184623,0.005389,1.838163,0.004994,0.069114,0.201199,0.013511,0.119365,3.7e-05,,,,,gru
8484,4,0.007618,0.003324,1.838162,0.004994,0.050109,0.056755,0.020847,0.019324,3.7e-05,,,,,gru
8484,4,0.119372,0.002263,1.83817,0.004994,0.047765,0.063139,0.024385,0.042046,3.7e-05,,,,,gru
8484,4,-0.074296,0.00359,1.838172,0.004994,0.054866,0.03261,0.01603,0.021063,3.7e-05,,,,,gru
8484,4,-0.04374,0.001988,1.838173,0.004994,0.042653,0.024395,0.01745,0.018771,3.7e-05,,,,,gru
8484,4,0.170785,0.002118,1.838176,0.004994,0.045412,0.042259,0.023866,0.023045,3.7e-05,,,,,gru
17829,8,-0.01928,0.00569,1.838172,0.004982,0.079717,0.073353,0.038423,0.044427,4.9e-05,,,,,gru
17829,8,-0.005139,0.004828,1.838162,0.004982,0.075238,0.039721,0.038136,0.024108,4.9e-05,,,,,gru
17829,8,-0.023521,0.003971,1.838158,0.004982,0.068061,0.048917,0.03739,0.023598,4.9e-05,,,,,gru
17829,8,0.053345,0.005065,1.838145,0.004982,0.071195,0.03991,0.03738,0.03131,4.9e-05,,,,,gru
17829,8,0.159804,0.003557,1.83813,0.004982,0.066753,0.045572,0.041011,0.031588,4.9e-05,,,,,gru
17829,8,-0.007293,0.005156,1.838109,0.004982,0.071658,0.056374,0.032527,0.031988,4.9e-05,,,,,gru
17829,8,0.032019,0.00358,1.838087,0.004982,0.062703,0.04958,0.033483,0.033079,4.9e-05,,,,,gru
17829,8,0.024314,0.004153,1.838062,0.004982,0.065046,0.029172,0.03149,0.02138,4.9e-05,,,,,gru
17829,8,-0.013657,0.003506,1.838039,0.004982,0.058625,0.057729,0.029318,0.040283,4.9e-05,,,,,gru
17829,8,0.109478,0.002841,1.838017,0.004982,0.053795,0.068544,0.032386,0.040504,4.9e-05,,,,,gru
17829,8,0.009005,0.002638,1.837988,0.004982,0.053198,0.04791,0.027678,0.030717,4.9e-05,,,,,gru
17829,8,0.13206,0.003119,1.837962,0.004982,0.054606,0.039052,0.030268,0.02822,4.9e-05,,,,,gru
17829,8,0.065628,0.003696,1.837935,0.004982,0.056456,0.063808,0.025538,0.031785,4.9e-05,,,,,gru
17829,8,-0.05274,0.004244,1.837908,0.004982,0.055473,0.098824,0.019535,0.055342,4.9e-05,,,,,gru
17829,8,-0.094272,0.00218,1.837875,0.004982,0.042859,0.043288,0.018452,0.027931,4.9e-05,,,,,gru
17829,8,-0.005522,0.002587,1.837848,0.004982,0.047283,0.038345,0.019702,0.029045,4.9e-05,,,,,gru
17829,8,0.11077,0.002576,1.837824,0.004982,0.044919,0.053105,0.022192,0.026032,4.9e-05,,,,,gru
17829,8,-0.102152,0.003265,1.837796,0.004982,0.045913,0.102038,0.013706,0.053286,4.9e-05,,,,,gru
17829,8,0.10074,0.002385,1.837774,0.004982,0.041684,0.042479,0.019293,0.023093,4.9e-05,,,,,gru
17829,8,-0.008505,0.002958,1.837746,0.004982,0.040883,0.0791,0.01392,0.048229,4.9e-05,,,,,gru
24227,12,-0.019044,0.005156,1.837719,0.00497,0.071037,0.045623,0.030036,0.019277,6.1e-05,,,,,gru
24227,12,0.049892,0.004606,1.837704,0.00497,0.062403,0.041237,0.031452,0.032687,6.1e-05,,,,,gru
24227,12,0.016842,0.004005,1.837693,0.00497,0.061235,0.058869,0.029089,0.040168,6.1e-05,,,,,gru
24227,12,0.11846,0.002452,1.83769,0.00497,0.051232,0.051522,0.031913,0.025668,6.1e-05,,,,,gru
