global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5858,4,-0.024963,0.00844,1.837877,0.004994,0.075431,0.061375,0.025625,0.028572,3.7e-05,,,,,gru
5858,4,-0.076712,0.010075,1.837877,0.004994,0.078816,0.054723,0.02809,0.037364,3.7e-05,,,,,gru
5858,4,0.095942,0.007066,1.837861,0.004994,0.062691,0.05468,0.015801,0.028403,3.7e-05,,,,,gru
5858,4,0.14994,0.005348,1.837892,0.004994,0.060622,0.06976,0.011347,0.04612,3.7e-05,,,,,gru
5858,4,-0.009842,0.007977,1.837927,0.004994,0.071819,0.085038,0.021163,0.050424,3.7e-05,,,,,gru
5858,4,-0.18122,0.012265,1.837971,0.004994,0.087873,0.043861,0.031812,0.030094,3.7e-05,,,,,gru
5858,4,-0.058605,0.010167,1.838001,0.004994,0.076871,0.048131,0.022986,0.030088,3.7e-05,,,,,gru
5858,4,0.053825,0.006607,1.838037,0.004994,0.069671,0.055953,0.014689,0.032637,3.7e-05,,,,,gru
5858,4,-0.015986,0.007885,1.838075,0.004994,0.072856,0.0304,0.018646,0.022401,3.7e-05,,,,,gru
5858,4,0.069987,0.0067,1.838107,0.004994,0.065153,0.03221,0.012256,0.019143,3.7e-05,,,,,gru
5858,4,-0.087943,0.010141,1.838136,0.004994,0.079901,0.066638,0.021934,0.029241,3.7e-05,,,,,gru
5858,4,0.000579,0.007264,1.838171,0.004994,0.075619,0.032385,0.015276,0.016307,3.7e-05,,,,,gru
11457,8,0.043082,0.004246,1.838195,0.004982,0.06734,0.023726,0.028685,0.01921,4.9e-05,,,,,gru
11457,8,-0.09923,0.008399,1.838229,0.004982,0.081837,0.095394,0.020634,0.050481,4.9e-05,,,,,gru
11457,8,0.141618,0.004435,1.838263,0.004982,0.063766,0.024931,0.034413,0.019728,4.9e-05,,,,,gru
11457,8,0.069701,0.005247,1.838305,0.004982,0.071406,0.03739,0.030791,0.029628,4.9e-05,,,,,gru
11457,8,0.004418,0.00577,1.838345,0.004982,0.071261,0.07858,0.026316,0.048491,4.9e-05,,,,,gru
11457,8,-0.032463,0.006481,1.838394,0.004982,0.071515,0.079825,0.02378,0.044641,4.9e-05,,,,,gru
11457,8,0.098266,0.003185,1.83844,0.004982,0.06161,0.021688,0.031238,0.022694,4.9e-05,,,,,gru
11457,8,-0.045282,0.00549,1.838478,0.004982,0.071928,0.078816,0.022306,0.034834,4.9e-05,,,,,gru
11457,8,-0.004505,0.009136,1.838524,0.004982,0.074955,0.055701,0.022234,0.035152,4.9e-05,,,,,gru
11457,8,0.044571,0.004826,1.838572,0.004982,0.065331,0.041705,0.025452,0.029343,4.9e-05,,,,,gru
11457,8,0.061393,0.005489,1.838624,0.004982,0.064525,0.030026,0.024885,0.017069,4.9e-05,,,,,gru
11457,8,-0.073791,0.005907,1.838681,0.004982,0.066224,0.123991,0.017255,0.067912,4.9e-05,,,,,gru
17242,12,0.086783,0.004077,1.838723,0.00497,0.073774,0.021417,0.044158,0.025822,6.1e-05,,,,,gru
17242,12,-0.021502,0.011543,1.838778,0.00497,0.089707,0.038346,0.037279,0.027396,6.1e-05,,,,,gru
17242,12,-0.057921,0.005166,1.838828,0.00497,0.072012,0.043251,0.033038,0.032321,6.1e-05,,,,,gru
17242,12,-0.068238,0.00473,1.838868,0.00497,0.070679,0.058275,0.031318,0.037838,6.1e-05,,,,,gru
17242,12,0.026475,0.005592,1.838893,0.00497,0.070366,0.027406,0.034005,0.025745,6.1e-05,,,,,gru
17242,12,0.070655,0.009365,1.838912,0.00497,0.074075,0.08819,0.036225,0.047194,6.1e-05,,,,,gru
17242,12,-0.009518,0.00555,1.83895,0.00497,0.063326,0.039709,0.029096,0.027123,6.1e-05,,,,,gru
17242,12,-0.090796,0.005755,1.838992,0.00497,0.06469,0.064766,0.02217,0.045207,6.1e-05,,,,,gru
17242,12,0.13839,0.006253,1.839027,0.00497,0.062454,0.066681,0.03458,0.044679,6.1e-05,,,,,gru
17242,12,0.060032,0.006813,1.839059,0.00497,0.061308,0.076479,0.026475,0.044269,6.1e-05,,,,,gru
17242,12,-0.014007,0.002955,1.8391,0.00497,0.050529,0.048201,0.021588,0.035147,6.1e-05,,,,,gru
17242,12,-0.033028,0.006577,1.839141,0.00497,0.054395,0.051416,0.019764,0.024324,6.1e-05,,,,,gru
22892,16,0.103967,0.003193,1.839164,0.004958,0.045084,0.055719,0.018872,0.029288,7.3e-05,,,,,gru
22892,16,-0.039426,0.00599,1.839208,0.004958,0.055274,0.056711,0.007899,0.024394,7.3e-05,,,,,gru
22892,16,-0.025754,0.005881,1.839261,0.004958,0.054806,0.110529,0.007156,0.056247,7.3e-05,,,,,gru
22892,16,-0.105908,0.007772,1.839337,0.004958,0.056164,0.093156,0.001118,0.042756,7.3e-05,,,,,gru
22892,16,0.129324,0.001912,1.839432,0.004958,0.036304,0.040251,0.0126,0.012025,7.3e-05,,,,,gru
22892,16,0.025798,0.00446,1.839533,0.004958,0.042234,0.103934,0.005123,0.061868,7.3e-05,,,,,gru
22892,16,-0.032725,0.006488,1.839632,0.004958,0.048744,0.103127,0.001115,0.038044,7.3e-05,,,,,gru
22892,16,0.083878,0.002967,1.839751,0.004958,0.035467,0.025217,0.00564,0.008552,7.3e-05,,,,,gru
22892,16,-0.008766,0.004429,1.839867,0.004958,0.036947,0.043162,0.001213,0.024057,7.3e-05,,,,,gru
22892,16,-0.042511,0.005154,1.83998,0.004958,0.039335,0.095218,0.004074,0.053218,7.3e-05,,,,,gru
22892,16,-0.021951,0.005327,1.840091,0.004958,0.040024,0.083012,0.003912,0.014812,7.3e-05,,,,,gru
22892,16,0.13982,0.00296,1.840217,0.004958,0.032594,0.025563,0.003727,0.011098,7.3e-05,,,,,gru
28950,20,-0.0632,0.00565,1.840338,0.004946,0.049551,0.050606,0.00343,0.026336,8.5e-05,,,,,gru
28950,20,0.020648,0.004624,1.840456,0.004946,0.04607,0.059834,0.006559,0.021091,8.5e-05,,,,,gru
28950,20,0.044762,0.007324,1.840557,0.004946,0.053401,0.04099,0.007454,0.021894,8.5e-05,,,,,gru
28950,20,0.013881,0.006871,1.840657,0.004946,0.052561,0.07032,0.005225,0.042082,8.5e-05,,,,,gru
28950,20,-0.060166,0.007388,1.840734,0.004946,0.047839,0.034623,0.001106,0.010307,8.5e-05,,,,,gru
28950,20,0.047471,0.003023,1.840795,0.004946,0.042354,0.051659,0.0056,0.017482,8.5e-05,,,,,gru
28950,20,0.077849,0.005807,1.840866,0.004946,0.04668,0.044769,0.006013,0.025923,8.5e-05,,,,,gru
28950,20,-0.129121,0.008962,1.840936,0.004946,0.058533,0.070055,0.005352,0.042039,8.5e-05,,,,,gru
28950,20,0.054116,0.002326,1.840992,0.004946,0.032515,0.030027,0.003675,0.012862,8.5e-05,,,,,gru
28950,20,-0.095725,0.006896,1.841037,0.004946,0.045817,0.04378,0.006193,0.009892,8.5e-05,,,,,gru
28950,20,0.049965,0.004805,1.841083,0.004946,0.04545,0.044679,0.003704,0.026209,8.5e-05,,,,,gru
28950,20,0.04659,0.005303,1.84113,0.004946,0.042983,0.049174,0.00254,0.016325,8.5e-05,,,,,gru
34708,24,0.061407,0.007572,1.841153,0.004934,0.06262,0.092072,0.001957,0.049803,9.7e-05,,,,,gru
34708,24,0.005701,0.008925,1.841178,0.004934,0.074908,0.030445,0.005991,0.00781,9.7e-05,,,,,gru
34708,24,-0.100311,0.011341,1.841213,0.004934,0.070994,0.076848,0.014536,0.043828,9.7e-05,,,,,gru
34708,24,0.015728,0.009977,1.841242,0.004934,0.071227,0.046803,0.006179,0.027923,9.7e-05,,,,,gru
34708,24,0.060969,0.00854,1.84126,0.004934,0.062515,0.048361,0.003325,0.023382,9.7e-05,,,,,gru
34708,24,-0.10679,0.008659,1.841285,0.004934,0.071841,0.114659,0.015652,0.064346,9.7e-05,,,,,gru
34708,24,0.070541,0.009836,1.841321,0.004934,0.068086,0.062232,0.003176,0.037719,9.7e-05,,,,,gru
34708,24,-0.15998,0.009161,1.841357,0.004934,0.071875,0.083845,0.019449,0.053939,9.7e-05,,,,,gru
34708,24,0.094423,0.007834,1.841395,0.004934,0.062082,0.062199,0.00163,0.037048,9.7e-05,,,,,gru
34708,24,-0.015852,0.00801,1.841434,0.004934,0.061927,0.059907,0.009319,0.029316,9.7e-05,,,,,gru
34708,24,0.038315,0.006408,1.841474,0.004934,0.062398,0.089858,0.005064,0.0524,9.7e-05,,,,,gru
34708,24,-0.042259,0.013183,1.841498,0.004934,0.079771,0.051134,0.010333,0.022503,9.7e-05,,,,,gru
40469,28,0.038864,0.00925,1.841528,0.004922,0.073619,0.101425,0.013979,0.039685,0.0001,,,,,gru
40469,28,-0.071463,0.010239,1.841559,0.004922,0.072414,0.100209,0.00596,0.051984,0.0001,,,,,gru
40469,28,0.025213,0.007145,1.841578,0.004922,0.070817,0.08266,0.011795,0.051317,0.0001,,,,,gru
40469,28,-0.06666,0.008107,1.841588,0.004922,0.072698,0.065037,0.005061,0.034199,0.0001,,,,,gru
40469,28,0.050533,0.012504,1.84159,0.004922,0.076655,0.083495,0.013174,0.015819,0.0001,,,,,gru
