episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1406,386.5315,386.5315,1406,0,0,1,0,0.9879,1.835,collision,25.3,-0.04767,0.424423,-0.853852,0.891174,3.00797,1.446691,0.047949,5.927405,0.431685,0.428431,-0.872203,1.0,,,,,,,,,,,,,,0,lstm
2,2931,295.2728,340.9022,1525,0,0,1,0,1.3612,1.844,collision,53.5,-0.057142,0.416395,-0.860906,0.858493,2.98574,1.44334,0.092325,5.894692,0.427034,0.436834,-1.0,1.002493,,,,,,,,,,,,,,0,lstm
3,4467,214.5747,298.793,1536,0,0,1,0,1.697,1.83,collision,82.4,-0.040127,0.43508,-0.853449,0.863834,3.033603,1.456669,0.133879,5.892184,0.42078,0.443704,-1.0,1.0,,,,,,,,,,,,,,0,lstm
4,5904,409.1552,326.3836,1437,0,0,1,0,0.8781,1.853,collision,116.2,-0.050873,0.417574,-0.869508,0.862271,3.022377,1.418719,0.107067,5.898812,0.441507,0.42911,-0.815551,1.006039,0.00217,0.00935,1.837847,0.006742,0.108788,0.061812,0.047776,0.030442,3.7e-05,,,,,0,lstm
5,7348,264.4533,313.9975,1444,0,0,1,0,1.4735,1.837,collision,143.0,-0.045449,0.437423,-0.872878,0.85714,2.97017,1.397674,0.105236,5.879967,0.421237,0.438291,-1.0,1.0,,,,,,,,,,,,,,0,lstm
6,8802,312.3543,313.7236,1454,0,0,1,0,1.276,1.811,collision,169.1,-0.037658,0.430312,-0.883768,0.858536,2.911652,1.404156,0.114425,5.852631,0.426102,0.434771,-0.990609,1.0,,,,,,,,,,,,,,0,lstm
7,10268,377.0966,322.7769,1466,0,0,1,0,1.0199,1.855,collision,195.3,-0.04152,0.424363,-0.890397,0.863068,2.980533,1.412164,0.107198,5.896224,0.433507,0.430959,-0.888878,1.009574,,,,,,,,,,,,,,0,lstm
8,11817,457.1518,339.5738,1549,0,0,1,0,0.6305,1.824,collision,226.4,-0.031362,0.427849,-0.867309,0.889937,2.951487,1.43958,0.050231,5.960593,0.450608,0.42936,-0.715558,1.006018,0.012067,0.008802,1.838005,0.006726,0.105694,0.052065,0.04728,0.026618,4.9e-05,,,,,0,lstm
9,13250,418.8106,348.3779,1433,0,0,1,0,0.9184,1.807,collision,251.5,-0.024657,0.417383,-0.867399,0.888424,2.835446,1.401912,0.044223,5.895783,0.436646,0.428876,-0.69593,1.006271,,,,,,,,,,,,,,0,lstm
10,14778,194.8135,333.0214,1528,0,0,1,0,1.7508,1.841,collision,279.4,-0.033043,0.419025,-0.868767,0.872222,2.944452,1.409054,0.0567,5.895185,0.421266,0.445322,-0.999998,1.0,,,,,,,,,,,,,,0,lstm
