episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1454,606.5077,606.5077,1454,1,1,0,0,0.2986,2.054,goal,18.6,-0.000852,0.443179,-0.886438,0.862025,4.568448,1.139295,0.558453,5.968374,0.406534,0.40264,-0.471602,1.0,,,,,,,,,,,,,,0,gru
2,2960,605.669,606.0884,1506,1,1,0,0,0.2999,2.04,goal,38.0,0.029073,0.448479,-0.865809,0.880862,4.561136,1.145756,0.369365,5.985285,0.389878,0.401174,-0.744989,1.0,,,,,,,,,,,,,,0,gru
3,4430,613.0201,608.3989,1470,1,1,0,0,0.2977,2.047,goal,56.6,-0.014218,0.437744,-0.878832,0.850487,4.508511,1.176231,0.406344,5.98956,0.40455,0.401449,-0.473025,1.0,,,,,,,,,,,,,,0,gru
4,4500,-33.3098,447.9718,70,0,0,1,0,3.8334,1.9,collision,60.3,-0.023269,0.419319,-0.79263,0.835718,3.768022,1.521084,0.517771,5.708071,0.235194,0.325675,-0.634825,1.0,0.002321,0.001318,1.802798,0.004994,0.019202,0.114337,0.004431,0.090935,3.7e-05,,,,,0,gru
5,5999,619.7766,482.3327,1499,1,1,0,0,0.2999,2.034,goal,79.5,0.006421,0.452191,-0.878583,0.867918,4.560142,1.159806,0.354089,5.959188,0.406715,0.401539,-0.605892,1.005271,,,,,,,,,,,,,,0,gru
6,7482,608.7567,503.4034,1483,1,1,0,0,0.299,2.022,goal,98.4,0.004978,0.455347,-0.889644,0.873758,4.539144,1.201432,0.362011,5.983014,0.407056,0.40327,-0.76148,1.0,,,,,,,,,,,,,,0,gru
7,8951,610.2079,518.6612,1469,1,1,0,0,0.2999,2.014,goal,117.3,0.005245,0.457965,-0.880967,0.873239,4.500873,1.197252,0.46677,5.987946,0.404867,0.401949,-0.504877,1.0,,,,,,,,,,,,,,0,gru
8,9040,-26.6429,450.4982,89,0,0,1,0,3.8386,2.056,collision,120.2,0.053718,0.371991,-0.677213,0.810251,3.695571,1.39959,0.87281,5.841355,0.250439,0.336552,-0.572605,1.006981,0.007273,0.001524,1.802724,0.004982,0.019866,0.140048,0.009193,0.097791,4.9e-05,,,,,0,gru
9,10486,606.2421,467.803,1446,1,1,0,0,0.2978,2.028,goal,138.6,-0.022082,0.451871,-0.88438,0.870614,4.574194,1.178537,0.534252,5.965161,0.407441,0.402237,-0.425493,1.0,,,,,,,,,,,,,,0,gru
10,11967,615.1249,482.5352,1481,1,1,0,0,0.2979,2.05,goal,157.6,-0.020014,0.437707,-0.878473,0.870013,4.592318,1.159761,0.280879,5.985947,0.405226,0.40198,-0.486311,1.000443,,,,,,,,,,,,,,0,gru
11,13434,598.7251,481.757,1467,1,1,0,0,0.2975,2.068,goal,176.3,0.010474,0.432289,-0.887185,0.876884,4.599517,1.143707,0.375662,5.985791,0.394234,0.399528,-0.541288,1.0,,,,,,,,,,,,,,0,gru
12,14914,610.0515,482.1952,1480,1,1,0,0,0.2988,2.029,goal,197.2,0.006248,0.454664,-0.881665,0.887818,4.615356,1.132658,0.427147,5.988573,0.408738,0.403304,-0.716083,1.0,-0.009492,0.001208,1.803133,0.00497,0.018823,0.08581,0.013605,0.058981,6.1e-05,,,,,0,gru
13,16383,614.5997,482.3532,1469,1,1,0,0,0.2991,2.02,goal,216.3,-0.024455,0.460439,-0.889163,0.887408,4.608253,1.167653,0.48956,5.979596,0.405717,0.401509,-0.448005,1.0,,,,,,,,,,,,,,0,gru
14,17460,317.2642,517.4106,1077,0,0,1,0,1.2311,2.058,collision,230.0,0.005682,0.434082,-0.873482,0.882126,4.563173,1.158483,0.404735,5.985579,0.404909,0.400518,-0.470101,1.0,,,,,,,,,,,,,,0,gru
15,17510,-37.3665,451.6963,50,0,0,1,0,3.8379,1.982,collision,230.7,-0.022866,0.372653,-0.813461,0.711467,3.548975,1.436649,0.119836,5.464419,0.213778,0.318723,-0.562634,1.0,,,,,,,,,,,,,,0,gru
16,19010,609.7494,451.7955,1500,1,1,0,0,0.2981,2.043,goal,251.7,0.019273,0.444901,-0.873357,0.873924,4.583234,1.155795,0.1238,5.983063,0.385045,0.397624,-0.549662,1.0,-0.01633,0.002899,1.803291,0.004958,0.026341,0.199353,0.016511,0.136185,7.3e-05,,,,,0,gru
17,20109,323.4815,423.1229,1099,0,0,1,0,1.2365,2.051,collision,265.9,-0.025146,0.440841,-0.881758,0.869654,4.568098,1.146342,0.503827,5.964277,0.398863,0.400391,-0.594695,1.0,,,,,,,,,,,,,,0,gru
18,21575,611.0441,486.8916,1466,1,1,0,0,0.2989,2.069,goal,284.5,0.001144,0.431947,-0.873026,0.884776,4.634013,1.116936,0.202733,5.96873,0.408172,0.40261,-0.468562,1.001314,,,,,,,,,,,,,,0,gru
19,23050,615.6224,487.8296,1475,1,1,0,0,0.2989,2.053,goal,303.5,-0.036455,0.44164,-0.893254,0.870806,4.58326,1.14856,0.405222,5.973284,0.404482,0.401387,-0.46109,1.000473,,,,,,,,,,,,,,0,gru
20,24543,621.1867,488.4358,1493,1,1,0,0,0.2999,2.028,goal,325.4,-0.010935,0.450642,-0.882149,0.880543,4.6272,1.174335,0.260219,5.967418,0.409373,0.402379,-0.438033,1.00321,0.029128,0.002396,1.803308,0.004946,0.020963,0.083365,0.010855,0.055412,8.5e-05,,,,,0,gru
21,25679,336.3155,462.1949,1136,0,0,1,0,1.1963,2.051,collision,339.7,-0.002471,0.44905,-0.896083,0.878011,4.664544,1.086064,0.502585,5.989272,0.402799,0.39955,-0.447148,1.003889,,,,,,,,,,,,,,0,gru
22,26749,314.9651,432.6862,1070,0,0,1,0,1.2288,2.051,collision,353.3,0.030314,0.437997,-0.879363,0.864043,4.603314,1.153087,0.350455,5.979435,0.405246,0.400035,-0.570363,1.0,,,,,,,,,,,,,,0,gru
