episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,323,53.6018,53.6018,323,0,0,1,0,3.1622,2.127,collision,4.5,0.078666,0.403476,-0.80137,0.842026,5.050534,0.859405,1.572607,5.982684,0.384189,0.385525,-0.359186,1.0,,,,,,,,,,,,,,0,gru
2,669,55.4459,54.5239,346,0,0,1,0,3.1731,2.05,collision,9.1,0.177637,0.416318,-0.808472,0.86582,4.95241,1.023127,1.075687,5.975029,0.389105,0.388516,-0.598379,1.0,,,,,,,,,,,,,,0,gru
3,1002,55.7403,54.9293,333,0,0,1,0,3.1707,2.093,collision,13.5,0.067851,0.422487,-0.820412,0.832617,5.007669,0.909472,1.102182,5.969995,0.387031,0.385963,-0.345628,1.0,,,,,,,,,,,,,,0,gru
4,1344,52.9878,54.444,342,0,0,1,0,3.1708,2.041,collision,19.0,-0.059441,0.46223,-0.860465,0.849666,5.035804,0.876902,1.517387,5.960792,0.364184,0.381039,-0.635502,1.0,-0.029497,0.017031,1.776688,0.004994,0.080971,0.220437,0.060986,0.174249,3.7e-05,,,,,0,gru
5,1697,62.4881,56.0528,353,0,0,1,0,3.1699,2.117,collision,23.7,0.089469,0.403168,-0.778432,0.868569,5.042301,0.845493,1.355347,5.977652,0.389102,0.385247,-0.386479,1.00956,,,,,,,,,,,,,,0,gru
6,2322,157.5019,72.961,625,0,0,1,0,2.3509,2.082,collision,31.5,0.082017,0.421492,-0.848864,0.888375,4.953441,0.961531,0.731839,5.991776,0.39466,0.386124,-0.616133,1.0,,,,,,,,,,,,,,0,gru
7,2639,50.4268,69.7418,317,0,0,1,0,3.1695,2.06,collision,35.6,0.123118,0.430804,-0.831834,0.843759,4.899795,0.949288,1.630474,5.973635,0.386816,0.385847,-0.319563,1.0,,,,,,,,,,,,,,0,gru
8,3006,63.1653,68.9197,367,0,0,1,0,3.1632,2.068,collision,40.6,-0.05857,0.445091,-0.863407,0.870711,4.973048,0.982893,1.162379,5.992612,0.361203,0.377583,-0.54152,1.006576,-0.028267,0.011764,1.776687,0.004982,0.07025,0.16681,0.022856,0.122171,4.9e-05,,,,,0,gru
9,3318,49.2822,66.7378,312,0,0,1,0,3.1613,2.044,collision,44.7,0.010834,0.447101,-0.826877,0.844415,4.911797,1.013855,0.756512,5.983025,0.376068,0.38104,-0.327564,1.0,,,,,,,,,,,,,,0,gru
10,3660,58.5912,65.9231,342,0,0,1,0,3.1707,2.087,collision,49.3,0.046217,0.422558,-0.820803,0.860944,4.861573,1.01413,0.861418,5.958071,0.383542,0.382195,-0.349127,1.0,,,,,,,,,,,,,,0,gru
11,3993,57.0386,66.2668,333,0,0,1,0,3.1439,2.108,collision,53.9,0.069418,0.40735,-0.841076,0.838291,4.844822,1.005709,1.123167,5.960101,0.379306,0.38219,-0.292568,1.0,,,,,,,,,,,,,,0,gru
12,4318,49.7744,65.6997,325,0,0,1,0,3.1727,2.109,collision,58.6,0.153779,0.395395,-0.834944,0.854772,4.936384,0.935809,1.481723,5.985106,0.390691,0.388768,-0.562679,1.0,-0.023921,0.011433,1.776753,0.00497,0.070232,0.118562,0.019262,0.061143,6.1e-05,,,,,0,gru
13,4632,51.5349,65.2791,314,0,0,1,0,3.1749,2.079,collision,62.8,0.026586,0.42484,-0.821955,0.862689,4.854338,1.075984,0.415228,5.973537,0.379787,0.382424,-0.239881,1.0,,,,,,,,,,,,,,0,gru
14,4952,53.4789,65.3282,320,0,0,1,0,3.1594,2.095,collision,67.2,0.073241,0.403475,-0.777462,0.833977,4.834968,1.089735,0.75556,5.946808,0.37952,0.381684,-0.28492,1.0,,,,,,,,,,,,,,0,gru
15,4997,-40.7173,55.0077,45,0,0,1,0,3.8886,2.031,collision,67.8,-0.098085,0.437636,-0.847237,0.689372,4.533703,1.075198,2.006424,5.912737,0.214165,0.317315,-0.560973,1.0,,,,,,,,,,,,,,0,gru
16,5341,60.1298,45.2705,344,0,0,1,0,3.1692,2.06,collision,72.7,0.064419,0.441028,-0.814887,0.851499,4.861122,0.997408,1.506527,5.972586,0.389789,0.387709,-0.296246,1.0,-0.015272,0.010544,1.776991,0.004958,0.071211,0.103816,0.013244,0.076419,7.3e-05,,,,,0,gru
17,5693,57.0381,45.9316,352,0,0,1,0,3.1743,2.012,collision,77.2,-0.063396,0.467595,-0.881098,0.82232,4.921807,0.953528,0.756897,5.978306,0.365253,0.378888,-0.595825,1.0,,,,,,,,,,,,,,0,gru
18,6039,61.3901,45.7541,346,0,0,1,0,3.1628,2.12,collision,81.6,0.069326,0.403207,-0.789764,0.856077,4.867812,1.025486,1.389906,5.980643,0.388001,0.387178,-0.310598,1.003315,,,,,,,,,,,,,,0,gru
19,6395,62.7834,47.1042,356,0,0,1,0,3.1614,2.057,collision,86.2,-0.019912,0.451669,-0.882949,0.841368,4.818212,1.025734,1.213788,5.962444,0.372794,0.382036,-0.399196,1.001241,,,,,,,,,,,,,,0,gru
20,7050,169.7516,58.2202,655,0,0,1,0,2.3282,2.134,collision,95.3,0.010855,0.392846,-0.849083,0.831064,4.878735,1.03315,0.577645,5.987843,0.383366,0.382089,-0.307078,1.005571,-0.026276,0.008598,1.777358,0.004946,0.075355,0.057965,0.030509,0.061657,8.5e-05,,,,,0,gru
21,7408,65.284,59.0448,358,0,0,1,0,3.1667,2.063,collision,99.8,0.008195,0.431131,-0.87399,0.822746,4.783861,1.164942,0.502047,5.973103,0.374559,0.380864,-0.293403,1.006536,,,,,,,,,,,,,,0,gru
22,7720,49.7245,59.0398,312,0,0,1,0,3.1739,2.075,collision,103.8,0.123529,0.415158,-0.793385,0.874005,4.807313,1.044491,1.151331,5.979352,0.387759,0.385643,-0.393981,1.0,,,,,,,,,,,,,,0,gru
23,8072,62.4217,60.1285,352,0,0,1,0,3.1769,2.065,collision,108.1,0.067302,0.431067,-0.804473,0.869061,4.792358,1.043814,0.59561,5.959052,0.392454,0.387801,-0.37961,1.003954,,,,,,,,,,,,,,0,gru
24,8376,46.5029,59.4309,304,0,0,1,0,3.1731,2.042,collision,112.5,0.143817,0.422493,-0.861856,0.877209,4.608925,1.157882,0.517712,5.94273,0.379676,0.38164,-0.343312,1.0,-0.027902,0.008235,1.777749,0.004934,0.061123,0.147825,0.008046,0.067874,9.7e-05,,,,,0,gru
25,8503,-31.5081,60.3518,127,0,0,1,0,3.8912,2.001,collision,114.1,0.120511,0.454231,-0.796816,0.818763,4.569674,1.113776,0.99548,5.926092,0.29997,0.391366,-0.76576,1.011771,,,,,,,,,,,,,,0,gru
26,8853,62.2072,60.5595,350,0,0,1,0,3.1596,2.085,collision,118.8,0.000494,0.429406,-0.845615,0.802161,4.961408,0.96704,0.717804,5.992125,0.374471,0.381719,-0.281006,1.001087,,,,,,,,,,,,,,0,gru
27,9188,57.0883,60.5646,335,0,0,1,0,3.167,2.111,collision,123.1,0.100427,0.397394,-0.79083,0.848214,4.80754,1.051973,0.467252,5.967019,0.386466,0.383825,-0.304496,1.0,,,,,,,,,,,,,,0,gru
