episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1005,296.7759,296.7759,1005,0,0,1,0,1.3013,2.132,collision,13.4,0.006623,0.405717,-0.855756,0.85518,5.087198,0.904494,1.095768,5.986159,0.393814,0.389651,-0.446048,1.0,,,,,,,,,,,,,,0,gru
2,1366,62.3666,179.5713,361,0,0,1,0,3.1053,2.053,collision,18.2,0.203568,0.413089,-0.840922,0.878909,5.005512,0.932183,1.488719,5.970262,0.38484,0.394591,-0.694295,1.0,,,,,,,,,,,,,,0,gru
3,2761,592.9221,317.3549,1395,1,1,0,0,0.2998,2.124,goal,36.0,0.002317,0.406414,-0.851428,0.855707,5.110715,0.875391,0.70662,5.994974,0.399219,0.394413,-0.472581,1.0,,,,,,,,,,,,,,0,gru
4,2827,-35.9783,229.0216,66,0,0,1,0,3.8243,2.131,collision,38.3,0.138122,0.379773,-0.710844,0.84241,4.842069,1.076364,0.716193,5.969685,0.231959,0.325399,-0.666029,1.0,0.025277,0.005742,1.763751,0.004994,0.036001,0.102929,0.007914,0.063536,3.7e-05,,,,,0,gru
5,4301,603.1008,303.8374,1474,1,1,0,0,0.2988,2.091,goal,57.4,-0.000595,0.42857,-0.881949,0.874098,5.074281,0.929623,0.933435,5.995702,0.400413,0.391956,-0.554754,1.006539,,,,,,,,,,,,,,0,gru
6,4647,61.1205,263.3846,346,0,0,1,0,3.0762,2.03,collision,62.1,0.09184,0.448099,-0.794053,0.851385,4.960773,1.037466,0.485638,5.981514,0.377548,0.390196,-0.709733,1.0,,,,,,,,,,,,,,0,gru
7,6028,587.8637,309.7388,1381,1,1,0,0,0.2982,2.114,goal,80.0,0.008709,0.411844,-0.841365,0.824284,5.118016,0.898067,0.583711,5.993845,0.401005,0.393991,-0.438588,1.0,,,,,,,,,,,,,,0,gru
8,7593,594.298,345.3087,1565,1,1,0,0,0.2977,2.095,goal,102.2,-0.038981,0.4213,-0.883198,0.863997,5.089878,0.970234,0.739982,5.993062,0.413353,0.400129,-0.876461,1.006995,0.054093,0.001882,1.763808,0.004982,0.023157,0.078488,0.009879,0.047192,4.9e-05,,,,,0,gru
9,8960,584.2661,371.8595,1367,1,1,0,0,0.2977,2.117,goal,120.1,0.006681,0.408834,-0.836688,0.852167,5.06878,0.944576,0.749853,5.993763,0.398949,0.394899,-0.403177,1.0,,,,,,,,,,,,,,0,gru
10,9966,296.7311,364.3467,1006,0,0,1,0,1.3723,2.115,collision,133.3,-0.022064,0.408245,-0.829484,0.849626,5.093049,0.949211,0.875919,5.986935,0.397615,0.391545,-0.434603,1.0,,,,,,,,,,,,,,0,gru
