global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
1778,4,0.002074,0.01458,1.785525,0.004994,0.063311,0.102028,0.029063,0.09163,3.7e-05,,,,,gru
1778,4,0.003747,0.014181,1.785525,0.004994,0.059732,0.060062,0.019821,0.048035,3.7e-05,,,,,gru
1778,4,0.002579,0.013978,1.785576,0.004994,0.059871,0.226267,0.012626,0.1819,3.7e-05,,,,,gru
1778,4,0.002855,0.013917,1.785636,0.004994,0.061504,0.193368,0.007354,0.153074,3.7e-05,,,,,gru
6043,8,0.038005,0.005459,1.785697,0.004982,0.035769,0.076579,0.006506,0.045556,4.9e-05,,,,,gru
6043,8,-0.054999,0.009502,1.785735,0.004982,0.052528,0.086949,0.011162,0.04133,4.9e-05,,,,,gru
6043,8,0.1505,0.00113,1.785758,0.004982,0.017903,0.087634,0.005523,0.056661,4.9e-05,,,,,gru
6043,8,-0.021641,0.0084,1.785793,0.004982,0.047041,0.147957,0.008379,0.082544,4.9e-05,,,,,gru
6043,8,0.040332,0.005586,1.785814,0.004982,0.038666,0.041424,0.007443,0.03145,4.9e-05,,,,,gru
6043,8,-0.195385,0.011936,1.785825,0.004982,0.047407,0.350988,0.022962,0.27137,4.9e-05,,,,,gru
6043,8,0.032227,0.007174,1.785854,0.004982,0.03969,0.084664,0.008072,0.056212,4.9e-05,,,,,gru
6043,8,-0.026532,0.007679,1.785882,0.004982,0.046742,0.061439,0.014561,0.035531,4.9e-05,,,,,gru
6043,8,-0.04384,0.004711,1.785895,0.004982,0.046861,0.244748,0.015972,0.143519,4.9e-05,,,,,gru
6043,8,0.120525,0.005841,1.785897,0.004982,0.034659,0.059641,0.001763,0.03263,4.9e-05,,,,,gru
6043,8,-0.104578,0.008361,1.785894,0.004982,0.051719,0.071149,0.011324,0.042705,4.9e-05,,,,,gru
6043,8,-0.139148,0.010666,1.785887,0.004982,0.054121,0.189359,0.015278,0.038618,4.9e-05,,,,,gru
9228,12,0.027783,0.006832,1.785912,0.00497,0.035685,0.079996,0.004162,0.048396,6.1e-05,,,,,gru
9228,12,-0.045479,0.007888,1.785929,0.00497,0.047709,0.083584,0.00411,0.031241,6.1e-05,,,,,gru
9228,12,0.009915,0.007166,1.785952,0.00497,0.049169,0.065681,0.006448,0.022753,6.1e-05,,,,,gru
9228,12,-0.013313,0.007717,1.785965,0.00497,0.043255,0.125166,0.009178,0.080752,6.1e-05,,,,,gru
9228,12,0.01919,0.006376,1.785981,0.00497,0.049287,0.0876,0.014012,0.061941,6.1e-05,,,,,gru
9228,12,-0.02838,0.009336,1.785989,0.00497,0.054757,0.133003,0.010316,0.066106,6.1e-05,,,,,gru
9228,12,-0.017062,0.006637,1.785992,0.00497,0.046666,0.126139,0.011,0.092162,6.1e-05,,,,,gru
9228,12,0.035802,0.008434,1.785986,0.00497,0.0531,0.107616,0.011332,0.057952,6.1e-05,,,,,gru
11221,16,-0.011113,0.009195,1.785985,0.004958,0.038439,0.134833,0.009244,0.09954,7.3e-05,,,,,gru
11221,16,-0.010076,0.009163,1.785994,0.004958,0.037622,0.135076,0.012435,0.100171,7.3e-05,,,,,gru
11221,16,-0.009523,0.009144,1.786014,0.004958,0.037644,0.078341,0.013985,0.046244,7.3e-05,,,,,gru
11221,16,-0.010136,0.009099,1.786047,0.004958,0.037206,0.16236,0.012609,0.124634,7.3e-05,,,,,gru
13111,20,0.024597,0.011824,1.786089,0.004946,0.041013,0.093975,0.016074,0.053278,8.5e-05,,,,,gru
13111,20,0.025075,0.011785,1.786138,0.004946,0.041553,0.094463,0.012317,0.052665,8.5e-05,,,,,gru
