episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1555,582.9631,582.9631,1555,1,1,0,0,0.2995,2.073,goal,19.9,-0.039469,0.410417,-0.862235,0.850174,4.396972,1.246333,0.196103,5.977973,0.40797,0.398812,-0.901559,1.000073,,,,,,,,,,,,,,0,gru
2,3026,600.5935,591.7783,1471,1,1,0,0,0.2993,2.087,goal,38.2,-0.004971,0.408489,-0.824068,0.871161,4.444593,1.237798,0.434689,5.982555,0.397892,0.390323,-0.469224,1.002895,,,,,,,,,,,,,,0,gru
3,4487,595.9374,593.1647,1461,1,1,0,0,0.2998,2.071,goal,56.5,0.001571,0.412074,-0.850108,0.869004,4.374782,1.251242,0.121063,5.987446,0.402643,0.391636,-0.511887,1.0,,,,,,,,,,,,,,0,gru
4,6082,581.0332,590.1318,1595,1,1,0,0,0.2994,2.076,goal,78.9,-0.031124,0.411016,-0.840572,0.877548,4.40747,1.229426,0.420281,5.990733,0.410145,0.402599,-0.95503,1.004692,0.002141,0.001347,1.743544,0.004994,0.018424,0.074638,0.010248,0.041309,3.7e-05,,,,,0,gru
5,7527,593.7537,590.8562,1445,1,1,0,0,0.2979,2.077,goal,97.1,-0.015564,0.41088,-0.851533,0.836408,4.412926,1.252545,0.37564,5.983814,0.40164,0.392188,-0.459434,1.0,,,,,,,,,,,,,,0,gru
6,9016,605.1984,593.2466,1489,1,1,0,0,0.2989,2.071,goal,116.4,0.010794,0.411759,-0.838237,0.855601,4.358528,1.255565,0.165454,5.983273,0.400504,0.391478,-0.462175,1.005701,,,,,,,,,,,,,,0,gru
7,10455,588.0802,592.5085,1439,1,1,0,0,0.2987,2.069,goal,134.8,0.00839,0.421182,-0.86353,0.855882,4.432598,1.234073,0.311796,5.966826,0.400747,0.391025,-0.510316,1.0,,,,,,,,,,,,,,0,gru
8,11919,591.5245,592.3855,1464,1,1,0,0,0.2992,2.06,goal,155.3,-0.045333,0.423693,-0.858807,0.883683,4.464335,1.209855,0.398448,5.985141,0.393426,0.390665,-0.616456,1.0,-0.009076,0.00132,1.74373,0.004982,0.016748,0.116183,0.008982,0.067604,4.9e-05,,,,,0,gru
9,13413,607.8006,594.0983,1494,1,1,0,0,0.2972,2.068,goal,174.6,0.010776,0.420504,-0.855595,0.846813,4.495179,1.186678,0.177341,5.980635,0.4002,0.391261,-0.563302,1.010377,,,,,,,,,,,,,,0,gru
10,14918,604.3199,595.1205,1505,1,1,0,0,0.2972,2.069,goal,193.6,0.018572,0.410134,-0.845494,0.848699,4.370199,1.285577,0.455729,5.986523,0.404328,0.393438,-0.672255,1.008753,,,,,,,,,,,,,,0,gru
11,16377,596.8873,596.5129,1459,1,1,0,0,0.2972,2.075,goal,212.7,-0.011957,0.413969,-0.844189,0.842298,4.465623,1.229665,0.265037,5.982394,0.396071,0.390187,-0.463258,1.0,,,,,,,,,,,,,,0,gru
12,17983,563.3298,592.7865,1606,1,1,0,0,0.2974,2.065,goal,235.4,-0.038843,0.416249,-0.870398,0.849324,4.477404,1.251796,0.204377,5.977592,0.408102,0.404338,-0.990474,1.0,-0.000252,0.001475,1.743669,0.00497,0.01632,0.11211,0.006418,0.064676,6.1e-05,,,,,0,gru
