episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,328,60.7462,60.7462,328,0,0,1,0,3.1192,2.067,collision,4.2,0.017387,0.433567,-0.844682,0.8553,4.735984,1.112578,0.386638,5.977525,0.394164,0.40014,-0.257842,1.0,,,,,,,,,,,,,,0,gru
2,687,69.379,65.0626,359,0,0,1,0,3.09,2.055,collision,8.6,0.011951,0.433785,-0.80536,0.891624,4.681994,1.152086,0.392289,5.954406,0.400974,0.404732,-0.341551,1.002256,,,,,,,,,,,,,,0,gru
3,1023,63.4681,64.5311,336,0,0,1,0,3.1163,2.094,collision,12.7,0.04487,0.419697,-0.810225,0.817402,4.857075,0.971728,0.311606,5.989824,0.399172,0.401682,-0.321698,1.0,,,,,,,,,,,,,,0,gru
4,2038,295.2335,122.2067,1015,0,0,1,0,1.4208,2.079,collision,27.0,-0.00166,0.427638,-0.862518,0.870396,4.776906,1.066764,0.899698,5.982988,0.413261,0.4045,-0.485374,1.005773,-0.467546,0.020273,1.836497,0.004994,0.094537,0.63697,0.070861,0.419427,3.7e-05,,,,,0,gru
5,3496,588.9814,215.5616,1458,1,1,0,0,0.2982,2.072,goal,45.5,0.021906,0.433423,-0.8749,0.865423,4.874798,1.031751,0.494105,5.981036,0.420015,0.423467,-0.656485,1.0,,,,,,,,,,,,,,0,gru
6,3835,63.6189,190.2378,339,0,0,1,0,3.0203,2.094,collision,49.8,0.037412,0.41764,-0.837185,0.79563,4.733205,1.112535,0.620519,5.974175,0.396475,0.398809,-0.271971,1.0,,,,,,,,,,,,,,0,gru
7,4857,298.0173,205.6349,1022,0,0,1,0,1.4452,2.055,collision,62.7,-0.006508,0.445169,-0.871546,0.856632,4.879829,1.011631,0.766252,5.984556,0.418216,0.404485,-0.602772,1.009351,,,,,,,,,,,,,,0,gru
8,6305,604.6777,255.5153,1448,1,1,0,0,0.2995,2.087,goal,82.6,-0.008,0.431661,-0.876699,0.873291,4.925007,0.955703,0.665514,5.989289,0.420257,0.409743,-0.573554,1.005977,0.01898,0.003968,1.836773,0.004982,0.028183,0.084776,0.00778,0.047614,4.9e-05,,,,,0,gru
9,7307,297.0818,260.1338,1002,0,0,1,0,1.4378,2.073,collision,95.6,-0.021227,0.438609,-0.866754,0.852437,4.939268,0.935435,0.699805,5.981479,0.419194,0.406287,-0.331106,1.006272,,,,,,,,,,,,,,0,gru
10,8778,595.5455,293.6749,1471,1,1,0,0,0.2999,2.072,goal,114.6,0.018417,0.438508,-0.865533,0.865193,4.931802,0.960744,0.642426,5.982337,0.429373,0.425405,-0.615471,1.0,,,,,,,,,,,,,,0,gru
