global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5449,4,0.047675,0.005332,1.840023,0.006742,0.021787,0.080435,0.008561,0.03178,3.7e-05,,,,,lstm
5449,4,0.010025,0.00348,1.840022,0.006742,0.017952,0.079811,0.006246,0.040458,3.7e-05,,,,,lstm
5449,4,0.021535,0.006037,1.840018,0.006742,0.021628,0.091108,0.013795,0.060375,3.7e-05,,,,,lstm
5449,4,0.043294,0.007069,1.840022,0.006742,0.024436,0.208639,0.021661,0.102513,3.7e-05,,,,,lstm
5449,4,-0.00761,0.003525,1.840025,0.006742,0.020403,0.098638,0.018163,0.048466,3.7e-05,,,,,lstm
5449,4,0.055995,0.00366,1.840029,0.006742,0.018401,0.07878,0.006229,0.046264,3.7e-05,,,,,lstm
5449,4,0.004839,0.00488,1.840025,0.006742,0.020542,0.061559,0.013072,0.034315,3.7e-05,,,,,lstm
5449,4,0.014998,0.005269,1.840022,0.006742,0.02076,0.120536,0.011501,0.102504,3.7e-05,,,,,lstm
5449,4,0.078562,0.004117,1.84002,0.006742,0.02078,0.169954,0.00104,0.08769,3.7e-05,,,,,lstm
5449,4,-0.012058,0.005041,1.840009,0.006742,0.022798,0.032945,0.002868,0.015378,3.7e-05,,,,,lstm
5449,4,0.089844,0.00463,1.84,0.006742,0.020192,0.070096,0.010189,0.034161,3.7e-05,,,,,lstm
5449,4,-0.005086,0.004945,1.839989,0.006742,0.025558,0.022523,0.006176,0.01796,3.7e-05,,,,,lstm
10486,8,0.052864,0.004815,1.839977,0.006726,0.026795,0.073289,0.016809,0.044638,4.9e-05,,,,,lstm
10486,8,-0.02127,0.009412,1.839969,0.006726,0.035302,0.095975,0.029179,0.059366,4.9e-05,,,,,lstm
10486,8,0.05106,0.006931,1.839975,0.006726,0.028873,0.124674,0.017985,0.094536,4.9e-05,,,,,lstm
10486,8,0.093798,0.004397,1.839984,0.006726,0.022565,0.071557,0.014081,0.036595,4.9e-05,,,,,lstm
10486,8,-0.036447,0.009363,1.84,0.006726,0.035851,0.114662,0.035477,0.079134,4.9e-05,,,,,lstm
10486,8,0.000502,0.00831,1.840029,0.006726,0.037313,0.109302,0.030756,0.087998,4.9e-05,,,,,lstm
10486,8,0.077492,0.00637,1.840043,0.006726,0.02706,0.133233,0.022454,0.110427,4.9e-05,,,,,lstm
10486,8,0.035766,0.007511,1.840051,0.006726,0.030213,0.139971,0.020084,0.124708,4.9e-05,,,,,lstm
10486,8,-0.117221,0.007913,1.840058,0.006726,0.043233,0.100574,0.028879,0.088038,4.9e-05,,,,,lstm
10486,8,0.053769,0.004817,1.840081,0.006726,0.033562,0.120429,0.005266,0.060831,4.9e-05,,,,,lstm
10486,8,-0.022984,0.009066,1.840096,0.006726,0.049026,0.095206,0.00557,0.060117,4.9e-05,,,,,lstm
10486,8,0.0596,0.007838,1.840127,0.006726,0.037938,0.13077,0.023381,0.102117,4.9e-05,,,,,lstm
15931,12,0.038744,0.003262,1.840156,0.00671,0.020016,0.082992,0.015507,0.083254,6.1e-05,,,,,lstm
15931,12,0.057861,0.002998,1.840191,0.00671,0.020836,0.138766,0.014641,0.105475,6.1e-05,,,,,lstm
15931,12,-0.046617,0.008861,1.840222,0.00671,0.036878,0.039239,0.00292,0.021798,6.1e-05,,,,,lstm
15931,12,0.13296,0.005041,1.840258,0.00671,0.027913,0.048518,0.019819,0.042404,6.1e-05,,,,,lstm
15931,12,-0.008329,0.004407,1.840299,0.00671,0.022338,0.029683,0.007994,0.02096,6.1e-05,,,,,lstm
15931,12,-0.087012,0.004189,1.840344,0.00671,0.023223,0.151881,0.001312,0.12418,6.1e-05,,,,,lstm
15931,12,0.066095,0.004417,1.84037,0.00671,0.025907,0.060719,0.012202,0.035208,6.1e-05,,,,,lstm
15931,12,-0.011849,0.004298,1.840404,0.00671,0.025469,0.108537,0.007332,0.071735,6.1e-05,,,,,lstm
15931,12,0.015252,0.005163,1.840431,0.00671,0.020255,0.068562,0.008514,0.034485,6.1e-05,,,,,lstm
15931,12,0.085102,0.00497,1.840454,0.00671,0.024919,0.024681,0.014559,0.019473,6.1e-05,,,,,lstm
15931,12,0.031728,0.005719,1.840479,0.00671,0.026658,0.058544,0.010346,0.043617,6.1e-05,,,,,lstm
15931,12,-0.073063,0.002319,1.8405,0.00671,0.02167,0.091334,0.002538,0.054773,6.1e-05,,,,,lstm
21604,16,0.038399,0.004186,1.840523,0.006693,0.021023,0.187151,0.02091,0.095885,7.3e-05,,,,,lstm
21604,16,0.058173,0.003127,1.840538,0.006693,0.017465,0.06862,0.014971,0.036211,7.3e-05,,,,,lstm
21604,16,-0.172463,0.0028,1.840528,0.006693,0.018191,0.076791,0.001429,0.065084,7.3e-05,,,,,lstm
21604,16,0.04424,0.003519,1.840508,0.006693,0.015087,0.1802,0.009301,0.121355,7.3e-05,,,,,lstm
21604,16,-0.018168,0.003078,1.840472,0.006693,0.017899,0.143607,0.002769,0.063003,7.3e-05,,,,,lstm
21604,16,-0.082295,0.003536,1.840424,0.006693,0.01851,0.106522,0.001334,0.053516,7.3e-05,,,,,lstm
21604,16,-0.031775,0.003688,1.840362,0.006693,0.017954,0.229463,0.001805,0.190895,7.3e-05,,,,,lstm
21604,16,-0.046015,0.003364,1.840285,0.006693,0.016956,0.11385,0.012346,0.044645,7.3e-05,,,,,lstm
21604,16,0.04803,0.002975,1.840187,0.006693,0.021421,0.289754,0.020824,0.284339,7.3e-05,,,,,lstm
21604,16,-0.049403,0.00356,1.840101,0.006693,0.019975,0.167005,0.017905,0.078072,7.3e-05,,,,,lstm
21604,16,0.073249,0.003868,1.840006,0.006693,0.017087,0.219741,0.002857,0.106503,7.3e-05,,,,,lstm
21604,16,-0.078372,0.002497,1.839915,0.006693,0.016711,0.067276,0.00156,0.017549,7.3e-05,,,,,lstm
25623,20,-0.013429,0.010132,1.839811,0.006677,0.044699,0.085612,0.03507,0.062703,8.5e-05,,,,,lstm
25623,20,0.027226,0.008557,1.839717,0.006677,0.042256,0.239126,0.019955,0.175072,8.5e-05,,,,,lstm
25623,20,-0.025567,0.009375,1.839641,0.006677,0.052353,0.132212,0.008767,0.075545,8.5e-05,,,,,lstm
25623,20,0.041522,0.008431,1.83958,0.006677,0.054966,0.194202,0.020895,0.153924,8.5e-05,,,,,lstm
25623,20,0.012439,0.007424,1.839541,0.006677,0.059558,0.227485,0.028822,0.179841,8.5e-05,,,,,lstm
25623,20,0.001359,0.010423,1.839522,0.006677,0.068929,0.247035,0.024838,0.160382,8.5e-05,,,,,lstm
25623,20,0.021988,0.008116,1.839515,0.006677,0.058584,0.112094,0.023646,0.090074,8.5e-05,,,,,lstm
25623,20,-0.007077,0.008948,1.839521,0.006677,0.055127,0.314667,0.010982,0.142351,8.5e-05,,,,,lstm
30458,24,0.013128,0.005033,1.839545,0.006661,0.032641,0.055652,0.002371,0.030818,9.7e-05,,,,,lstm
30458,24,0.046552,0.007059,1.839582,0.006661,0.025665,0.113143,0.016266,0.046744,9.7e-05,,,,,lstm
30458,24,-0.029126,0.010702,1.839593,0.006661,0.042545,0.135302,0.044236,0.100877,9.7e-05,,,,,lstm
30458,24,0.014055,0.008078,1.839601,0.006661,0.039214,0.258562,0.045726,0.211148,9.7e-05,,,,,lstm
30458,24,-0.008886,0.008105,1.839605,0.006661,0.037169,0.182553,0.043375,0.150893,9.7e-05,,,,,lstm
30458,24,0.111635,0.00194,1.839609,0.006661,0.017083,0.18523,0.014276,0.096932,9.7e-05,,,,,lstm
30458,24,0.138673,0.005439,1.839599,0.006661,0.019442,0.08316,0.001801,0.049134,9.7e-05,,,,,lstm
30458,24,-0.037946,0.005035,1.839574,0.006661,0.033308,0.061092,0.008236,0.028586,9.7e-05,,,,,lstm
30458,24,-0.139733,0.013889,1.839546,0.006661,0.052691,0.160042,0.017767,0.0887,9.7e-05,,,,,lstm
30458,24,0.086487,0.004117,1.839519,0.006661,0.034355,0.097032,0.022082,0.048767,9.7e-05,,,,,lstm
30458,24,4.7e-05,0.009039,1.839515,0.006661,0.046283,0.141853,0.012493,0.102905,9.7e-05,,,,,lstm
30458,24,-0.105784,0.007348,1.839492,0.006661,0.043248,0.184612,0.005684,0.079274,9.7e-05,,,,,lstm
34189,28,-0.01466,0.00805,1.839441,0.006645,0.039951,0.065314,0.006443,0.043193,0.0001,,,,,lstm
34189,28,0.032676,0.00588,1.839395,0.006645,0.040114,0.269881,0.005112,0.200188,0.0001,,,,,lstm
34189,28,0.03199,0.005148,1.839349,0.006645,0.032564,0.036518,0.003524,0.021371,0.0001,,,,,lstm
34189,28,-0.021627,0.009459,1.839303,0.006645,0.044928,0.269914,0.016465,0.199673,0.0001,,,,,lstm
34189,28,0.00531,0.007571,1.839249,0.006645,0.042772,0.327753,0.010733,0.253343,0.0001,,,,,lstm
34189,28,0.010225,0.006457,1.839208,0.006645,0.033905,0.122803,0.003986,0.055172,0.0001,,,,,lstm
34189,28,0.029363,0.005758,1.839138,0.006645,0.038462,0.121305,0.008491,0.089185,0.0001,,,,,lstm
34189,28,-0.018126,0.008737,1.839069,0.006645,0.048338,0.150956,0.004007,0.096667,0.0001,,,,,lstm
39439,32,0.072833,0.002439,1.839018,0.006629,0.028459,0.060369,0.026191,0.037264,0.0001,,,,,lstm
39439,32,-0.04215,0.007913,1.838982,0.006629,0.039536,0.120964,0.009556,0.064375,0.0001,,,,,lstm
39439,32,0.043755,0.004675,1.838954,0.006629,0.032586,0.204766,0.018975,0.107654,0.0001,,,,,lstm
39439,32,0.02736,0.003874,1.838948,0.006629,0.024771,0.046711,0.006583,0.021727,0.0001,,,,,lstm
39439,32,0.0112,0.005669,1.838961,0.006629,0.026557,0.067202,0.007385,0.038548,0.0001,,,,,lstm
39439,32,0.036213,0.005545,1.83897,0.006629,0.027143,0.086451,0.014488,0.030694,0.0001,,,,,lstm
39439,32,0.068885,0.003311,1.838975,0.006629,0.022079,0.216739,0.016116,0.14455,0.0001,,,,,lstm
39439,32,-0.035594,0.006532,1.838971,0.006629,0.030971,0.174369,0.025833,0.091853,0.0001,,,,,lstm
39439,32,0.044187,0.0056,1.838988,0.006629,0.026242,0.122657,0.00749,0.055524,0.0001,,,,,lstm
39439,32,0.067585,0.00452,1.839005,0.006629,0.021028,0.079951,0.003057,0.041972,0.0001,,,,,lstm
39439,32,0.030407,0.004964,1.839007,0.006629,0.032402,0.121115,0.01097,0.059296,0.0001,,,,,lstm
