global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
4035,4,0.041906,0.008131,1.83167,0.006742,0.033331,0.101681,0.034376,0.073114,3.7e-05,,,,,lstm
4035,4,-0.013906,0.006354,1.831744,0.006742,0.03095,0.102715,0.017221,0.062281,3.7e-05,,,,,lstm
4035,4,-0.013908,0.006566,1.831816,0.006742,0.039514,0.13209,0.003259,0.093598,3.7e-05,,,,,lstm
4035,4,0.044482,0.007825,1.831885,0.006742,0.041486,0.135934,0.020907,0.101163,3.7e-05,,,,,lstm
4035,4,0.03239,0.006932,1.831949,0.006742,0.043065,0.098982,0.019184,0.06814,3.7e-05,,,,,lstm
4035,4,-0.002692,0.007506,1.831997,0.006742,0.044211,0.074227,0.01787,0.031468,3.7e-05,,,,,lstm
4035,4,-0.085184,0.010423,1.832053,0.006742,0.048727,0.135857,0.005415,0.081071,3.7e-05,,,,,lstm
4035,4,0.115953,0.00378,1.832114,0.006742,0.03196,0.065604,0.023083,0.038508,3.7e-05,,,,,lstm
6695,8,0.019985,0.010607,1.832173,0.006726,0.040733,0.184236,0.040411,0.12139,4.9e-05,,,,,lstm
6695,8,-0.041947,0.009429,1.832253,0.006726,0.047083,0.295015,0.056816,0.19449,4.9e-05,,,,,lstm
6695,8,-0.066121,0.013193,1.832305,0.006726,0.053752,0.093738,0.064085,0.075242,4.9e-05,,,,,lstm
6695,8,0.223868,0.002089,1.832357,0.006726,0.020294,0.244949,0.023668,0.171223,4.9e-05,,,,,lstm
6695,8,0.034319,0.008778,1.832386,0.006726,0.041276,0.279798,0.047326,0.197945,4.9e-05,,,,,lstm
6695,8,-0.080611,0.014512,1.832422,0.006726,0.052121,0.420492,0.060627,0.31165,4.9e-05,,,,,lstm
6695,8,-0.008662,0.010149,1.83246,0.006726,0.042229,0.150338,0.038097,0.10939,4.9e-05,,,,,lstm
6695,8,0.057564,0.00852,1.832503,0.006726,0.03594,0.093479,0.019447,0.072207,4.9e-05,,,,,lstm
10370,12,-0.045218,0.007713,1.832551,0.00671,0.032877,0.071682,0.022022,0.031332,6.1e-05,,,,,lstm
10370,12,0.094254,0.004972,1.832616,0.00671,0.028544,0.076897,0.008351,0.04044,6.1e-05,,,,,lstm
10370,12,-0.053443,0.007951,1.83268,0.00671,0.042389,0.114446,0.003786,0.068251,6.1e-05,,,,,lstm
10370,12,0.104192,0.004656,1.83275,0.00671,0.032737,0.117066,0.021663,0.073072,6.1e-05,,,,,lstm
10370,12,-0.048098,0.007383,1.832806,0.00671,0.04517,0.187336,0.007341,0.131028,6.1e-05,,,,,lstm
10370,12,0.096829,0.005389,1.832861,0.00671,0.035667,0.146474,0.02467,0.107145,6.1e-05,,,,,lstm
10370,12,0.082231,0.005286,1.832911,0.00671,0.034878,0.055732,0.019829,0.027068,6.1e-05,,,,,lstm
10370,12,-0.063066,0.007838,1.832955,0.00671,0.043371,0.162211,0.004836,0.109212,6.1e-05,,,,,lstm
14225,16,0.076301,0.005307,1.833003,0.006693,0.026214,0.09728,0.004325,0.05857,7.3e-05,,,,,lstm
14225,16,-0.033265,0.005808,1.833063,0.006693,0.030991,0.078449,0.014905,0.024763,7.3e-05,,,,,lstm
14225,16,0.099539,0.00399,1.833127,0.006693,0.02385,0.050335,0.010615,0.029715,7.3e-05,,,,,lstm
14225,16,-0.059057,0.007496,1.833186,0.006693,0.035314,0.143183,0.032108,0.101603,7.3e-05,,,,,lstm
14225,16,0.096629,0.005184,1.833241,0.006693,0.027328,0.20482,0.019715,0.142416,7.3e-05,,,,,lstm
14225,16,-0.055138,0.006165,1.833296,0.006693,0.032847,0.175172,0.028827,0.114135,7.3e-05,,,,,lstm
14225,16,0.04341,0.003086,1.833341,0.006693,0.022177,0.095815,0.010193,0.068845,7.3e-05,,,,,lstm
14225,16,0.005272,0.008288,1.833382,0.006693,0.035868,0.106144,0.010364,0.041274,7.3e-05,,,,,lstm
17222,20,-0.024489,0.009081,1.833421,0.006677,0.042938,0.05488,0.029894,0.031169,8.5e-05,,,,,lstm
17222,20,0.024405,0.006159,1.833451,0.006677,0.04386,0.084091,0.006083,0.060183,8.5e-05,,,,,lstm
17222,20,0.046262,0.006859,1.833477,0.006677,0.045692,0.058681,0.007864,0.024411,8.5e-05,,,,,lstm
17222,20,-0.123164,0.010141,1.833477,0.006677,0.06216,0.085422,0.008,0.047944,8.5e-05,,,,,lstm
17222,20,0.010657,0.007756,1.833488,0.006677,0.060309,0.128737,0.024784,0.095498,8.5e-05,,,,,lstm
17222,20,-0.04794,0.008597,1.833491,0.006677,0.061764,0.141224,0.020369,0.097114,8.5e-05,,,,,lstm
17222,20,0.061895,0.007742,1.833453,0.006677,0.062824,0.081985,0.037322,0.06289,8.5e-05,,,,,lstm
17222,20,-0.154927,0.008547,1.833409,0.006677,0.062912,0.18434,0.009521,0.122998,8.5e-05,,,,,lstm
21725,24,0.132975,0.003272,1.833364,0.006661,0.032333,0.064843,0.025608,0.034488,9.7e-05,,,,,lstm
21725,24,-0.037377,0.005635,1.833321,0.006661,0.034358,0.148885,0.003682,0.101548,9.7e-05,,,,,lstm
21725,24,-0.244506,0.012684,1.833296,0.006661,0.043745,0.228843,0.040966,0.156363,9.7e-05,,,,,lstm
21725,24,0.016779,0.005853,1.833272,0.006661,0.030868,0.322946,0.022797,0.231426,9.7e-05,,,,,lstm
21725,24,0.049437,0.003366,1.833242,0.006661,0.028825,0.375802,0.024981,0.260765,9.7e-05,,,,,lstm
21725,24,-0.113135,0.010738,1.83322,0.006661,0.051708,0.366552,0.041087,0.199013,9.7e-05,,,,,lstm
21725,24,0.00278,0.006467,1.833239,0.006661,0.036195,0.185733,0.03042,0.135015,9.7e-05,,,,,lstm
21725,24,0.039047,0.003595,1.833265,0.006661,0.026237,0.045025,0.02122,0.032654,9.7e-05,,,,,lstm
21725,24,0.024336,0.006612,1.833293,0.006661,0.031575,0.118351,0.00833,0.069564,9.7e-05,,,,,lstm
21725,24,0.03477,0.005284,1.833303,0.006661,0.029523,0.261754,0.004676,0.150765,9.7e-05,,,,,lstm
21725,24,-0.018956,0.00554,1.833315,0.006661,0.031815,0.186276,0.004791,0.102577,9.7e-05,,,,,lstm
21725,24,0.134258,0.001842,1.833327,0.006661,0.018548,0.248592,0.01784,0.123269,9.7e-05,,,,,lstm
25674,28,-0.012435,0.006568,1.833327,0.006645,0.036757,0.162101,0.011074,0.049726,0.0001,,,,,lstm
25674,28,0.044485,0.003445,1.833309,0.006645,0.034159,0.053215,0.025051,0.035505,0.0001,,,,,lstm
25674,28,0.01609,0.006481,1.833303,0.006645,0.043549,0.074652,0.028434,0.046702,0.0001,,,,,lstm
25674,28,0.015293,0.003963,1.8333,0.006645,0.041865,0.105238,0.034422,0.060395,0.0001,,,,,lstm
25674,28,0.054878,0.003768,1.833293,0.006645,0.039847,0.175073,0.040247,0.110611,0.0001,,,,,lstm
25674,28,-0.026944,0.006934,1.833287,0.006645,0.049208,0.1278,0.027272,0.061252,0.0001,,,,,lstm
25674,28,-0.029888,0.005854,1.83328,0.006645,0.041812,0.047867,0.022582,0.027783,0.0001,,,,,lstm
25674,28,0.065723,0.004272,1.833282,0.006645,0.035619,0.100634,0.024468,0.05633,0.0001,,,,,lstm
29874,32,0.113218,0.003234,1.833283,0.006629,0.029149,0.070589,0.031951,0.053756,0.0001,,,,,lstm
29874,32,-0.034846,0.004731,1.833293,0.006629,0.032047,0.119655,0.008601,0.044231,0.0001,,,,,lstm
29874,32,-0.294772,0.014983,1.833313,0.006629,0.049038,0.630616,0.016451,0.344278,0.0001,,,,,lstm
29874,32,0.096537,0.002819,1.833414,0.006629,0.027468,0.169432,0.015054,0.11287,0.0001,,,,,lstm
29874,32,-0.042189,0.005267,1.833504,0.006629,0.031011,0.255099,0.003747,0.148681,0.0001,,,,,lstm
29874,32,0.061438,0.011819,1.833602,0.006629,0.06726,0.280808,0.020079,0.141151,0.0001,,,,,lstm
29874,32,0.035356,0.004646,1.833756,0.006629,0.035694,0.224774,0.004686,0.145562,0.0001,,,,,lstm
29874,32,0.026136,0.004228,1.833908,0.006629,0.033262,0.120237,0.023187,0.065589,0.0001,,,,,lstm
29874,32,0.008255,0.001866,1.83405,0.006629,0.028018,0.074409,0.035431,0.040059,0.0001,,,,,lstm
29874,32,0.062157,0.005167,1.834156,0.006629,0.043781,0.083624,0.037706,0.051228,0.0001,,,,,lstm
29874,32,0.041291,0.003934,1.834263,0.006629,0.038669,0.04962,0.039704,0.055965,0.0001,,,,,lstm
29874,32,-0.551429,0.005911,1.834358,0.006629,0.057548,0.336139,0.070142,0.219276,0.0001,,,,,lstm
34413,36,0.08349,0.004149,1.834414,0.006612,0.031918,0.066949,0.01281,0.034027,0.0001,,,,,lstm
34413,36,-0.014395,0.004387,1.834471,0.006612,0.02467,0.059385,0.019663,0.033694,0.0001,,,,,lstm
34413,36,-0.17221,0.011353,1.834529,0.006612,0.057541,0.366659,0.002932,0.175406,0.0001,,,,,lstm
34413,36,0.035075,0.005018,1.834595,0.006612,0.044571,0.051386,0.047735,0.048727,0.0001,,,,,lstm
34413,36,-0.021626,0.006548,1.834661,0.006612,0.055763,0.049836,0.046127,0.041286,0.0001,,,,,lstm
34413,36,0.087945,0.00625,1.834729,0.006612,0.05635,0.168588,0.076335,0.156223,0.0001,,,,,lstm
34413,36,-0.012672,0.006402,1.834773,0.006612,0.055518,0.139525,0.05179,0.115871,0.0001,,,,,lstm
34413,36,0.007839,0.005774,1.834813,0.006612,0.045126,0.103989,0.042478,0.065004,0.0001,,,,,lstm
34413,36,0.168801,0.003031,1.834852,0.006612,0.036399,0.231672,0.038481,0.124098,0.0001,,,,,lstm
34413,36,-0.002614,0.004754,1.834902,0.006612,0.029051,0.039406,0.002901,0.017865,0.0001,,,,,lstm
34413,36,0.020818,0.00524,1.834952,0.006612,0.03226,0.100457,0.01721,0.066922,0.0001,,,,,lstm
34413,36,0.075791,0.004364,1.835006,0.006612,0.027842,0.117363,0.024917,0.08793,0.0001,,,,,lstm
39436,40,-0.014054,0.003634,1.835063,0.006596,0.027212,0.037449,0.008748,0.027191,0.0001,,,,,lstm
39436,40,0.082823,0.005619,1.835111,0.006596,0.028438,0.142139,0.012118,0.057378,0.0001,,,,,lstm
39436,40,-0.038426,0.003405,1.835144,0.006596,0.023504,0.11424,0.020297,0.081961,0.0001,,,,,lstm
39436,40,0.056823,0.005044,1.835169,0.006596,0.028793,0.132936,0.016502,0.0564,0.0001,,,,,lstm
39436,40,-0.009856,0.003843,1.835187,0.006596,0.026856,0.05074,0.016285,0.032868,0.0001,,,,,lstm
39436,40,0.008123,0.003974,1.835195,0.006596,0.022512,0.099196,0.013505,0.05871,0.0001,,,,,lstm
39436,40,-0.001842,0.004464,1.835192,0.006596,0.02397,0.151147,0.006343,0.090538,0.0001,,,,,lstm
39436,40,0.008695,0.00376,1.835182,0.006596,0.022756,0.06081,0.00259,0.027274,0.0001,,,,,lstm
39436,40,0.096069,0.005085,1.835172,0.006596,0.02265,0.089801,0.010292,0.05269,0.0001,,,,,lstm
39436,40,-0.013767,0.005495,1.835149,0.006596,0.026552,0.175996,0.000974,0.112022,0.0001,,,,,lstm
39436,40,0.07112,0.003242,1.835136,0.006596,0.018342,0.104948,0.00502,0.059178,0.0001,,,,,lstm
39436,40,-0.011866,0.003679,1.835119,0.006596,0.021702,0.138804,0.005983,0.055139,0.0001,,,,,lstm
44210,44,0.037249,0.004381,1.835093,0.00658,0.028733,0.084145,0.006056,0.054769,0.0001,,,,,lstm
44210,44,-0.048479,0.005048,1.835078,0.00658,0.027405,0.074378,0.012743,0.058063,0.0001,,,,,lstm
44210,44,0.095531,0.002107,1.835056,0.00658,0.019029,0.107284,0.00358,0.036972,0.0001,,,,,lstm
44210,44,0.106431,0.003356,1.835057,0.00658,0.023796,0.058679,0.005325,0.030929,0.0001,,,,,lstm
44210,44,-0.140205,0.005859,1.835069,0.00658,0.02847,0.073035,0.009742,0.035126,0.0001,,,,,lstm
44210,44,0.163535,0.002564,1.835082,0.00658,0.023099,0.115362,0.017871,0.056901,0.0001,,,,,lstm
44210,44,-0.03616,0.003781,1.835076,0.00658,0.026024,0.181533,0.011844,0.112758,0.0001,,,,,lstm
44210,44,0.017135,0.005125,1.835083,0.00658,0.026855,0.167232,0.013786,0.077687,0.0001,,,,,lstm
44210,44,0.123722,0.0041,1.835092,0.00658,0.031639,0.109844,0.025647,0.036089,0.0001,,,,,lstm
