global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
3663,4,-0.010874,0.008353,1.853482,0.006742,0.039172,0.149056,0.029376,0.076654,3.7e-05,,,,,lstm
3663,4,0.033944,0.005153,1.853482,0.006742,0.034641,0.117496,0.008659,0.061857,3.7e-05,,,,,lstm
3663,4,-0.11631,0.007682,1.85353,0.006742,0.03739,0.215633,0.017522,0.123757,3.7e-05,,,,,lstm
3663,4,0.166915,0.005928,1.853588,0.006742,0.034038,0.318905,0.024672,0.172185,3.7e-05,,,,,lstm
3663,4,0.059349,0.007499,1.853634,0.006742,0.036097,0.120266,0.008839,0.061354,3.7e-05,,,,,lstm
3663,4,-0.048323,0.005962,1.853685,0.006742,0.033846,0.089578,0.005064,0.039372,3.7e-05,,,,,lstm
3663,4,-0.024017,0.007453,1.853735,0.006742,0.030474,0.126879,0.004532,0.059256,3.7e-05,,,,,lstm
3663,4,0.05266,0.005799,1.853791,0.006742,0.03817,0.179504,0.003029,0.09214,3.7e-05,,,,,lstm
8473,8,0.010952,0.005122,1.853838,0.006726,0.03178,0.086389,0.007562,0.05217,4.9e-05,,,,,lstm
8473,8,0.029415,0.00437,1.853896,0.006726,0.026863,0.052321,0.003683,0.031684,4.9e-05,,,,,lstm
8473,8,-0.004794,0.003979,1.853947,0.006726,0.026726,0.084366,0.001238,0.055748,4.9e-05,,,,,lstm
8473,8,0.049728,0.004163,1.853998,0.006726,0.027977,0.047408,0.005224,0.025633,4.9e-05,,,,,lstm
8473,8,0.010499,0.005227,1.854041,0.006726,0.028148,0.047302,0.007238,0.026417,4.9e-05,,,,,lstm
8473,8,-0.056204,0.004285,1.854089,0.006726,0.029583,0.060473,0.006106,0.054602,4.9e-05,,,,,lstm
8473,8,0.036877,0.003878,1.854122,0.006726,0.028581,0.161745,0.013054,0.111474,4.9e-05,,,,,lstm
8473,8,0.069969,0.004526,1.854146,0.006726,0.029328,0.137692,0.013085,0.103433,4.9e-05,,,,,lstm
8473,8,-0.185102,0.007234,1.854169,0.006726,0.029272,0.186252,0.016779,0.100807,4.9e-05,,,,,lstm
8473,8,0.048344,0.005589,1.854201,0.006726,0.033784,0.057014,0.002491,0.036739,4.9e-05,,,,,lstm
8473,8,-0.014552,0.003889,1.854221,0.006726,0.026376,0.108277,0.002058,0.067283,4.9e-05,,,,,lstm
