episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1357,384.9385,384.9385,1357,0,0,1,0,0.941,1.901,collision,18.2,-0.015299,0.426428,-0.865447,0.850967,3.295678,1.429162,0.113791,5.919359,0.429263,0.407238,-0.626185,1.000073,,,,,,,,,,,,,,0,lstm
2,2709,379.2679,382.1032,1352,0,0,1,0,0.9718,1.917,collision,35.9,0.018814,0.431088,-0.852339,0.878427,3.413882,1.439083,0.203779,5.972438,0.419168,0.402423,-0.475462,1.002885,,,,,,,,,,,,,,0,lstm
3,4063,379.8987,381.3684,1354,0,0,1,0,0.9746,1.878,collision,54.1,0.036352,0.438695,-0.874403,0.876294,3.289349,1.457904,0.048237,5.899137,0.406442,0.395157,-0.43605,1.0,,,,,,,,,,,,,,0,lstm
4,5465,360.6547,376.1899,1402,0,0,1,0,0.9953,1.921,collision,74.7,-0.031029,0.427896,-0.838074,0.856054,3.374582,1.431286,0.135489,5.96381,0.434874,0.4138,-0.689311,1.004678,0.015224,0.002526,1.88994,0.006742,0.016657,0.054723,0.004649,0.019526,3.7e-05,,,,,0,lstm
5,6811,380.0749,376.9669,1346,0,0,1,0,0.9568,1.883,collision,92.7,0.02336,0.435053,-0.872552,0.882145,3.295024,1.470335,0.089756,5.935252,0.407948,0.395453,-0.450709,1.0,,,,,,,,,,,,,,0,lstm
6,8179,374.6329,376.5779,1368,0,0,1,0,1.004,1.909,collision,110.6,0.042388,0.431796,-0.84828,0.855023,3.328498,1.432421,0.087966,5.932083,0.412746,0.399997,-0.456763,1.005699,,,,,,,,,,,,,,0,lstm
7,9521,356.7621,373.7471,1342,0,0,1,0,1.0117,1.887,collision,128.1,0.040494,0.432374,-0.838567,0.860454,3.255229,1.451349,0.125437,5.928439,0.396268,0.39293,-0.483598,1.0,,,,,,,,,,,,,,0,lstm
8,10859,354.747,371.3721,1338,0,0,1,0,1.0097,1.902,collision,146.8,-0.02276,0.445824,-0.874857,0.867649,3.416483,1.444543,0.115082,5.938743,0.41994,0.404398,-0.61644,1.0,-0.003134,0.002832,1.890252,0.006726,0.020079,0.082163,0.004259,0.040591,4.9e-05,,,,,0,lstm
9,12252,380.7038,372.4089,1393,0,0,1,0,0.9897,1.895,collision,164.8,0.022079,0.437965,-0.879341,0.89191,3.348333,1.449105,0.084115,5.94287,0.407364,0.399584,-0.56488,1.010376,,,,,,,,,,,,,,0,lstm
10,12653,74.1032,342.5783,401,0,0,1,0,3.139,1.852,collision,170.0,0.160532,0.438798,-0.833983,0.880629,3.292545,1.422849,0.193463,5.79844,0.386903,0.403815,-0.672368,1.00875,,,,,,,,,,,,,,0,lstm
