episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1551,595.9521,595.9521,1551,1,1,0,0,0.2995,2.081,goal,18.4,-0.029657,0.423581,-0.8663,0.866922,4.831374,1.136546,0.150967,5.993771,0.412255,0.39739,-0.851642,1.000073,,,,,,,,,,,,,,0,lstm
2,2998,608.137,602.0445,1447,1,1,0,0,0.2992,2.08,goal,35.1,0.009512,0.427382,-0.868481,0.882534,4.883412,1.110017,0.419578,5.992752,0.399078,0.394761,-0.500256,1.002892,,,,,,,,,,,,,,0,lstm
3,4490,598.4832,600.8574,1492,1,1,0,0,0.2982,2.06,goal,52.3,0.003139,0.435034,-0.86061,0.881731,4.822477,1.149289,0.166289,5.988138,0.397792,0.390401,-0.573945,1.0,,,,,,,,,,,,,,0,lstm
4,6077,591.2125,598.4462,1587,1,1,0,0,0.2997,2.078,goal,72.9,-0.029978,0.426474,-0.866106,0.871643,4.855568,1.099603,0.424059,5.99576,0.412442,0.401203,-0.910569,1.004693,-0.022347,0.001663,1.880031,0.006742,0.015176,0.10977,0.005081,0.067183,3.7e-05,,,,,0,lstm
5,7500,598.7237,598.5017,1423,1,1,0,0,0.2972,2.077,goal,89.5,0.002175,0.426366,-0.867606,0.866713,4.804046,1.135533,0.424767,5.991164,0.390123,0.391648,-0.508651,1.0,,,,,,,,,,,,,,0,lstm
6,8947,606.8297,599.8897,1447,1,1,0,0,0.2994,2.084,goal,106.7,0.015112,0.420884,-0.870882,0.834002,4.815418,1.126987,0.175067,5.990371,0.392549,0.392216,-0.535607,1.005702,,,,,,,,,,,,,,0,lstm
7,10359,596.0099,599.3354,1412,1,1,0,0,0.2985,2.061,goal,123.3,0.00785,0.434656,-0.87231,0.877155,4.836446,1.119331,0.376411,5.991498,0.390191,0.391169,-0.552323,1.0,,,,,,,,,,,,,,0,lstm
8,11804,600.9581,599.5383,1445,1,1,0,0,0.2974,2.044,goal,141.8,-0.030785,0.445065,-0.879471,0.886856,4.77412,1.187471,0.361029,5.99301,0.391938,0.391999,-0.616317,1.0,-0.029482,0.002178,1.879771,0.006726,0.019297,0.08001,0.006518,0.045985,4.9e-05,,,,,0,lstm
9,13339,610.1455,600.7169,1535,1,1,0,0,0.2987,2.052,goal,159.5,0.015422,0.441197,-0.867135,0.878232,4.855353,1.109665,0.290585,5.987092,0.396635,0.388886,-0.563291,1.010378,,,,,,,,,,,,,,0,lstm
10,14790,607.0902,601.3542,1451,1,1,0,0,0.2982,2.082,goal,176.9,0.023705,0.419063,-0.864894,0.875013,4.801357,1.141847,0.387062,5.98577,0.394198,0.392645,-0.672096,1.008756,,,,,,,,,,,,,,0,lstm
11,16255,597.3494,601.4939,1465,1,1,0,0,0.2999,2.073,goal,194.5,-0.008603,0.426165,-0.859099,0.872608,4.793902,1.175943,0.1583,5.99125,0.397808,0.390574,-0.489527,1.0,,,,,,,,,,,,,,0,lstm
12,17831,578.4826,598.5285,1576,1,1,0,0,0.2976,2.067,goal,215.3,-0.035999,0.431084,-0.880522,0.870503,4.845106,1.161582,0.237185,5.991243,0.410845,0.400411,-0.944088,1.0,-0.012612,0.001728,1.878889,0.00671,0.016362,0.099417,0.005223,0.061501,6.1e-05,,,,,0,lstm
13,19236,596.5125,598.3314,1405,1,1,0,0,0.2969,2.085,goal,231.8,0.01097,0.421555,-0.855146,0.865438,4.883603,1.095869,0.703499,5.995868,0.393772,0.392644,-0.503133,1.0,,,,,,,,,,,,,,0,lstm
14,20875,598.5359,599.0637,1639,1,1,0,0,0.299,2.026,goal,251.3,-0.03622,0.451419,-0.880882,0.860141,4.820029,1.17457,0.191801,5.990463,0.408045,0.399624,-0.938554,1.000876,,,,,,,,,,,,,,0,lstm
15,22324,604.5864,599.65,1449,1,1,0,0,0.298,2.068,goal,268.4,-0.010269,0.433183,-0.854091,0.878449,4.817003,1.123985,0.24571,5.994961,0.394884,0.393422,-0.552933,1.0,,,,,,,,,,,,,,0,lstm
16,23875,595.0994,598.477,1551,1,1,0,0,0.2979,2.081,goal,289.5,-0.040844,0.425816,-0.867815,0.882085,4.875238,1.090345,0.285366,5.995094,0.412429,0.397264,-0.867523,1.001644,-0.016671,0.001709,1.878159,0.006693,0.016395,0.105099,0.005951,0.069114,7.3e-05,,,,,0,lstm
17,25293,598.6343,598.7394,1418,1,1,0,0,0.2997,2.075,goal,306.1,-0.011577,0.423751,-0.866376,0.861504,4.806583,1.150664,0.391629,5.991194,0.396286,0.393011,-0.469901,1.0,,,,,,,,,,,,,,0,lstm
18,26765,598.6613,598.5097,1472,1,1,0,0,0.2989,2.07,goal,322.9,8.3e-05,0.431064,-0.866881,0.874775,4.851089,1.149422,0.387481,5.990578,0.39851,0.390508,-0.539519,1.0,,,,,,,,,,,,,,0,lstm
19,28215,608.0904,598.3042,1450,1,1,0,0,0.299,2.079,goal,340.1,0.019641,0.429402,-0.880855,0.891074,4.879018,1.089919,0.592962,5.984115,0.396615,0.393958,-0.533925,1.004828,,,,,,,,,,,,,,0,lstm
20,29672,609.9711,598.5923,1457,1,1,0,0,0.299,2.075,goal,358.8,0.005923,0.421633,-0.865432,0.887828,4.879967,1.098608,0.335141,5.994561,0.391595,0.39075,-0.509315,1.006556,-0.040284,0.001803,1.877788,0.006677,0.01502,0.066203,0.007436,0.050116,8.5e-05,,,,,0,lstm
21,31111,603.2016,599.1775,1439,1,1,0,0,0.2977,2.082,goal,375.8,-0.004148,0.421812,-0.880389,0.858486,4.94151,1.089824,0.200917,5.993555,0.39057,0.390388,-0.546118,1.0,,,,,,,,,,,,,,0,lstm
22,32542,598.9615,601.2254,1431,1,1,0,0,0.2995,2.069,goal,393.0,0.027023,0.432635,-0.869759,0.879819,4.904506,1.091614,0.509404,5.989409,0.393584,0.391658,-0.659597,1.0,,,,,,,,,,,,,,0,lstm
23,33201,167.3853,558.3127,659,0,0,1,0,2.3268,2.038,collision,400.9,-0.095414,0.433282,-0.877148,0.819366,4.604758,1.22774,0.406991,5.991645,0.365364,0.384293,-0.548314,1.0,,,,,,,,,,,,,,0,lstm
24,34646,609.5085,559.41,1445,1,1,0,0,0.2999,2.08,goal,420.2,0.001665,0.423758,-0.862447,0.889692,4.884009,1.116557,0.117493,5.998024,0.393573,0.391983,-0.49551,1.004727,0.019487,0.003406,1.877905,0.006661,0.020572,0.071767,0.00782,0.052899,9.7e-05,,,,,0,lstm
25,36098,607.3542,559.6868,1452,1,1,0,0,0.2999,2.082,goal,437.0,0.000645,0.417415,-0.840986,0.873123,4.869783,1.1468,0.303607,5.995247,0.394047,0.393705,-0.498026,1.00396,,,,,,,,,,,,,,0,lstm
26,37528,598.0959,559.9864,1430,1,1,0,0,0.2993,2.063,goal,454.0,0.019506,0.435209,-0.885866,0.878678,4.92367,1.074166,0.239044,5.993952,0.395994,0.401553,-0.610647,1.0,,,,,,,,,,,,,,0,lstm
27,38974,602.9583,560.4188,1446,1,1,0,0,0.2977,2.057,goal,470.9,0.004459,0.439974,-0.872388,0.883597,4.82829,1.156924,0.318061,5.992089,0.397568,0.395151,-0.613525,1.0,,,,,,,,,,,,,,0,lstm
28,40405,601.6304,560.7157,1431,1,1,0,0,0.2982,2.091,goal,490.1,-0.00476,0.418328,-0.852362,0.841896,4.921664,1.072096,0.422573,5.99323,0.396847,0.401392,-0.555454,1.0,-0.03281,0.002117,1.878358,0.006645,0.020729,0.075337,0.015225,0.053837,0.0001,,,,,0,lstm
29,41795,589.0472,558.8114,1390,1,1,0,0,0.2996,2.089,goal,506.5,0.007478,0.424083,-0.855036,0.868313,4.926597,1.074305,0.401248,5.990084,0.394534,0.392072,-0.527125,1.0,,,,,,,,,,,,,,0,lstm
30,43257,611.5122,558.9655,1462,1,1,0,0,0.2982,2.07,goal,523.8,0.010755,0.433021,-0.855083,0.87071,4.900596,1.082205,0.343608,5.996419,0.396424,0.393551,-0.55072,1.005771,,,,,,,,,,,,,,0,lstm
31,44693,601.0822,558.7536,1436,1,1,0,0,0.3,2.073,goal,540.8,-0.00251,0.426589,-0.884379,0.839564,4.900297,1.100135,0.381168,5.994412,0.38873,0.391051,-0.524275,1.0,,,,,,,,,,,,,,0,lstm
32,46263,571.2683,555.9842,1570,1,1,0,0,0.2974,2.063,goal,561.3,-0.040542,0.435135,-0.861628,0.878666,4.877597,1.134906,0.354472,5.990594,0.412448,0.40098,-0.964337,1.0,-0.036615,0.001895,1.878546,0.006629,0.015432,0.089529,0.003993,0.059194,0.0001,,,,,0,lstm
33,47672,596.3215,598.8779,1409,1,1,0,0,0.2969,2.093,goal,577.9,-0.007306,0.421909,-0.857085,0.861835,4.917329,1.091266,0.689388,5.991593,0.392486,0.392237,-0.506263,1.0,,,,,,,,,,,,,,0,lstm
34,49085,591.1695,597.044,1413,1,1,0,0,0.2978,2.084,goal,594.0,0.014794,0.424427,-0.851397,0.867859,4.892543,1.118757,0.447891,5.987053,0.402171,0.394667,-0.609536,1.0,,,,,,,,,,,,,,0,lstm
35,50498,589.4109,595.2496,1413,1,1,0,0,0.2981,2.107,goal,610.5,0.018878,0.411881,-0.865597,0.872493,4.925865,1.060153,0.349046,5.992627,0.394993,0.402222,-0.624703,1.0,,,,,,,,,,,,,,0,lstm
36,51989,599.3744,595.3775,1491,1,1,0,0,0.2984,2.047,goal,629.7,-0.019977,0.43923,-0.883996,0.889461,4.829043,1.174615,0.141677,5.99103,0.393055,0.388574,-0.598963,1.0,-0.02759,0.001825,1.879077,0.006612,0.015655,0.085548,0.006979,0.053755,0.0001,,,,,0,lstm
37,53422,606.138,595.6955,1433,1,1,0,0,0.2974,2.095,goal,646.4,0.007619,0.417761,-0.867478,0.867196,4.941316,1.058623,0.560108,5.991414,0.395761,0.392234,-0.482449,1.005381,,,,,,,,,,,,,,0,lstm
38,54888,614.6278,596.9952,1466,1,1,0,0,0.2998,2.066,goal,663.6,0.009652,0.438998,-0.853779,0.868503,4.929582,1.055928,0.77995,5.996547,0.39568,0.394066,-0.528496,1.008433,,,,,,,,,,,,,,0,lstm
39,56361,598.8135,597.9718,1473,1,1,0,0,0.2998,2.033,goal,680.9,-0.017445,0.444154,-0.889341,0.872068,4.764035,1.266711,0.117403,5.997605,0.395331,0.389331,-0.565834,1.0,,,,,,,,,,,,,,0,lstm
40,57899,596.2351,596.4441,1538,1,1,0,0,0.2984,2.085,goal,701.5,-0.047183,0.423452,-0.88686,0.867917,4.956787,1.058945,0.300313,5.996522,0.414383,0.397358,-0.81781,1.012356,-0.040414,0.002184,1.878908,0.006596,0.017502,0.07102,0.010096,0.047695,0.0001,,,,,0,lstm
41,59343,609.6038,597.2963,1444,1,1,0,0,0.2985,2.07,goal,718.1,-0.000842,0.433475,-0.84396,0.878952,4.897625,1.086282,0.407647,5.996661,0.393279,0.392595,-0.47893,1.000466,,,,,,,,,,,,,,0,lstm
42,60796,606.0837,600.7778,1453,1,1,0,0,0.2981,2.047,goal,734.4,-0.015457,0.443635,-0.890616,0.880165,4.817457,1.140139,0.332422,5.992551,0.385315,0.390927,-0.565846,1.0,,,,,,,,,,,,,,0,lstm
43,62244,604.267,601.5724,1448,1,1,0,0,0.2989,2.078,goal,750.7,0.02481,0.425674,-0.840418,0.875021,4.903293,1.09077,0.36042,5.991358,0.397199,0.392914,-0.690898,1.001688,,,,,,,,,,,,,,0,lstm
44,63683,601.6918,602.6246,1439,1,1,0,0,0.2995,2.07,goal,769.1,0.020992,0.435887,-0.849856,0.87946,4.913415,1.11009,0.385925,5.989769,0.403303,0.395416,-0.565242,1.0,-0.032925,0.002016,1.877778,0.00658,0.020134,0.080083,0.016326,0.056834,0.0001,,,,,0,lstm
45,65140,610.081,604.6916,1457,1,1,0,0,0.2982,2.068,goal,786.2,0.009008,0.432355,-0.858214,0.873326,4.936861,1.045885,0.257433,5.996626,0.392384,0.390624,-0.528872,1.001075,,,,,,,,,,,,,,0,lstm
46,66581,599.6072,604.7149,1441,1,1,0,0,0.2999,2.046,goal,802.9,0.017107,0.445949,-0.865361,0.878455,4.886661,1.160965,0.202035,5.99434,0.396456,0.394514,-0.600486,1.0,,,,,,,,,,,,,,0,lstm
47,68142,602.1917,604.3202,1561,1,1,0,0,0.2978,2.072,goal,821.5,-0.034105,0.433142,-0.881782,0.860323,4.952719,1.072364,0.420172,5.982938,0.414072,0.397763,-0.833819,1.006723,,,,,,,,,,,,,,0,lstm
48,69679,618.8176,604.7392,1537,1,1,0,0,0.2993,2.033,goal,842.8,-0.021695,0.447944,-0.871256,0.884281,4.823689,1.168836,0.168033,5.99577,0.395754,0.389655,-0.534506,1.009515,-0.027369,0.001821,1.876629,0.006564,0.015823,0.070543,0.00374,0.043407,0.0001,,,,,0,lstm
