episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,730,193.5007,193.5007,730,0,0,1,0,2.3378,1.804,collision,9.3,-0.004792,0.439212,-0.858712,0.892906,3.020998,1.491796,0.04427,5.888052,0.426216,0.420225,-0.318741,1.0,,,,,,,,,,,,,,0,lstm
2,1462,194.7724,194.1365,732,0,0,1,0,2.3512,1.822,collision,18.5,-0.021491,0.432584,-0.857072,0.838031,3.129484,1.502095,0.060807,5.940188,0.431417,0.423196,-0.333438,1.00241,,,,,,,,,,,,,,0,lstm
3,2173,185.5336,191.2689,711,0,0,1,0,2.3547,1.871,collision,27.7,0.000916,0.431121,-0.847584,0.866193,3.147399,1.450873,0.134567,5.92225,0.429904,0.423673,-0.321961,1.0,,,,,,,,,,,,,,0,lstm
4,2927,194.7269,192.1334,754,0,0,1,0,2.354,1.817,collision,39.8,-0.021687,0.434106,-0.855341,0.84784,3.007879,1.503242,0.095689,5.853331,0.4293,0.422869,-0.484349,1.005952,-0.057046,0.009644,1.87425,0.006742,0.021476,0.079048,0.005624,0.049738,3.7e-05,,,,,0,lstm
5,3624,178.6958,189.4459,697,0,0,1,0,2.3466,1.836,collision,48.9,0.02314,0.434778,-0.853919,0.843161,3.125163,1.493187,0.081754,5.88546,0.429573,0.423469,-0.376907,1.0,,,,,,,,,,,,,,0,lstm
6,4321,183.7844,188.5023,697,0,0,1,0,2.3228,1.826,collision,58.2,0.001738,0.456709,-0.844987,0.877666,3.086962,1.484432,0.171086,5.912693,0.42742,0.41977,-0.288497,1.0,,,,,,,,,,,,,,0,lstm
7,5101,205.6549,190.9527,780,0,0,1,0,2.2955,1.817,collision,68.5,-0.030566,0.440213,-0.858336,0.850225,3.097833,1.504146,0.049963,5.925516,0.433563,0.423156,-0.602334,1.009489,,,,,,,,,,,,,,0,lstm
8,5825,190.9157,190.948,724,0,0,1,0,2.3583,1.854,collision,79.6,-0.017214,0.43081,-0.874921,0.87838,3.117691,1.444091,0.207778,5.815346,0.421217,0.418554,-0.425187,1.005936,0.000409,0.00941,1.874693,0.006726,0.027228,0.079249,0.007859,0.048968,4.9e-05,,,,,0,lstm
9,6568,194.6757,191.3622,743,0,0,1,0,2.3563,1.82,collision,89.1,-0.003541,0.451758,-0.874286,0.869022,3.062439,1.437193,0.133281,5.868524,0.428993,0.423054,-0.351112,1.006201,,,,,,,,,,,,,,0,lstm
10,7277,180.8768,190.3137,709,0,0,1,0,2.3432,1.875,collision,98.3,0.00847,0.438304,-0.833579,0.858451,3.188397,1.433927,0.118341,5.913865,0.437097,0.426206,-0.362957,1.0,,,,,,,,,,,,,,0,lstm
11,7987,187.6488,189.7285,710,0,0,1,0,2.3554,1.822,collision,107.3,0.000279,0.448572,-0.875816,0.865824,3.092544,1.438629,0.168478,5.89327,0.428139,0.420621,-0.315002,1.0,,,,,,,,,,,,,,0,lstm
12,8708,187.7195,189.0232,721,0,0,1,0,2.3397,1.777,collision,118.2,-0.015951,0.452723,-0.862687,0.860978,2.963351,1.487264,0.163721,5.882439,0.425395,0.421267,-0.515129,1.0,-0.008387,0.009817,1.875208,0.00671,0.022153,0.087012,0.006296,0.053807,6.1e-05,,,,,0,lstm
13,10071,388.7794,209.3478,1363,0,0,1,0,0.9067,1.873,collision,135.8,0.021962,0.432508,-0.889075,0.875541,3.144841,1.434627,0.12803,5.928177,0.418752,0.425178,-0.527501,1.0,,,,,,,,,,,,,,0,lstm
14,10747,173.0051,207.1756,676,0,0,1,0,2.359,1.847,collision,144.1,0.016854,0.431575,-0.845527,0.875808,3.113246,1.514835,0.261992,5.826897,0.425119,0.421385,-0.332138,1.0,,,,,,,,,,,,,,0,lstm
