global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
2927,4,0.054729,0.009871,1.874113,0.006742,0.021758,0.083326,0.006171,0.050476,3.7e-05,,,,,lstm
2927,4,-0.228275,0.009771,1.874113,0.006742,0.023436,0.106867,0.004992,0.033565,3.7e-05,,,,,lstm
2927,4,0.00096,0.012473,1.874169,0.006742,0.02242,0.048202,0.007258,0.029656,3.7e-05,,,,,lstm
2927,4,-0.105293,0.005672,1.874218,0.006742,0.020049,0.11873,0.006153,0.099773,3.7e-05,,,,,lstm
2927,4,-0.041877,0.01324,1.874272,0.006742,0.020287,0.052932,0.00516,0.035696,3.7e-05,,,,,lstm
2927,4,-0.010914,0.003301,1.874324,0.006742,0.021177,0.054152,0.005337,0.04507,3.7e-05,,,,,lstm
2927,4,0.014923,0.006842,1.874373,0.006742,0.018336,0.075304,0.003496,0.056776,3.7e-05,,,,,lstm
2927,4,-0.140622,0.01598,1.874421,0.006742,0.024346,0.092872,0.006428,0.046895,3.7e-05,,,,,lstm
5825,8,0.037975,0.008283,1.874472,0.006726,0.027851,0.066182,0.005768,0.037438,4.9e-05,,,,,lstm
5825,8,-0.159727,0.012415,1.874537,0.006726,0.025203,0.098872,0.009798,0.054569,4.9e-05,,,,,lstm
5825,8,-0.061551,0.009379,1.874601,0.006726,0.026908,0.047221,0.008399,0.030668,4.9e-05,,,,,lstm
5825,8,0.074495,0.009006,1.874664,0.006726,0.02831,0.154705,0.005633,0.105059,4.9e-05,,,,,lstm
5825,8,-0.093251,0.009876,1.874729,0.006726,0.029779,0.058856,0.010229,0.033189,4.9e-05,,,,,lstm
5825,8,0.147002,0.007332,1.874792,0.006726,0.022716,0.050033,0.00549,0.031256,4.9e-05,,,,,lstm
5825,8,-0.093131,0.00821,1.874849,0.006726,0.027307,0.031954,0.011399,0.024539,4.9e-05,,,,,lstm
