global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
6085,4,-0.015901,0.004369,1.925199,0.006742,0.019367,0.085969,0.000807,0.060604,3.7e-05,,,,,lstm
6085,4,-0.061389,0.003989,1.925199,0.006742,0.019843,0.031651,0.003997,0.018931,3.7e-05,,,,,lstm
6085,4,0.00524,0.007015,1.925203,0.006742,0.023423,0.140515,0.001417,0.140276,3.7e-05,,,,,lstm
6085,4,0.024401,0.005641,1.925207,0.006742,0.022383,0.073649,0.000743,0.068763,3.7e-05,,,,,lstm
6085,4,-0.048658,0.006324,1.925207,0.006742,0.024371,0.101122,0.002057,0.052214,3.7e-05,,,,,lstm
6085,4,-0.046946,0.003274,1.925208,0.006742,0.016377,0.03979,0.00435,0.04456,3.7e-05,,,,,lstm
6085,4,0.040886,0.005286,1.925213,0.006742,0.021149,0.063105,0.000826,0.028674,3.7e-05,,,,,lstm
6085,4,-0.037357,0.005129,1.925223,0.006742,0.022708,0.055715,0.003036,0.026585,3.7e-05,,,,,lstm
6085,4,-0.074013,0.004793,1.925227,0.006742,0.020441,0.100815,0.004623,0.080977,3.7e-05,,,,,lstm
6085,4,-0.040419,0.005157,1.925227,0.006742,0.018893,0.079832,0.002552,0.054584,3.7e-05,,,,,lstm
6085,4,-0.089997,0.004091,1.925232,0.006742,0.018084,0.122176,0.00157,0.120489,3.7e-05,,,,,lstm
6085,4,0.062076,0.006101,1.925231,0.006742,0.022565,0.040935,0.007782,0.020849,3.7e-05,,,,,lstm
12183,8,-0.008197,0.004917,1.925229,0.006726,0.021126,0.054111,0.004123,0.051024,4.9e-05,,,,,lstm
12183,8,-0.104557,0.005101,1.92523,0.006726,0.018538,0.064309,0.000973,0.050264,4.9e-05,,,,,lstm
12183,8,0.02781,0.004761,1.925233,0.006726,0.020748,0.060673,0.006531,0.04901,4.9e-05,,,,,lstm
12183,8,0.019674,0.005394,1.925247,0.006726,0.020357,0.090606,0.006404,0.081993,4.9e-05,,,,,lstm
12183,8,-0.040851,0.005546,1.925265,0.006726,0.020406,0.069223,0.001531,0.052468,4.9e-05,,,,,lstm
12183,8,-0.0625,0.003704,1.925293,0.006726,0.020237,0.067923,0.001847,0.040657,4.9e-05,,,,,lstm
12183,8,0.060939,0.00474,1.925317,0.006726,0.024434,0.099071,0.003628,0.060286,4.9e-05,,,,,lstm
12183,8,0.013605,0.007511,1.925329,0.006726,0.024249,0.153517,0.001327,0.137498,4.9e-05,,,,,lstm
12183,8,-0.157541,0.002286,1.925355,0.006726,0.016815,0.057747,0.008952,0.053166,4.9e-05,,,,,lstm
12183,8,-0.0389,0.003756,1.925387,0.006726,0.01933,0.069672,0.00437,0.033382,4.9e-05,,,,,lstm
12183,8,-0.001837,0.006154,1.925416,0.006726,0.02505,0.122276,0.00201,0.110647,4.9e-05,,,,,lstm
12183,8,-0.042925,0.004585,1.92545,0.006726,0.022291,0.056382,0.002515,0.027111,4.9e-05,,,,,lstm
18258,12,0.059474,0.005273,1.925486,0.00671,0.024801,0.091238,0.005659,0.094195,6.1e-05,,,,,lstm
18258,12,-0.050267,0.0026,1.925531,0.00671,0.016583,0.062489,0.000432,0.061514,6.1e-05,,,,,lstm
18258,12,-0.098301,0.006319,1.925571,0.00671,0.018071,0.092116,0.000725,0.086232,6.1e-05,,,,,lstm
18258,12,-0.076098,0.004521,1.9256,0.00671,0.018392,0.055264,0.000938,0.040244,6.1e-05,,,,,lstm
18258,12,0.071687,0.003771,1.925614,0.00671,0.02282,0.05813,0.007619,0.055671,6.1e-05,,,,,lstm
18258,12,-0.084625,0.00592,1.925636,0.00671,0.018036,0.083248,0.001656,0.073309,6.1e-05,,,,,lstm
18258,12,-0.060341,0.00565,1.925656,0.00671,0.02098,0.066355,0.00302,0.038572,6.1e-05,,,,,lstm
18258,12,0.002318,0.00478,1.925683,0.00671,0.018675,0.06047,0.004219,0.050561,6.1e-05,,,,,lstm
18258,12,-0.0274,0.003708,1.9257,0.00671,0.020158,0.052533,0.002826,0.029053,6.1e-05,,,,,lstm
18258,12,-0.059684,0.006069,1.92571,0.00671,0.022072,0.036656,0.001795,0.026438,6.1e-05,,,,,lstm
18258,12,-0.074721,0.002822,1.925721,0.00671,0.017632,0.104209,0.001051,0.109535,6.1e-05,,,,,lstm
18258,12,0.051277,0.005243,1.925734,0.00671,0.021281,0.048988,0.004722,0.026354,6.1e-05,,,,,lstm
24311,16,-0.055315,0.002953,1.925743,0.006693,0.019198,0.056841,0.001179,0.024488,7.3e-05,,,,,lstm
