episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1521,600.0622,600.0622,1521,1,1,0,0,0.2998,2.048,goal,20.6,0.003028,0.445163,-0.878862,0.893247,4.833713,1.109043,0.227993,5.992887,0.395628,0.407694,-0.652421,1.0,,,,,,,,,,,,,,0,lstm
2,3077,604.0855,602.0738,1556,1,1,0,0,0.2973,2.046,goal,41.6,0.004349,0.448468,-0.876487,0.869918,4.812181,1.11122,0.273587,5.983581,0.395736,0.408975,-0.683551,1.002607,,,,,,,,,,,,,,0,lstm
3,4619,605.7632,603.3036,1542,1,1,0,0,0.2992,2.038,goal,62.8,0.023505,0.450511,-0.855236,0.882779,4.857411,1.103716,0.614669,5.988791,0.399728,0.409844,-0.646728,1.0,,,,,,,,,,,,,,0,lstm
4,6150,615.5879,606.3747,1531,1,1,0,0,0.2995,2.033,goal,86.2,-0.007722,0.459598,-0.888766,0.889319,4.803006,1.099995,0.533072,5.990862,0.389797,0.397706,-0.591391,1.005678,0.004958,0.006619,1.943884,0.006742,0.033623,0.149892,0.017643,0.121119,3.7e-05,,,,,0,lstm
5,7662,592.9383,603.6874,1512,1,1,0,0,0.2998,2.042,goal,106.5,0.033457,0.450307,-0.870547,0.864227,4.861593,1.048826,0.530379,5.987229,0.395219,0.40839,-0.633926,1.0,,,,,,,,,,,,,,0,lstm
6,9159,588.3249,601.127,1497,1,1,0,0,0.2992,2.057,goal,126.8,0.030963,0.444616,-0.870308,0.866958,4.862096,1.023122,0.595062,5.986703,0.393754,0.407609,-0.655488,1.0,,,,,,,,,,,,,,0,lstm
7,9322,-21.0132,512.2498,163,0,0,1,0,3.795,1.905,collision,129.0,0.170877,0.469831,-0.877973,0.86476,3.949486,1.308728,0.242058,5.951865,0.312401,0.404521,-0.880015,1.00887,,,,,,,,,,,,,,0,lstm
8,10868,606.1667,523.9894,1546,1,1,0,0,0.299,2.053,goal,151.8,0.01235,0.451741,-0.885401,0.88634,4.806919,1.0998,0.629086,5.991012,0.392797,0.405386,-0.625864,1.005932,-0.023182,0.008651,1.943298,0.006726,0.034693,0.105799,0.013746,0.08518,4.9e-05,,,,,0,lstm
9,12426,606.2284,533.1271,1558,1,1,0,0,0.299,2.043,goal,172.0,0.016088,0.451588,-0.873228,0.894207,4.867154,1.080823,0.192798,5.997085,0.394082,0.406389,-0.647181,1.005238,,,,,,,,,,,,,,0,lstm
10,13945,594.9071,539.3051,1519,1,1,0,0,0.2987,2.06,goal,192.1,0.027137,0.436879,-0.863768,0.893961,4.827011,1.082601,0.195178,5.989733,0.396257,0.407805,-0.673386,1.0,,,,,,,,,,,,,,0,lstm
11,15457,597.5939,539.0583,1512,1,1,0,0,0.2994,2.059,goal,212.5,0.016425,0.441143,-0.877867,0.887675,4.937345,1.019604,0.656387,5.991851,0.395553,0.406382,-0.614515,1.0,,,,,,,,,,,,,,0,lstm
12,16992,595.427,538.1924,1535,1,1,0,0,0.2991,2.033,goal,235.1,-0.00465,0.456075,-0.883474,0.869232,4.843487,1.084182,0.116345,5.982185,0.392401,0.408292,-0.654165,1.0,-0.039031,0.006498,1.942913,0.00671,0.029951,0.110832,0.0116,0.111705,6.1e-05,,,,,0,lstm
13,18496,593.2991,536.946,1504,1,1,0,0,0.2985,2.061,goal,255.1,0.031335,0.446491,-0.870868,0.875333,4.901541,1.001012,0.501836,5.99218,0.396921,0.409228,-0.686009,1.0,,,,,,,,,,,,,,0,lstm
14,19996,586.943,534.0815,1500,1,1,0,0,0.2986,2.056,goal,275.2,0.021693,0.443468,-0.874722,0.886737,4.899137,1.046187,0.694714,5.987714,0.392945,0.406307,-0.652433,1.0,,,,,,,,,,,,,,0,lstm
15,21508,595.7085,534.3585,1512,1,1,0,0,0.3,2.059,goal,295.3,0.022105,0.441034,-0.880441,0.873594,4.909502,1.018934,0.418871,5.988164,0.396011,0.407685,-0.631239,1.0,,,,,,,,,,,,,,0,lstm
16,23030,600.2084,535.5469,1522,1,1,0,0,0.298,2.043,goal,317.7,0.014766,0.45069,-0.877135,0.880816,4.909561,1.015859,0.299724,5.995392,0.398774,0.409191,-0.667993,1.0,-0.030887,0.006204,1.942955,0.006693,0.027548,0.105243,0.012061,0.097234,7.3e-05,,,,,0,lstm
17,24581,602.3425,597.8825,1551,1,1,0,0,0.3,2.052,goal,338.4,0.038651,0.443846,-0.8847,0.874429,4.96659,0.984329,0.251339,5.987736,0.396773,0.407574,-0.669186,1.008334,,,,,,,,,,,,,,0,lstm
18,26158,599.7967,597.2455,1577,1,1,0,0,0.2977,2.034,goal,359.6,-0.00271,0.457898,-0.89091,0.887699,4.794436,1.120089,0.426336,5.994352,0.389125,0.407784,-0.689343,1.0,,,,,,,,,,,,,,0,lstm
19,27712,600.6785,596.6905,1554,1,1,0,0,0.2992,2.061,goal,380.4,0.044447,0.442892,-0.885261,0.877457,4.873923,1.035623,0.192343,5.987932,0.392082,0.407144,-0.755997,1.012365,,,,,,,,,,,,,,0,lstm
20,29217,591.6077,596.3605,1505,1,1,0,0,0.298,2.05,goal,403.6,0.031914,0.44427,-0.849674,0.877356,4.936227,1.030155,0.169821,5.988756,0.397264,0.40784,-0.6382,1.0,-0.047243,0.005995,1.942767,0.006677,0.022387,0.119047,0.00665,0.102,8.5e-05,,,,,0,lstm
21,30751,603.0948,596.9106,1534,1,1,0,0,0.2977,2.059,goal,424.2,0.021547,0.438651,-0.881778,0.857909,4.887652,1.078701,0.266026,5.990889,0.398603,0.40918,-0.642493,1.002842,,,,,,,,,,,,,,0,lstm
22,32272,591.6976,596.5377,1521,1,1,0,0,0.2998,2.071,goal,444.5,0.057573,0.43365,-0.845362,0.867053,4.942405,1.021145,0.168712,5.990947,0.395867,0.40884,-0.743196,1.0,,,,,,,,,,,,,,0,lstm
23,33811,599.9799,597.2058,1539,1,1,0,0,0.2977,2.046,goal,465.0,0.006288,0.452686,-0.891658,0.884914,4.888473,1.071651,0.39069,5.984524,0.394653,0.407962,-0.637631,1.0,,,,,,,,,,,,,,0,lstm
