global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
6150,4,-0.0129,0.006346,1.944153,0.006742,0.031302,0.092933,0.008194,0.069678,3.7e-05,,,,,lstm
6150,4,-0.087524,0.00671,1.944079,0.006742,0.032156,0.051351,0.017106,0.036577,3.7e-05,,,,,lstm
6150,4,0.002154,0.009295,1.944062,0.006742,0.038423,0.088664,0.013491,0.079755,3.7e-05,,,,,lstm
6150,4,-0.224775,0.002462,1.944014,0.006742,0.023354,0.23367,0.018813,0.158604,3.7e-05,,,,,lstm
6150,4,-0.087656,0.012104,1.944008,0.006742,0.02749,0.063596,0.00227,0.053116,3.7e-05,,,,,lstm
6150,4,0.100448,0.006004,1.943995,0.006742,0.035598,0.116292,0.01401,0.072522,3.7e-05,,,,,lstm
6150,4,-0.134649,0.00564,1.943965,0.006742,0.024275,0.109349,0.005279,0.139815,3.7e-05,,,,,lstm
6150,4,0.748644,0.005652,1.943941,0.006742,0.060641,0.290438,0.064956,0.173395,3.7e-05,,,,,lstm
6150,4,-0.038352,0.009312,1.943902,0.006742,0.029945,0.076968,0.006443,0.057918,3.7e-05,,,,,lstm
6150,4,-0.00341,0.008099,1.943859,0.006742,0.03186,0.133742,0.006756,0.10747,3.7e-05,,,,,lstm
6150,4,-0.07097,0.005875,1.943815,0.006742,0.027954,0.080658,0.005775,0.066109,3.7e-05,,,,,lstm
6150,4,0.47187,0.00355,1.943773,0.006742,0.031579,0.358293,0.025432,0.214598,3.7e-05,,,,,lstm
6150,4,-0.075435,0.006801,1.94372,0.006742,0.032385,0.062223,0.017698,0.068921,3.7e-05,,,,,lstm
6150,4,-0.056505,0.010634,1.94367,0.006742,0.0361,0.13255,0.019033,0.140042,3.7e-05,,,,,lstm
6150,4,0.040568,0.004855,1.943619,0.006742,0.038199,0.153372,0.014408,0.180021,3.7e-05,,,,,lstm
6150,4,-0.492182,0.002562,1.94357,0.006742,0.036705,0.354169,0.042628,0.319366,3.7e-05,,,,,lstm
10868,8,-0.053733,0.008008,1.943536,0.006726,0.038992,0.110744,0.017529,0.065874,4.9e-05,,,,,lstm
10868,8,0.065457,0.008809,1.943489,0.006726,0.035793,0.043961,0.010094,0.062636,4.9e-05,,,,,lstm
10868,8,-0.170842,0.01106,1.943445,0.006726,0.028006,0.088226,0.024318,0.080057,4.9e-05,,,,,lstm
10868,8,-0.014905,0.008976,1.943403,0.006726,0.032679,0.090297,0.012149,0.058825,4.9e-05,,,,,lstm
10868,8,0.010481,0.009271,1.943363,0.006726,0.036082,0.101189,0.016258,0.065897,4.9e-05,,,,,lstm
10868,8,-0.117008,0.006643,1.943324,0.006726,0.042,0.121161,0.016609,0.10678,4.9e-05,,,,,lstm
10868,8,-0.078016,0.009489,1.943278,0.006726,0.033306,0.041164,0.015068,0.021889,4.9e-05,,,,,lstm
10868,8,0.023665,0.009911,1.943232,0.006726,0.036102,0.075555,0.011637,0.043246,4.9e-05,,,,,lstm
10868,8,0.038652,0.003421,1.943182,0.006726,0.032,0.178225,0.006777,0.186604,4.9e-05,,,,,lstm
10868,8,-0.04623,0.010516,1.943144,0.006726,0.037377,0.070235,0.014087,0.052731,4.9e-05,,,,,lstm
10868,8,-0.022819,0.006452,1.943106,0.006726,0.029734,0.068818,0.009812,0.050356,4.9e-05,,,,,lstm
10868,8,0.087119,0.011256,1.943071,0.006726,0.034251,0.280009,0.010619,0.22727,4.9e-05,,,,,lstm
16992,12,-0.036672,0.003737,1.943028,0.00671,0.029478,0.12839,0.009991,0.138964,6.1e-05,,,,,lstm
16992,12,-0.082273,0.008427,1.942982,0.00671,0.032199,0.046498,0.013323,0.026532,6.1e-05,,,,,lstm
16992,12,0.000688,0.007405,1.942948,0.00671,0.036176,0.152736,0.016339,0.142153,6.1e-05,,,,,lstm
16992,12,0.068649,0.005495,1.942923,0.00671,0.034947,0.091461,0.012196,0.080563,6.1e-05,,,,,lstm
16992,12,-0.170275,0.007798,1.942899,0.00671,0.030499,0.168168,0.021339,0.17105,6.1e-05,,,,,lstm
16992,12,-0.017284,0.005975,1.942886,0.00671,0.033797,0.19725,0.012162,0.226543,6.1e-05,,,,,lstm
16992,12,-0.059525,0.005895,1.942878,0.00671,0.027646,0.06966,0.008042,0.07403,6.1e-05,,,,,lstm
16992,12,-0.037355,0.006505,1.942874,0.00671,0.030262,0.085848,0.005655,0.099556,6.1e-05,,,,,lstm
16992,12,-0.018912,0.006846,1.942871,0.00671,0.0262,0.089808,0.006546,0.080626,6.1e-05,,,,,lstm
16992,12,-0.008597,0.006018,1.942875,0.00671,0.026421,0.06671,0.01025,0.053671,6.1e-05,,,,,lstm
16992,12,-0.143998,0.005471,1.942888,0.00671,0.022901,0.042585,0.00541,0.029383,6.1e-05,,,,,lstm
16992,12,0.037179,0.008403,1.942904,0.00671,0.028888,0.190872,0.017948,0.217386,6.1e-05,,,,,lstm
23030,16,-0.09457,0.004643,1.94292,0.006693,0.020376,0.036558,0.00886,0.017545,7.3e-05,,,,,lstm
23030,16,-0.022742,0.006611,1.942932,0.006693,0.029585,0.146527,0.005607,0.124065,7.3e-05,,,,,lstm
23030,16,0.025984,0.007373,1.942951,0.006693,0.025852,0.105641,0.006732,0.094111,7.3e-05,,,,,lstm
23030,16,-0.038922,0.00368,1.942965,0.006693,0.031534,0.068207,0.01581,0.057916,7.3e-05,,,,,lstm
23030,16,-0.079401,0.006098,1.942972,0.006693,0.030826,0.067284,0.02333,0.052002,7.3e-05,,,,,lstm
23030,16,0.027857,0.008826,1.942979,0.006693,0.032761,0.231023,0.021447,0.239404,7.3e-05,,,,,lstm
23030,16,0.027345,0.006226,1.942978,0.006693,0.031048,0.11519,0.018494,0.116184,7.3e-05,,,,,lstm
23030,16,-0.04864,0.004227,1.94297,0.006693,0.03357,0.118846,0.019323,0.128563,7.3e-05,,,,,lstm
23030,16,-0.073243,0.008092,1.942965,0.006693,0.024822,0.037542,0.013177,0.036274,7.3e-05,,,,,lstm
23030,16,-0.059569,0.009205,1.942955,0.006693,0.023003,0.045041,0.005138,0.022611,7.3e-05,,,,,lstm
23030,16,0.027346,0.004816,1.942939,0.006693,0.023057,0.211821,0.005221,0.197932,7.3e-05,,,,,lstm
23030,16,-0.062094,0.004645,1.94293,0.006693,0.02414,0.079237,0.001596,0.080206,7.3e-05,,,,,lstm
29217,20,-0.065493,0.006439,1.942915,0.006677,0.026607,0.05431,0.006224,0.060259,8.5e-05,,,,,lstm
29217,20,-0.11123,0.00548,1.942897,0.006677,0.021974,0.072375,0.005634,0.072332,8.5e-05,,,,,lstm
29217,20,0.081385,0.009954,1.942883,0.006677,0.029365,0.128938,0.006727,0.11854,8.5e-05,,,,,lstm
29217,20,0.033111,0.002258,1.942858,0.006677,0.016559,0.144531,0.006094,0.093214,8.5e-05,,,,,lstm
29217,20,0.006059,0.012786,1.942856,0.006677,0.023518,0.075116,0.006588,0.069556,8.5e-05,,,,,lstm
29217,20,0.032892,0.006416,1.942855,0.006677,0.026996,0.075899,0.009186,0.045836,8.5e-05,,,,,lstm
29217,20,-0.118407,0.002874,1.942838,0.006677,0.021641,0.059497,0.00338,0.044803,8.5e-05,,,,,lstm
29217,20,-0.336136,0.002,1.942823,0.006677,0.015902,0.135325,0.008189,0.087812,8.5e-05,,,,,lstm
29217,20,-0.002482,0.006199,1.942791,0.006677,0.026083,0.166569,0.012179,0.187393,8.5e-05,,,,,lstm
29217,20,-0.085709,0.005753,1.94275,0.006677,0.021362,0.101684,0.002568,0.067162,8.5e-05,,,,,lstm
29217,20,0.002175,0.00992,1.942708,0.006677,0.023414,0.045258,0.004469,0.05464,8.5e-05,,,,,lstm
29217,20,-0.194905,0.001988,1.942663,0.006677,0.012185,0.20432,0.008513,0.178556,8.5e-05,,,,,lstm
29217,20,-0.129638,0.009935,1.942643,0.006677,0.018154,0.073963,0.005141,0.044901,8.5e-05,,,,,lstm
29217,20,0.111246,0.00414,1.94262,0.006677,0.031278,0.153754,0.007221,0.157759,8.5e-05,,,,,lstm
29217,20,-0.08371,0.007333,1.942594,0.006677,0.023037,0.230243,0.005356,0.242234,8.5e-05,,,,,lstm
29217,20,0.104961,0.002438,1.942573,0.006677,0.020122,0.182968,0.008924,0.107009,8.5e-05,,,,,lstm
35354,24,0.025102,0.004479,1.942517,0.006661,0.026204,0.221902,0.008516,0.211668,9.7e-05,,,,,lstm
35354,24,-0.042847,0.011647,1.942463,0.006661,0.021471,0.092153,0.00636,0.092442,9.7e-05,,,,,lstm
35354,24,-0.067046,0.005171,1.942417,0.006661,0.021503,0.150208,0.004153,0.158113,9.7e-05,,,,,lstm
