global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
4282,4,0.002667,0.003621,1.848258,0.004994,0.033716,0.104733,0.005922,0.0,3.7e-05,,,,,none
4282,4,0.049849,0.002048,1.848184,0.004994,0.022829,0.047443,0.000578,0.0,3.7e-05,,,,,none
4282,4,-0.091098,0.006501,1.848111,0.004994,0.039553,0.100732,0.009191,0.0,3.7e-05,,,,,none
4282,4,0.035011,0.003149,1.848087,0.004994,0.033342,0.080757,0.005858,0.0,3.7e-05,,,,,none
4282,4,0.014604,0.00317,1.848058,0.004994,0.029749,0.074185,0.003856,0.0,3.7e-05,,,,,none
4282,4,-0.053075,0.000472,1.84802,0.004994,0.021876,0.080838,0.002143,0.0,3.7e-05,,,,,none
4282,4,0.068806,0.001648,1.848001,0.004994,0.028191,0.048691,0.011922,0.0,3.7e-05,,,,,none
4282,4,0.00997,0.00415,1.84798,0.004994,0.036414,0.089176,0.005875,0.0,3.7e-05,,,,,none
4282,4,-0.31111,0.005531,1.847949,0.004994,0.039289,0.184697,0.014608,0.0,3.7e-05,,,,,none
4282,4,0.082599,0.003348,1.847933,0.004994,0.036046,0.037723,0.013029,0.0,3.7e-05,,,,,none
4282,4,-0.018661,0.002664,1.847911,0.004994,0.030232,0.030834,0.005902,0.0,3.7e-05,,,,,none
4282,4,-0.169449,0.003484,1.847887,0.004994,0.0374,0.479554,0.004562,0.0,3.7e-05,,,,,none
8577,8,0.026049,0.003408,1.847852,0.004982,0.032852,0.050831,0.001463,0.0,4.9e-05,,,,,none
8577,8,-0.005142,0.002284,1.847799,0.004982,0.027635,0.096059,0.001579,0.0,4.9e-05,,,,,none
8577,8,0.109248,0.000915,1.847754,0.004982,0.028215,0.128692,0.008782,0.0,4.9e-05,,,,,none
8577,8,-0.025523,0.003953,1.847726,0.004982,0.03417,0.09964,0.002621,0.0,4.9e-05,,,,,none
8577,8,0.064394,0.001823,1.847697,0.004982,0.028581,0.110323,0.006505,0.0,4.9e-05,,,,,none
8577,8,-0.041119,0.000229,1.847667,0.004982,0.018092,0.03462,0.003476,0.0,4.9e-05,,,,,none
8577,8,0.071035,0.002526,1.84764,0.004982,0.029118,0.08886,0.006245,0.0,4.9e-05,,,,,none
8577,8,-0.071654,0.002892,1.847609,0.004982,0.032128,0.038487,0.003898,0.0,4.9e-05,,,,,none
8577,8,0.315321,0.00277,1.847579,0.004982,0.03265,0.29491,0.023452,0.0,4.9e-05,,,,,none
8577,8,0.08589,0.003355,1.847533,0.004982,0.036441,0.046079,0.007371,0.0,4.9e-05,,,,,none
8577,8,-0.000285,0.001992,1.847483,0.004982,0.023189,0.111796,0.00092,0.0,4.9e-05,,,,,none
8577,8,-0.423083,0.00316,1.847433,0.004982,0.042852,0.209586,0.024755,0.0,4.9e-05,,,,,none
13599,12,-0.031019,0.001269,1.847394,0.00497,0.022696,0.03914,0.002179,0.0,6.1e-05,,,,,none
13599,12,-0.000287,0.00264,1.847359,0.00497,0.029766,0.056329,0.003887,0.0,6.1e-05,,,,,none
13599,12,0.117135,0.002144,1.847336,0.00497,0.030069,0.074594,0.011732,0.0,6.1e-05,,,,,none
13599,12,-0.00036,0.001182,1.847333,0.00497,0.024515,0.066684,0.003292,0.0,6.1e-05,,,,,none
13599,12,0.014578,0.002969,1.84734,0.00497,0.028903,0.058676,0.002766,0.0,6.1e-05,,,,,none
13599,12,0.019151,0.001598,1.847358,0.00497,0.027753,0.097425,0.003839,0.0,6.1e-05,,,,,none
13599,12,-0.006566,0.001848,1.847378,0.00497,0.02648,0.084485,0.00136,0.0,6.1e-05,,,,,none
13599,12,0.019843,0.001662,1.847405,0.00497,0.026372,0.027492,0.000793,0.0,6.1e-05,,,,,none
13599,12,0.021047,0.002894,1.847435,0.00497,0.028402,0.03541,0.00083,0.0,6.1e-05,,,,,none
13599,12,-0.041896,0.001452,1.847467,0.00497,0.024502,0.024776,0.00486,0.0,6.1e-05,,,,,none
