episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1561,652.8349,652.8349,1561,1,1,0,0,0.2997,1.879,goal,18.2,-0.025595,0.426677,-0.865464,0.848501,3.17631,1.430409,0.095281,5.908736,0.446702,0.421153,-0.626432,1.000073,,,,,,,,,,,,,,0,none
2,3112,653.9236,653.3793,1551,1,1,0,0,0.2994,1.892,goal,35.5,-0.003414,0.428364,-0.850611,0.87903,3.262162,1.435161,0.198677,5.966152,0.4401,0.421147,-0.258801,1.002894,,,,,,,,,,,,,,0,none
3,3796,185.1605,497.3063,684,0,0,1,0,2.3098,1.905,collision,43.1,0.00754,0.430913,-0.843397,0.872135,3.280304,1.420066,0.046755,5.868424,0.432021,0.419488,-0.30314,1.0,,,,,,,,,,,,,,0,none
4,5376,650.8979,535.7042,1580,1,1,0,0,0.2994,1.885,goal,62.7,-0.034001,0.429793,-0.884798,0.849898,3.183434,1.426659,0.114875,5.953867,0.446424,0.421996,-0.687459,1.004609,0.005333,0.001843,1.867929,0.004994,0.025496,0.061637,0.003574,0.0,3.7e-05,,,,,0,none
5,6056,184.8125,465.5259,680,0,0,1,0,2.3031,1.894,collision,70.3,0.010851,0.423139,-0.812399,0.843678,3.217808,1.433504,0.225227,5.883921,0.435902,0.421002,-0.15316,1.0,,,,,,,,,,,,,,0,none
6,6799,202.51,421.6899,743,0,0,1,0,2.2938,1.848,collision,78.8,0.018495,0.440041,-0.866055,0.889346,3.153261,1.473648,0.135782,5.913514,0.440607,0.423549,-0.457188,1.005609,,,,,,,,,,,,,,0,none
7,7497,190.3782,388.6454,698,0,0,1,0,2.2074,1.902,collision,86.8,0.017003,0.424775,-0.846615,0.821442,3.217526,1.421996,0.256561,5.918579,0.43728,0.421476,-0.303553,1.0,,,,,,,,,,,,,,0,none
8,9028,639.2671,419.9731,1531,1,1,0,0,0.299,1.879,goal,106.2,-0.02753,0.430137,-0.855431,0.853823,3.159971,1.430169,0.09628,5.915454,0.439778,0.420709,-0.616671,1.0,0.01174,0.004245,1.868272,0.004982,0.035394,0.059985,0.006308,0.0,4.9e-05,,,,,0,none
9,9781,203.5623,395.9274,753,0,0,1,0,2.2581,1.886,collision,114.8,0.048726,0.43237,-0.853435,0.855567,3.174342,1.404563,0.08403,5.884344,0.434355,0.422422,-0.563662,1.010377,,,,,,,,,,,,,,0,none
10,10524,195.2314,375.8578,743,0,0,1,0,2.3358,1.842,collision,123.3,0.050561,0.453088,-0.854499,0.882566,3.202441,1.45609,0.096838,5.915339,0.433605,0.424748,-0.67342,1.008671,,,,,,,,,,,,,,0,none
11,11267,205.1509,331.0894,743,0,0,1,0,2.1915,1.877,collision,131.7,-0.044391,0.430417,-0.875906,0.841013,3.157823,1.417374,0.152764,5.861778,0.439102,0.422884,-0.291683,1.0,,,,,,,,,,,,,,0,none
