global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5324,4,0.02607,0.002215,1.792962,0.004994,0.018542,0.109454,0.014388,0.0,3.7e-05,,,,,none
5324,4,-7.7e-05,0.002202,1.792888,0.004994,0.02009,0.116109,0.005263,0.0,3.7e-05,,,,,none
5324,4,0.103061,0.001259,1.792853,0.004994,0.020178,0.076483,0.01547,0.0,3.7e-05,,,,,none
5324,4,0.013468,0.001673,1.792836,0.004994,0.023084,0.077378,0.007814,0.0,3.7e-05,,,,,none
5324,4,0.035053,0.002017,1.792809,0.004994,0.020822,0.095362,0.004839,0.0,3.7e-05,,,,,none
5324,4,0.067965,0.001782,1.792787,0.004994,0.01943,0.142671,0.01041,0.0,3.7e-05,,,,,none
5324,4,0.061568,0.001811,1.792768,0.004994,0.018997,0.06355,0.005333,0.0,3.7e-05,,,,,none
5324,4,0.031405,0.001683,1.79274,0.004994,0.018316,0.039174,0.002482,0.0,3.7e-05,,,,,none
5324,4,-0.002797,0.001662,1.792717,0.004994,0.019538,0.100937,0.003288,0.0,3.7e-05,,,,,none
5324,4,-0.012718,0.002575,1.792703,0.004994,0.022347,0.034498,0.008711,0.0,3.7e-05,,,,,none
5324,4,0.041861,0.001357,1.792691,0.004994,0.015139,0.103187,0.004382,0.0,3.7e-05,,,,,none
5324,4,0.100576,0.000678,1.792675,0.004994,0.014746,0.071166,0.005261,0.0,3.7e-05,,,,,none
10778,8,0.058481,0.000946,1.792665,0.004982,0.012129,0.015609,0.001399,0.0,4.9e-05,,,,,none
10778,8,0.02152,0.001065,1.792658,0.004982,0.014899,0.10065,0.003943,0.0,4.9e-05,,,,,none
10778,8,0.023349,0.000949,1.792649,0.004982,0.013862,0.116304,0.0036,0.0,4.9e-05,,,,,none
10778,8,0.053241,0.001054,1.792638,0.004982,0.013301,0.019922,0.002978,0.0,4.9e-05,,,,,none
10778,8,0.058619,0.000731,1.792628,0.004982,0.011927,0.038028,0.003047,0.0,4.9e-05,,,,,none
10778,8,-0.023721,0.001134,1.792627,0.004982,0.015808,0.037729,0.007818,0.0,4.9e-05,,,,,none
10778,8,0.125965,0.000174,1.792617,0.004982,0.009946,0.047149,0.003757,0.0,4.9e-05,,,,,none
10778,8,-0.054927,0.001776,1.792612,0.004982,0.017133,0.041021,0.011871,0.0,4.9e-05,,,,,none
10778,8,0.038272,0.00074,1.79261,0.004982,0.012025,0.053018,0.000724,0.0,4.9e-05,,,,,none
10778,8,0.055192,0.000143,1.792602,0.004982,0.009362,0.030781,0.001949,0.0,4.9e-05,,,,,none
10778,8,-0.016292,0.001838,1.792594,0.004982,0.018272,0.056419,0.0057,0.0,4.9e-05,,,,,none
10778,8,0.084404,0.000626,1.79259,0.004982,0.011134,0.055045,0.005228,0.0,4.9e-05,,,,,none
16074,12,0.00034,0.002958,1.792584,0.00497,0.02385,0.066842,0.013999,0.0,6.1e-05,,,,,none
16074,12,0.002173,0.002383,1.792593,0.00497,0.019761,0.067066,0.0124,0.0,6.1e-05,,,,,none
16074,12,0.137044,0.000166,1.792621,0.00497,0.009048,0.031312,0.008846,0.0,6.1e-05,,,,,none
16074,12,0.021246,0.002344,1.792658,0.00497,0.019988,0.058946,0.005142,0.0,6.1e-05,,,,,none
16074,12,0.05911,0.002106,1.792703,0.00497,0.019875,0.157452,0.00248,0.0,6.1e-05,,,,,none
16074,12,0.008762,0.001421,1.792752,0.00497,0.018311,0.063196,0.001597,0.0,6.1e-05,,,,,none
16074,12,-0.033941,0.003941,1.792795,0.00497,0.028907,0.035678,0.009117,0.0,6.1e-05,,,,,none
16074,12,0.064984,0.000963,1.792849,0.00497,0.015263,0.033422,0.010158,0.0,6.1e-05,,,,,none
16074,12,0.091201,0.000558,1.792906,0.00497,0.016306,0.049264,0.013086,0.0,6.1e-05,,,,,none
16074,12,0.082632,0.001663,1.792949,0.00497,0.019518,0.0873,0.009104,0.0,6.1e-05,,,,,none
16074,12,0.00592,0.0025,1.792987,0.00497,0.019659,0.033322,0.006841,0.0,6.1e-05,,,,,none
16074,12,-0.003899,0.001582,1.793033,0.00497,0.019337,0.148525,0.006344,0.0,6.1e-05,,,,,none
21072,16,0.017231,0.003143,1.793087,0.004958,0.025544,0.078345,0.021655,0.0,7.3e-05,,,,,none
21072,16,0.02277,0.002351,1.793162,0.004958,0.022487,0.21422,0.019946,0.0,7.3e-05,,,,,none
21072,16,0.034401,0.004025,1.793232,0.004958,0.028223,0.038044,0.016558,0.0,7.3e-05,,,,,none
21072,16,0.0611,0.002908,1.793314,0.004958,0.024552,0.180454,0.008401,0.0,7.3e-05,,,,,none
21072,16,0.03416,0.00221,1.793399,0.004958,0.022363,0.049535,0.006261,0.0,7.3e-05,,,,,none
21072,16,-0.081623,0.003512,1.79347,0.004958,0.02946,0.206217,0.015364,0.0,7.3e-05,,,,,none
21072,16,-0.009581,0.003417,1.793543,0.004958,0.030361,0.119035,0.003754,0.0,7.3e-05,,,,,none
21072,16,0.107931,0.001215,1.793604,0.004958,0.024649,0.17809,0.021843,0.0,7.3e-05,,,,,none
21072,16,-0.092577,0.003603,1.793655,0.004958,0.0364,0.072617,0.005333,0.0,7.3e-05,,,,,none
21072,16,0.064323,0.001645,1.793714,0.004958,0.027819,0.10641,0.021919,0.0,7.3e-05,,,,,none
21072,16,0.074865,0.002715,1.793776,0.004958,0.030675,0.127704,0.020707,0.0,7.3e-05,,,,,none
21072,16,-0.173492,0.003182,1.793839,0.004958,0.036318,0.130961,0.00485,0.0,7.3e-05,,,,,none
26623,20,-0.018824,0.000953,1.793904,0.004946,0.017502,0.185693,0.011527,0.0,8.5e-05,,,,,none
26623,20,0.039729,0.00045,1.793978,0.004946,0.01397,0.088424,0.010619,0.0,8.5e-05,,,,,none
26623,20,0.064132,0.00179,1.794058,0.004946,0.022936,0.124597,0.00373,0.0,8.5e-05,,,,,none
26623,20,0.049727,0.000442,1.79417,0.004946,0.016683,0.076971,0.005203,0.0,8.5e-05,,,,,none
26623,20,0.005207,0.001238,1.794267,0.004946,0.023337,0.227809,0.017378,0.0,8.5e-05,,,,,none
26623,20,0.018739,0.001493,1.794376,0.004946,0.026698,0.139207,0.022032,0.0,8.5e-05,,,,,none
26623,20,0.105345,0.000431,1.794502,0.004946,0.020895,0.028378,0.015819,0.0,8.5e-05,,,,,none
26623,20,0.005308,0.000964,1.794619,0.004946,0.023021,0.107513,0.026338,0.0,8.5e-05,,,,,none
26623,20,-0.061479,0.001822,1.794744,0.004946,0.029275,0.290226,0.024976,0.0,8.5e-05,,,,,none
26623,20,0.054238,0.000805,1.794886,0.004946,0.019367,0.065272,0.00959,0.0,8.5e-05,,,,,none
26623,20,0.034748,0.000288,1.795022,0.004946,0.013949,0.059221,0.002235,0.0,8.5e-05,,,,,none
26623,20,-0.027416,0.001921,1.795148,0.004946,0.024361,0.145987,0.002336,0.0,8.5e-05,,,,,none
32041,24,0.033896,0.001447,1.7953,0.004934,0.016901,0.078032,0.008349,0.0,9.7e-05,,,,,none
32041,24,0.030835,0.000714,1.795465,0.004934,0.019576,0.069219,0.015989,0.0,9.7e-05,,,,,none
32041,24,0.036696,0.002719,1.795624,0.004934,0.023799,0.12554,0.012996,0.0,9.7e-05,,,,,none
32041,24,-0.011247,0.002143,1.795771,0.004934,0.020826,0.047602,0.008609,0.0,9.7e-05,,,,,none
32041,24,0.028378,0.001366,1.7959,0.004934,0.020256,0.102799,0.012028,0.0,9.7e-05,,,,,none
32041,24,0.10947,0.000485,1.796024,0.004934,0.015893,0.114901,0.015815,0.0,9.7e-05,,,,,none
32041,24,0.095923,0.001576,1.796159,0.004934,0.01955,0.087622,0.005848,0.0,9.7e-05,,,,,none
32041,24,0.032304,0.000326,1.796293,0.004934,0.015044,0.03774,0.004428,0.0,9.7e-05,,,,,none
32041,24,-0.057402,0.002897,1.796423,0.004934,0.024849,0.07506,0.027737,0.0,9.7e-05,,,,,none
32041,24,0.029522,0.000874,1.796533,0.004934,0.016041,0.175707,0.013065,0.0,9.7e-05,,,,,none
32041,24,0.056732,0.001505,1.796629,0.004934,0.021743,0.271855,0.006502,0.0,9.7e-05,,,,,none
32041,24,0.006089,0.002086,1.796715,0.004934,0.019609,0.221281,0.009,0.0,9.7e-05,,,,,none
37580,28,-0.046291,0.001112,1.796812,0.004922,0.019657,0.054797,0.006243,0.0,0.0001,,,,,none
37580,28,0.053918,0.000427,1.796896,0.004922,0.01528,0.142541,0.01661,0.0,0.0001,,,,,none
37580,28,0.081763,0.000878,1.796967,0.004922,0.018448,0.546971,0.018227,0.0,0.0001,,,,,none
37580,28,-0.082456,0.001126,1.797025,0.004922,0.01755,0.552547,0.004587,0.0,0.0001,,,,,none
37580,28,0.075885,0.000329,1.797074,0.004922,0.014943,0.231252,0.010841,0.0,0.0001,,,,,none
37580,28,0.098052,0.000834,1.797108,0.004922,0.018841,0.128841,0.005818,0.0,0.0001,,,,,none
37580,28,-0.001655,0.000666,1.797121,0.004922,0.015969,0.083125,0.005497,0.0,0.0001,,,,,none
37580,28,-0.062555,0.001037,1.797121,0.004922,0.021094,0.17827,0.01705,0.0,0.0001,,,,,none
37580,28,0.181126,0.000422,1.797121,0.004922,0.015823,0.424195,0.00068,0.0,0.0001,,,,,none
