global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5938,4,0.02097,0.000909,1.779569,0.004994,0.017947,0.095767,0.018413,0.0,3.7e-05,,,,,none
5938,4,0.035586,0.000569,1.779643,0.004994,0.01734,0.224756,0.009127,0.0,3.7e-05,,,,,none
5938,4,-0.079536,0.000508,1.779707,0.004994,0.016227,0.167159,0.006835,0.0,3.7e-05,,,,,none
5938,4,-0.025633,0.000761,1.779748,0.004994,0.016799,0.309838,0.004249,0.0,3.7e-05,,,,,none
5938,4,-0.008999,0.000633,1.7798,0.004994,0.018582,0.145552,0.003963,0.0,3.7e-05,,,,,none
5938,4,0.020469,0.000489,1.779858,0.004994,0.016435,0.423364,0.001034,0.0,3.7e-05,,,,,none
5938,4,-0.034441,0.000546,1.779897,0.004994,0.016265,0.071088,0.001536,0.0,3.7e-05,,,,,none
5938,4,0.036494,0.000451,1.779927,0.004994,0.015545,0.353259,0.003961,0.0,3.7e-05,,,,,none
5938,4,-0.018192,0.000868,1.779965,0.004994,0.017162,0.285001,0.002534,0.0,3.7e-05,,,,,none
5938,4,0.058471,0.000642,1.780009,0.004994,0.015558,0.140567,0.006828,0.0,3.7e-05,,,,,none
5938,4,-0.031314,0.000495,1.780052,0.004994,0.015301,0.123082,0.00133,0.0,3.7e-05,,,,,none
5938,4,-0.04465,0.000682,1.780098,0.004994,0.017358,0.158122,0.00112,0.0,3.7e-05,,,,,none
10325,8,0.03381,0.000639,1.780146,0.004982,0.017993,0.090167,0.018121,0.0,4.9e-05,,,,,none
10325,8,0.082489,0.001353,1.780198,0.004982,0.021061,0.201295,0.017567,0.0,4.9e-05,,,,,none
10325,8,-0.385056,0.002854,1.780248,0.004982,0.029633,0.487489,0.029021,0.0,4.9e-05,,,,,none
10325,8,-0.057312,0.001248,1.780265,0.004982,0.020311,0.081938,0.002437,0.0,4.9e-05,,,,,none
10325,8,0.103611,0.001106,1.780275,0.004982,0.019949,0.123243,0.015715,0.0,4.9e-05,,,,,none
10325,8,0.050126,0.000183,1.780284,0.004982,0.014633,0.115489,0.01042,0.0,4.9e-05,,,,,none
10325,8,0.037064,0.000531,1.78028,0.004982,0.016935,0.338532,0.006553,0.0,4.9e-05,,,,,none
10325,8,-0.020707,0.00174,1.780274,0.004982,0.021945,0.318618,0.002611,0.0,4.9e-05,,,,,none
10325,8,0.218416,0.000395,1.780267,0.004982,0.018784,0.496223,0.016043,0.0,4.9e-05,,,,,none
10325,8,0.139836,0.000548,1.780248,0.004982,0.018359,0.322845,0.006439,0.0,4.9e-05,,,,,none
10325,8,-0.021857,0.001377,1.780219,0.004982,0.01933,0.14156,0.010766,0.0,4.9e-05,,,,,none
10325,8,-0.399801,0.002347,1.780193,0.004982,0.027275,0.443357,0.042831,0.0,4.9e-05,,,,,none
15883,12,0.005446,0.000341,1.780181,0.00497,0.015215,0.064135,0.006277,0.0,6.1e-05,,,,,none
15883,12,0.045355,0.002663,1.780164,0.00497,0.023122,0.214681,0.005548,0.0,6.1e-05,,,,,none
15883,12,0.036191,0.001687,1.780143,0.00497,0.019805,0.155234,0.00252,0.0,6.1e-05,,,,,none
15883,12,-0.028715,0.002583,1.780121,0.00497,0.022965,0.169701,0.007282,0.0,6.1e-05,,,,,none
15883,12,0.074091,0.000301,1.780094,0.00497,0.014235,0.070912,0.015295,0.0,6.1e-05,,,,,none
15883,12,0.042966,0.001843,1.780073,0.00497,0.020438,0.143295,0.006803,0.0,6.1e-05,,,,,none
15883,12,-0.021484,0.0028,1.780056,0.00497,0.025766,0.300714,0.004642,0.0,6.1e-05,,,,,none
15883,12,0.054163,0.001158,1.780042,0.00497,0.016045,0.047849,0.012157,0.0,6.1e-05,,,,,none
15883,12,0.061934,0.000309,1.780028,0.00497,0.014105,0.025557,0.014807,0.0,6.1e-05,,,,,none
15883,12,-0.012237,0.001998,1.780014,0.00497,0.017875,0.194619,0.002168,0.0,6.1e-05,,,,,none
15883,12,0.029535,0.000936,1.779999,0.00497,0.016934,0.040854,0.003919,0.0,6.1e-05,,,,,none
15883,12,0.083289,0.001662,1.779993,0.00497,0.021856,0.063275,0.004453,0.0,6.1e-05,,,,,none
21843,16,0.048244,0.0004,1.77998,0.004958,0.015504,0.17707,0.008988,0.0,7.3e-05,,,,,none
21843,16,0.003508,0.000408,1.779964,0.004958,0.017537,0.234591,0.00253,0.0,7.3e-05,,,,,none
21843,16,-0.082181,0.001029,1.779966,0.004958,0.016376,0.237894,0.007649,0.0,7.3e-05,,,,,none
21843,16,0.107219,0.000581,1.779968,0.004958,0.017746,0.142482,0.002824,0.0,7.3e-05,,,,,none
21843,16,-0.028175,0.000572,1.779971,0.004958,0.018401,0.687138,0.013003,0.0,7.3e-05,,,,,none
21843,16,-0.110521,0.000651,1.779966,0.004958,0.016778,0.582908,0.017745,0.0,7.3e-05,,,,,none
21843,16,0.014548,0.00109,1.779968,0.004958,0.0191,0.098355,0.012875,0.0,7.3e-05,,,,,none
21843,16,0.147212,0.000401,1.779963,0.004958,0.017235,0.200583,0.002599,0.0,7.3e-05,,,,,none
21843,16,-0.195357,0.000284,1.779958,0.004958,0.015711,0.054405,0.018907,0.0,7.3e-05,,,,,none
21843,16,0.012626,0.000515,1.779958,0.004958,0.017696,0.08439,0.006218,0.0,7.3e-05,,,,,none
21843,16,-0.031349,0.000792,1.779981,0.004958,0.015467,0.305866,0.002091,0.0,7.3e-05,,,,,none
21843,16,-0.002783,0.000429,1.780001,0.004958,0.01451,0.189464,0.002632,0.0,7.3e-05,,,,,none
26185,20,0.014908,0.00111,1.78,0.004946,0.015633,0.106569,0.004109,0.0,8.5e-05,,,,,none
26185,20,0.062047,0.000639,1.779981,0.004946,0.014139,0.205957,0.012055,0.0,8.5e-05,,,,,none
26185,20,-0.057938,0.001994,1.779958,0.004946,0.018016,0.188026,0.005416,0.0,8.5e-05,,,,,none
26185,20,0.004189,0.000705,1.779894,0.004946,0.013816,0.294322,0.009228,0.0,8.5e-05,,,,,none
26185,20,0.060085,0.001282,1.779836,0.004946,0.016581,0.309926,0.010815,0.0,8.5e-05,,,,,none
26185,20,0.037144,0.000203,1.779764,0.004946,0.011701,0.390519,0.008743,0.0,8.5e-05,,,,,none
26185,20,0.07832,0.001229,1.779671,0.004946,0.015168,0.148886,0.010234,0.0,8.5e-05,,,,,none
26185,20,-0.006127,0.000734,1.779579,0.004946,0.014707,0.102326,0.00136,0.0,8.5e-05,,,,,none
26185,20,-0.012754,0.000116,1.779483,0.004946,0.010847,0.105433,0.00169,0.0,8.5e-05,,,,,none
26185,20,0.011424,0.000625,1.779381,0.004946,0.014466,0.129125,0.002391,0.0,8.5e-05,,,,,none
26185,20,0.075366,0.001153,1.779279,0.004946,0.014858,0.284941,0.001282,0.0,8.5e-05,,,,,none
26185,20,-0.131022,0.001234,1.779173,0.004946,0.013485,0.347248,0.011485,0.0,8.5e-05,,,,,none
31988,24,0.01699,0.00066,1.779083,0.004934,0.019211,0.189656,0.019095,0.0,9.7e-05,,,,,none
31988,24,-0.120805,0.000478,1.779016,0.004934,0.015908,0.081307,0.008783,0.0,9.7e-05,,,,,none
31988,24,0.064511,0.000952,1.778955,0.004934,0.019888,0.088123,0.018439,0.0,9.7e-05,,,,,none
31988,24,0.040028,0.000731,1.778919,0.004934,0.019281,0.150235,0.010719,0.0,9.7e-05,,,,,none
31988,24,-0.059855,0.000492,1.77891,0.004934,0.01813,0.16838,0.003245,0.0,9.7e-05,,,,,none
31988,24,-0.035884,0.00074,1.77891,0.004934,0.019438,0.196707,0.006788,0.0,9.7e-05,,,,,none
31988,24,-0.047507,0.000851,1.778924,0.004934,0.020754,0.056448,0.011331,0.0,9.7e-05,,,,,none
31988,24,0.011734,0.000341,1.778957,0.004934,0.018798,0.164935,0.009962,0.0,9.7e-05,,,,,none
31988,24,-0.016365,0.000722,1.778994,0.004934,0.020784,0.14692,0.010564,0.0,9.7e-05,,,,,none
