episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1497,582.8031,582.8031,1497,1,1,0,0,0.2976,2.146,goal,18.9,-0.040626,0.392592,-0.855043,0.844794,5.317594,0.780256,0.728846,5.994243,0.411678,0.398108,-0.858992,1.000073,,,,,,,,,,,,,,0,none
2,2912,589.6978,586.2505,1415,1,1,0,0,0.2997,2.152,goal,35.8,-0.018754,0.394218,-0.868336,0.861185,5.341648,0.761235,1.353859,5.997651,0.401201,0.389806,-0.402916,1.002894,,,,,,,,,,,,,,0,none
3,4308,581.4665,584.6558,1396,1,1,0,0,0.2998,2.152,goal,52.7,-0.009339,0.393809,-0.857493,0.850311,5.317353,0.775655,0.387386,5.993862,0.403151,0.391209,-0.444959,1.0,,,,,,,,,,,,,,0,none
4,5829,573.6896,581.9143,1521,1,1,0,0,0.2985,2.144,goal,72.4,-0.045507,0.392554,-0.859889,0.807048,5.364403,0.727634,0.966933,5.998009,0.411604,0.40087,-0.927013,1.004693,-0.003548,0.001105,1.713027,0.004994,0.013663,0.150545,0.006852,0.0,3.7e-05,,,,,0,none
5,7219,581.7704,581.8855,1390,1,1,0,0,0.2998,2.144,goal,89.3,-0.012876,0.393271,-0.874587,0.866474,5.245711,0.829847,0.924964,5.994686,0.402043,0.390587,-0.44994,1.0,,,,,,,,,,,,,,0,none
6,8636,589.3368,583.1274,1417,1,1,0,0,0.2987,2.156,goal,106.3,-0.003946,0.389221,-0.849374,0.821186,5.286562,0.805749,0.639652,5.994656,0.403806,0.392175,-0.45673,1.0057,,,,,,,,,,,,,,0,none
7,10006,574.3286,581.8704,1370,1,1,0,0,0.2996,2.147,goal,122.8,-0.003781,0.394928,-0.872494,0.84197,5.285961,0.809402,0.709722,5.99321,0.400117,0.389671,-0.400968,1.0,,,,,,,,,,,,,,0,none
8,11427,586.9412,582.5043,1421,1,1,0,0,0.2986,2.101,goal,141.0,-0.061676,0.419007,-0.864404,0.862495,5.303322,0.778481,0.902997,5.99578,0.397845,0.39063,-0.616422,1.0,-0.01424,0.000761,1.713241,0.004982,0.013186,0.153548,0.009439,0.0,4.9e-05,,,,,0,none
9,12434,289.9762,550.0012,1007,0,0,1,0,1.405,2.148,collision,153.1,0.046301,0.393757,-0.873262,0.880138,5.379619,0.710337,0.817404,5.995608,0.400787,0.391544,-0.563407,1.01038,,,,,,,,,,,,,,0,none
10,13881,594.2656,554.4276,1447,1,1,0,0,0.2984,2.128,goal,170.4,0.009722,0.404768,-0.873666,0.848681,5.306258,0.786305,0.689577,5.993268,0.402223,0.391733,-0.672129,1.008731,,,,,,,,,,,,,,0,none
11,15285,585.0912,554.6564,1404,1,1,0,0,0.2978,2.143,goal,186.9,-0.02841,0.393594,-0.872374,0.852165,5.278474,0.832138,0.758242,5.995018,0.399285,0.391135,-0.428153,1.0,,,,,,,,,,,,,,0,none
12,16803,559.4238,551.629,1518,1,1,0,0,0.2972,2.133,goal,206.1,-0.056677,0.399684,-0.882124,0.854459,5.325081,0.803522,0.858129,5.993232,0.409915,0.402361,-0.944555,1.0,0.030766,0.001756,1.713203,0.00497,0.016518,0.079212,0.008348,0.0,6.1e-05,,,,,0,none
13,18210,581.9987,551.6822,1407,1,1,0,0,0.2969,2.132,goal,222.3,-0.001632,0.404145,-0.856577,0.842741,5.312183,0.799061,0.737269,5.994781,0.400041,0.391699,-0.507182,1.0,,,,,,,,,,,,,,0,none
14,19648,593.1674,553.63,1438,1,1,0,0,0.2985,2.125,goal,239.0,-0.055201,0.404941,-0.872299,0.826855,5.32946,0.775056,1.415587,5.998309,0.396783,0.390198,-0.593177,1.000877,,,,,,,,,,,,,,0,none
