global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5829,4,0.128651,0.001251,1.712892,0.004994,0.015909,0.071089,0.025326,0.0,3.7e-05,,,,,none
5829,4,-0.062891,0.001111,1.712966,0.004994,0.013036,0.240318,0.009218,0.0,3.7e-05,,,,,none
5829,4,-0.087527,0.001141,1.713005,0.004994,0.012141,0.137072,0.003303,0.0,3.7e-05,,,,,none
5829,4,0.032772,0.001432,1.713009,0.004994,0.01475,0.112859,0.004767,0.0,3.7e-05,,,,,none
5829,4,-0.028318,0.001638,1.712988,0.004994,0.013749,0.278768,0.004366,0.0,3.7e-05,,,,,none
5829,4,-0.014789,0.000175,1.713001,0.004994,0.013534,0.10764,0.007062,0.0,3.7e-05,,,,,none
5829,4,0.045915,0.001493,1.713013,0.004994,0.013733,0.194162,0.005558,0.0,3.7e-05,,,,,none
5829,4,-0.111124,0.001489,1.713038,0.004994,0.014374,0.10642,0.01078,0.0,3.7e-05,,,,,none
5829,4,0.064561,0.000192,1.713068,0.004994,0.014173,0.20909,0.002772,0.0,3.7e-05,,,,,none
5829,4,-0.0136,0.000833,1.713088,0.004994,0.013436,0.214032,0.002242,0.0,3.7e-05,,,,,none
5829,4,0.018995,0.000843,1.713117,0.004994,0.012554,0.081518,0.002371,0.0,3.7e-05,,,,,none
5829,4,-0.015222,0.001664,1.713144,0.004994,0.012563,0.053578,0.00446,0.0,3.7e-05,,,,,none
11427,8,-0.023191,0.00058,1.713175,0.004982,0.012375,0.123654,0.012,0.0,4.9e-05,,,,,none
11427,8,0.081451,0.001576,1.713217,0.004982,0.013868,0.199952,0.016916,0.0,4.9e-05,,,,,none
11427,8,-0.126977,0.000123,1.713239,0.004982,0.010958,0.158414,0.005992,0.0,4.9e-05,,,,,none
11427,8,0.051557,0.000576,1.713255,0.004982,0.013342,0.247661,0.009327,0.0,4.9e-05,,,,,none
11427,8,-0.048015,0.000961,1.713254,0.004982,0.011645,0.17157,0.001,0.0,4.9e-05,,,,,none
11427,8,-0.055644,0.00084,1.713258,0.004982,0.012211,0.140069,0.003571,0.0,4.9e-05,,,,,none
