global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
1412,4,-0.002117,0.007271,1.837034,0.004994,0.04851,0.099411,0.041202,0.0,3.7e-05,,,,,none
1412,4,-0.001758,0.006976,1.837034,0.004994,0.045707,0.100915,0.029806,0.0,3.7e-05,,,,,none
1412,4,-0.001376,0.006793,1.837034,0.004994,0.046116,0.1022,0.019936,0.0,3.7e-05,,,,,none
1412,4,-0.001069,0.006694,1.837034,0.004994,0.047578,0.046077,0.012398,0.0,3.7e-05,,,,,none
3894,8,0.029175,0.003911,1.837039,0.004982,0.036604,0.06934,0.012696,0.0,4.9e-05,,,,,none
3894,8,-0.096061,0.004934,1.837029,0.004982,0.048948,0.218199,0.008413,0.0,4.9e-05,,,,,none
3894,8,0.011959,0.004012,1.837007,0.004982,0.038474,0.075563,0.016934,0.0,4.9e-05,,,,,none
3894,8,-0.02008,0.004811,1.836977,0.004982,0.05158,0.197388,0.017246,0.0,4.9e-05,,,,,none
3894,8,0.009179,0.004048,1.83693,0.004982,0.040888,0.184977,0.015914,0.0,4.9e-05,,,,,none
3894,8,-0.009933,0.00448,1.836877,0.004982,0.03787,0.307049,0.011679,0.0,4.9e-05,,,,,none
3894,8,0.006118,0.002963,1.836817,0.004982,0.033849,0.144266,0.012948,0.0,4.9e-05,,,,,none
3894,8,0.004877,0.008994,1.836757,0.004982,0.063667,0.136238,0.01509,0.0,4.9e-05,,,,,none
7836,12,0.003428,0.002917,1.836688,0.00497,0.03585,0.06501,0.029044,0.0,6.1e-05,,,,,none
7836,12,-0.003208,0.003527,1.836607,0.00497,0.03953,0.062738,0.025083,0.0,6.1e-05,,,,,none
7836,12,0.002722,0.002797,1.836536,0.00497,0.033495,0.060833,0.020216,0.0,6.1e-05,,,,,none
7836,12,-0.002415,0.003302,1.836472,0.00497,0.036547,0.027582,0.013574,0.0,6.1e-05,,,,,none
7836,12,-0.033878,0.001994,1.836414,0.00497,0.030991,0.054362,0.00488,0.0,6.1e-05,,,,,none
7836,12,0.037012,0.003909,1.836355,0.00497,0.040512,0.131267,0.00449,0.0,6.1e-05,,,,,none
7836,12,-0.001637,0.002903,1.836305,0.00497,0.037433,0.081094,0.005093,0.0,6.1e-05,,,,,none
7836,12,0.001977,0.002916,1.836257,0.00497,0.041716,0.125433,0.009708,0.0,6.1e-05,,,,,none
13627,16,-6.5e-05,0.002109,1.836209,0.004958,0.032137,0.055787,0.024857,0.0,7.3e-05,,,,,none
13627,16,-0.030335,0.002212,1.836149,0.004958,0.030887,0.054246,0.016089,0.0,7.3e-05,,,,,none
13627,16,0.030535,0.001697,1.836091,0.004958,0.03385,0.070419,0.012093,0.0,7.3e-05,,,,,none
13627,16,0.115855,0.002323,1.836039,0.004958,0.03878,0.081447,0.010315,0.0,7.3e-05,,,,,none
13627,16,-0.04871,0.001509,1.835987,0.004958,0.03657,0.141652,0.009209,0.0,7.3e-05,,,,,none
13627,16,-0.085076,0.001776,1.83594,0.004958,0.039568,0.087548,0.017975,0.0,7.3e-05,,,,,none
13627,16,-0.048817,0.001927,1.835889,0.004958,0.042322,0.136335,0.019804,0.0,7.3e-05,,,,,none
13627,16,0.042917,0.001959,1.83584,0.004958,0.044878,0.105125,0.016409,0.0,7.3e-05,,,,,none
13627,16,0.001868,0.001683,1.835792,0.004958,0.039776,0.073669,0.018271,0.0,7.3e-05,,,,,none
13627,16,0.031119,0.001376,1.835742,0.004958,0.040498,0.06563,0.016179,0.0,7.3e-05,,,,,none
13627,16,-0.00383,0.002596,1.835697,0.004958,0.040985,0.094018,0.015038,0.0,7.3e-05,,,,,none
13627,16,-0.036885,0.001259,1.835653,0.004958,0.037809,0.057197,0.013758,0.0,7.3e-05,,,,,none
18356,20,-0.022855,0.002589,1.835602,0.004946,0.030689,0.124704,0.003552,0.0,8.5e-05,,,,,none
18356,20,0.038806,0.001786,1.835572,0.004946,0.028768,0.090309,0.011179,0.0,8.5e-05,,,,,none
18356,20,-0.029502,0.000494,1.835546,0.004946,0.018628,0.028776,0.010271,0.0,8.5e-05,,,,,none
