episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1477,596.1543,596.1543,1477,1,1,0,0,0.2991,2.077,goal,17.6,-0.007514,0.423765,-0.851457,0.888245,4.694776,1.131793,0.199415,5.98883,0.418965,0.41357,-0.504754,1.0,,,,,,,,,,,,,,0,none
2,2963,599.5214,597.8379,1486,1,1,0,0,0.2974,2.08,goal,35.7,0.008362,0.422207,-0.849556,0.859953,4.684111,1.112747,0.379094,5.98369,0.423163,0.415684,-0.499449,1.002492,,,,,,,,,,,,,,0,none
3,4455,604.017,599.8976,1492,1,1,0,0,0.2985,2.06,goal,53.0,0.014575,0.434266,-0.868638,0.862464,4.70196,1.124859,0.617351,5.978055,0.420419,0.413283,-0.45765,1.0,,,,,,,,,,,,,,0,none
4,5947,602.4838,600.5441,1492,1,1,0,0,0.2991,2.079,goal,71.7,-0.009616,0.425905,-0.856485,0.86888,4.723175,1.075217,0.53143,5.978754,0.420814,0.414113,-0.494295,1.006021,-0.0228,0.000436,1.822062,0.004994,0.012227,0.083506,0.005924,0.0,3.7e-05,,,,,0,none
5,7394,592.5542,598.9461,1447,1,1,0,0,0.2992,2.067,goal,88.8,0.018408,0.437672,-0.882998,0.858811,4.720991,1.060436,0.412871,5.981942,0.41853,0.411405,-0.457339,1.0,,,,,,,,,,,,,,0,none
6,8848,585.8024,596.7555,1454,1,1,0,0,0.2988,2.077,goal,106.2,0.008762,0.42767,-0.872568,0.864584,4.674636,1.090866,0.58736,5.976338,0.416378,0.412143,-0.514081,1.0,,,,,,,,,,,,,,0,none
7,10369,601.7156,597.4641,1521,1,1,0,0,0.2999,2.075,goal,124.3,-0.007597,0.432761,-0.886027,0.867792,4.715684,1.086131,0.527736,5.984635,0.419371,0.414142,-0.601721,1.009567,,,,,,,,,,,,,,0,none
8,11868,601.3861,597.9544,1499,1,1,0,0,0.2981,2.078,goal,143.1,-0.002703,0.431855,-0.868564,0.8897,4.685239,1.091862,0.228729,5.992629,0.420658,0.406478,-0.5398,1.006015,-0.013652,0.00055,1.821907,0.004982,0.015899,0.125133,0.006062,0.0,4.9e-05,,,,,0,none
9,13359,601.2003,598.315,1491,1,1,0,0,0.2998,2.084,goal,161.0,0.011722,0.42074,-0.876618,0.890889,4.61335,1.134026,0.189438,5.978832,0.418248,0.412022,-0.487394,1.006275,,,,,,,,,,,,,,0,none
10,14835,592.632,597.7467,1476,1,1,0,0,0.2993,2.082,goal,178.6,0.015566,0.420289,-0.857169,0.879301,4.678132,1.117221,0.295245,5.979612,0.417613,0.411681,-0.463845,1.0,,,,,,,,,,,,,,0,none
