global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5861,4,-0.035207,0.001666,1.723148,0.004994,0.025291,0.099575,0.030391,0.0,3.7e-05,,,,,none
5861,4,-0.000127,0.001702,1.723148,0.004994,0.026643,0.1799,0.008996,0.0,3.7e-05,,,,,none
5861,4,0.030213,0.001425,1.723193,0.004994,0.029564,0.234022,0.009401,0.0,3.7e-05,,,,,none
5861,4,-0.039821,0.00172,1.723203,0.004994,0.031528,0.114407,0.009166,0.0,3.7e-05,,,,,none
5861,4,0.046821,0.001144,1.72321,0.004994,0.029872,0.157084,0.015764,0.0,3.7e-05,,,,,none
5861,4,-0.016697,0.001546,1.723226,0.004994,0.030569,0.212155,0.011158,0.0,3.7e-05,,,,,none
5861,4,0.095211,0.001008,1.723237,0.004994,0.027364,0.119578,0.017333,0.0,3.7e-05,,,,,none
5861,4,-0.02793,0.001916,1.723238,0.004994,0.028996,0.074571,0.009395,0.0,3.7e-05,,,,,none
5861,4,-0.084521,0.001143,1.723256,0.004994,0.030149,0.175136,0.007489,0.0,3.7e-05,,,,,none
5861,4,0.01486,0.000861,1.723284,0.004994,0.025034,0.145683,0.008526,0.0,3.7e-05,,,,,none
5861,4,0.015521,0.00159,1.723314,0.004994,0.023727,0.178049,0.006119,0.0,3.7e-05,,,,,none
5861,4,-0.042172,0.001322,1.723348,0.004994,0.025484,0.122903,0.007663,0.0,3.7e-05,,,,,none
11705,8,-0.016784,0.001359,1.723392,0.004982,0.024514,0.18476,0.021209,0.0,4.9e-05,,,,,none
11705,8,0.067428,0.001324,1.723424,0.004982,0.0207,0.14363,0.018038,0.0,4.9e-05,,,,,none
11705,8,-0.07664,0.001416,1.723452,0.004982,0.026061,0.15029,0.02967,0.0,4.9e-05,,,,,none
11705,8,-0.050575,0.001588,1.723469,0.004982,0.024412,0.169211,0.027387,0.0,4.9e-05,,,,,none
11705,8,-0.028325,0.001323,1.723481,0.004982,0.02405,0.357762,0.025013,0.0,4.9e-05,,,,,none
11705,8,0.074087,0.000932,1.72349,0.004982,0.020562,0.363433,0.014916,0.0,4.9e-05,,,,,none
11705,8,-0.004257,0.001278,1.723493,0.004982,0.02324,0.215752,0.014087,0.0,4.9e-05,,,,,none
11705,8,-0.039008,0.001197,1.723503,0.004982,0.023695,0.125757,0.010646,0.0,4.9e-05,,,,,none
11705,8,0.03481,0.000975,1.723506,0.004982,0.022937,0.103892,0.004975,0.0,4.9e-05,,,,,none
11705,8,0.068231,0.000968,1.723504,0.004982,0.025521,0.065484,0.00958,0.0,4.9e-05,,,,,none
11705,8,-0.075165,0.001217,1.723502,0.004982,0.028064,0.191812,0.008131,0.0,4.9e-05,,,,,none
11705,8,-0.007784,0.001126,1.723503,0.004982,0.025456,0.290643,0.012549,0.0,4.9e-05,,,,,none
17541,12,-0.057821,0.001257,1.723496,0.00497,0.026937,0.115338,0.013601,0.0,6.1e-05,,,,,none
17541,12,0.121204,0.000842,1.723493,0.00497,0.018498,0.026468,0.002858,0.0,6.1e-05,,,,,none
17541,12,-0.093267,0.001507,1.723496,0.00497,0.024528,0.157277,0.013242,0.0,6.1e-05,,,,,none
17541,12,-0.104964,0.001652,1.723499,0.00497,0.027562,0.233467,0.011722,0.0,6.1e-05,,,,,none
17541,12,0.012142,0.000586,1.72352,0.00497,0.021779,0.117397,0.004613,0.0,6.1e-05,,,,,none
17541,12,0.088157,0.001146,1.723535,0.00497,0.023027,0.062643,0.009704,0.0,6.1e-05,,,,,none
17541,12,-0.116482,0.001155,1.72354,0.00497,0.026934,0.100436,0.005741,0.0,6.1e-05,,,,,none
17541,12,0.05147,0.000972,1.723548,0.00497,0.025469,0.127235,0.011159,0.0,6.1e-05,,,,,none
17541,12,0.057323,0.00105,1.723549,0.00497,0.022278,0.175568,0.012337,0.0,6.1e-05,,,,,none
17541,12,-0.071376,0.001027,1.723545,0.00497,0.025206,0.081166,0.005575,0.0,6.1e-05,,,,,none
17541,12,0.000993,0.000874,1.723544,0.00497,0.02308,0.079438,0.007018,0.0,6.1e-05,,,,,none
17541,12,0.064361,0.001048,1.723539,0.00497,0.019874,0.152099,0.006198,0.0,6.1e-05,,,,,none
23302,16,0.049061,0.001212,1.723536,0.004958,0.02301,0.071682,0.006503,0.0,7.3e-05,,,,,none
23302,16,0.016508,0.001135,1.723529,0.004958,0.021783,0.11635,0.009952,0.0,7.3e-05,,,,,none
23302,16,-0.085724,0.001681,1.72351,0.004958,0.023763,0.084525,0.017469,0.0,7.3e-05,,,,,none
23302,16,0.012278,0.001157,1.723476,0.004958,0.021468,0.088854,0.012583,0.0,7.3e-05,,,,,none
23302,16,0.000539,0.001568,1.723455,0.004958,0.021034,0.09478,0.013465,0.0,7.3e-05,,,,,none
23302,16,-0.020875,0.001017,1.723408,0.004958,0.02302,0.219117,0.013944,0.0,7.3e-05,,,,,none
23302,16,-0.034404,0.001422,1.723354,0.004958,0.023413,0.152758,0.010968,0.0,7.3e-05,,,,,none
23302,16,-0.05208,0.001364,1.723296,0.004958,0.02173,0.050581,0.007796,0.0,7.3e-05,,,,,none
23302,16,0.097761,0.000711,1.723233,0.004958,0.020998,0.076246,0.007123,0.0,7.3e-05,,,,,none
23302,16,0.035063,0.00109,1.72319,0.004958,0.022806,0.069391,0.009367,0.0,7.3e-05,,,,,none
