episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1219,-85.56,-85.56,1219,0,0,1,0,2.8812,1.887,collision,16.9,-0.066683,0.421465,-0.884777,0.820911,3.097491,1.386198,0.241406,5.959665,0.404768,0.459937,-1.0,1.0,,,,,,,,,,,,,,0,gru
2,2948,639.6577,277.0488,1729,1,1,0,0,0.2985,1.864,goal,39.7,-0.057822,0.433427,-0.880953,0.865247,3.117229,1.435931,0.108586,5.953793,0.457351,0.427085,-0.801449,1.007736,,,,,,,,,,,,,,0,gru
3,4418,289.3216,281.1398,1470,0,0,1,0,1.3579,1.863,collision,59.3,-0.060763,0.41962,-0.863711,0.867341,3.106074,1.448005,0.147854,5.906963,0.423819,0.435598,-0.999999,1.0,,,,,,,,,,,,,,0,gru
4,6035,-7.0862,209.0833,1617,0,0,1,0,2.1568,1.842,collision,84.3,-0.067138,0.427025,-0.870699,0.850766,3.042747,1.429106,0.133091,5.886543,0.413206,0.453575,-1.0,1.0,-0.009187,0.009298,1.837971,0.004994,0.089164,0.050069,0.018524,0.026471,3.7e-05,,,,,0,gru
5,7768,58.0413,178.8749,1733,0,0,1,0,1.6968,1.865,collision,106.9,-0.062371,0.427856,-0.876169,0.865933,3.113813,1.425355,0.059227,5.930554,0.411514,0.445134,-0.999999,1.0,,,,,,,,,,,,,,0,gru
6,9387,116.5295,168.484,1619,0,0,1,0,1.8857,1.88,collision,127.8,-0.06046,0.41742,-0.851427,0.860321,3.119415,1.375642,0.054782,5.908903,0.418533,0.448301,-1.0,1.000442,,,,,,,,,,,,,,0,gru
7,11048,633.7296,234.9476,1661,1,1,0,0,0.2975,1.859,goal,149.2,-0.052086,0.431103,-0.885004,0.861717,3.113118,1.412671,0.098234,5.891201,0.45722,0.424485,-0.522066,1.0,,,,,,,,,,,,,,0,gru
8,12471,346.461,248.8868,1423,0,0,1,0,1.1222,1.869,collision,169.0,-0.064737,0.42847,-0.867954,0.85987,3.156371,1.420354,0.182947,5.965688,0.425558,0.429532,-0.999945,1.0,-0.004745,0.009511,1.838556,0.004982,0.089704,0.08555,0.020291,0.041923,4.9e-05,,,,,0,gru
9,13578,-212.3839,197.6345,1107,0,0,1,0,3.3139,1.88,collision,182.8,-0.06416,0.430178,-0.887451,0.869937,3.124646,1.410101,0.150408,5.898466,0.392344,0.470089,-1.0,1.003568,,,,,,,,,,,,,,0,gru
10,14718,-171.83,160.6881,1140,0,0,1,0,3.0748,1.871,collision,197.5,-0.071915,0.428255,-0.869679,0.865249,3.15016,1.418536,0.07687,5.860251,0.394611,0.464764,-0.999998,1.0,,,,,,,,,,,,,,0,gru
11,16174,428.4545,212.0895,1456,0,0,1,0,0.632,1.879,collision,216.5,-0.057376,0.42697,-0.87218,0.854218,3.149902,1.402336,0.103648,5.928768,0.447601,0.428227,-0.73856,1.0,,,,,,,,,,,,,,0,gru
12,17601,332.2602,181.3498,1427,0,0,1,0,1.1599,1.878,collision,237.7,-0.061145,0.422404,-0.869441,0.866243,3.166338,1.436773,0.118062,5.972908,0.428922,0.431848,-0.996887,1.0,-0.008751,0.009926,1.839612,0.00497,0.092722,0.071721,0.008595,0.033927,6.1e-05,,,,,0,gru
13,19245,0.1005,152.4276,1644,0,0,1,0,2.1066,1.884,collision,258.8,-0.063508,0.418721,-0.884622,0.871193,3.145762,1.425392,0.121913,5.920797,0.414458,0.452571,-0.999999,1.001206,,,,,,,,,,,,,,0,gru
14,20727,261.6456,179.3008,1482,0,0,1,0,1.4902,1.869,collision,278.1,-0.050154,0.425598,-0.871995,0.863252,3.163703,1.445362,0.091841,5.87722,0.4227,0.439103,-0.999999,1.0,,,,,,,,,,,,,,0,gru
15,22129,312.8298,204.7797,1402,0,0,1,0,1.2021,1.888,collision,296.0,-0.056386,0.424316,-0.884672,0.835676,3.168594,1.397802,0.147853,5.899932,0.42766,0.433827,-0.971697,1.0,,,,,,,,,,,,,,0,gru
16,23669,263.3513,219.4619,1540,0,0,1,0,1.4474,1.871,collision,318.6,-0.059965,0.424679,-0.8898,0.879171,3.102104,1.418687,0.089801,5.916634,0.425303,0.440038,-1.0,1.000151,-0.002365,0.006668,1.840393,0.004958,0.07297,0.063355,0.008871,0.031167,7.3e-05,,,,,0,gru
17,25172,398.2063,195.9095,1503,0,0,1,0,0.878,1.854,collision,338.0,-0.066749,0.424119,-0.874056,0.853022,3.133063,1.464105,0.093937,5.951914,0.440786,0.430142,-0.886717,1.004198,,,,,,,,,,,,,,0,gru
18,26827,21.8265,163.4461,1655,0,0,1,0,2.1988,1.869,collision,359.6,-0.062368,0.427071,-0.866047,0.848698,3.138311,1.439918,0.107123,5.903772,0.408205,0.450783,-1.0,1.0,,,,,,,,,,,,,,0,gru
19,28310,-20.5607,182.6284,1483,0,0,1,0,2.4177,1.858,collision,378.7,-0.066603,0.432146,-0.878332,0.870133,3.096759,1.415762,0.194185,5.922441,0.413789,0.45699,-0.999999,1.0,,,,,,,,,,,,,,0,gru
20,29955,-23.4716,197.4642,1645,0,0,1,0,2.0699,1.86,collision,402.0,-0.070978,0.422763,-0.86771,0.851862,3.118681,1.42389,0.107961,5.950904,0.415214,0.45525,-0.999999,1.0,-0.038793,0.00826,1.840747,0.004946,0.080223,0.120453,0.013099,0.061151,8.5e-05,,,,,0,gru
21,31414,228.9573,177.5145,1459,0,0,1,0,1.5961,1.891,collision,420.9,-0.058381,0.423373,-0.865949,0.862402,3.200817,1.428227,0.122786,5.94362,0.421878,0.441734,-1.0,1.0,,,,,,,,,,,,,,0,gru
22,32524,-252.9471,118.9938,1110,0,0,1,0,3.3929,1.871,collision,435.3,-0.06577,0.42975,-0.869409,0.852506,3.182573,1.434152,0.110721,5.954835,0.387501,0.47256,-0.999999,1.013878,,,,,,,,,,,,,,0,gru
23,34157,15.9955,120.5833,1633,0,0,1,0,2.1548,1.89,collision,456.4,-0.068592,0.423658,-0.879051,0.847166,3.233023,1.428764,0.221257,5.863813,0.411065,0.45119,-1.0,1.001373,,,,,,,,,,,,,,0,gru
24,35533,-163.4066,78.0781,1376,0,0,1,0,2.5755,1.861,collision,475.6,-0.099287,0.421206,-0.855573,0.840946,3.121301,1.450797,0.196591,5.916469,0.402432,0.463203,-1.0,1.0,-0.012062,0.009986,1.840424,0.004934,0.090258,0.048713,0.020526,0.025727,9.7e-05,,,,,0,gru
25,37066,290.5527,75.8504,1533,0,0,1,0,1.3464,1.879,collision,494.9,-0.063141,0.42758,-0.868805,0.887303,3.21454,1.433437,0.092411,5.952554,0.426958,0.436581,-0.999998,1.008866,,,,,,,,,,,,,,0,gru
26,38458,394.1291,88.9281,1392,0,0,1,0,0.8769,1.91,collision,512.5,-0.040222,0.431466,-0.880702,0.868085,3.272916,1.383538,0.099128,5.958045,0.458106,0.423818,-0.560181,1.006007,,,,,,,,,,,,,,0,gru
27,39670,-111.8066,37.9269,1212,0,0,1,0,2.9817,1.882,collision,527.5,-0.043042,0.43088,-0.851541,0.867612,3.209966,1.44714,0.111813,5.947017,0.402973,0.462686,-0.999999,1.0,,,,,,,,,,,,,,0,gru
28,41258,71.131,42.8573,1588,0,0,1,0,1.9403,1.894,collision,549.9,-0.046412,0.427846,-0.856384,0.867354,3.20631,1.416699,0.136117,5.908486,0.413927,0.448551,-1.0,1.0,-0.010552,0.006935,1.84054,0.004922,0.077524,0.050271,0.009452,0.025469,0.0001,,,,,0,gru
29,42854,11.7471,46.0881,1596,0,0,1,0,2.2147,1.904,collision,570.0,-0.049228,0.42308,-0.860532,0.853938,3.296745,1.431499,0.17851,5.939339,0.409832,0.451929,-1.0,1.001283,,,,,,,,,,,,,,0,gru
30,44153,-64.876,41.9476,1299,0,0,1,0,2.6759,1.906,collision,586.9,-0.064609,0.429999,-0.874803,0.847046,3.3379,1.435859,0.147443,5.877486,0.409363,0.459224,-1.0,1.0,,,,,,,,,,,,,,0,gru
31,45345,-98.6667,9.1852,1192,0,0,1,0,2.9031,1.911,collision,602.3,-0.052291,0.411457,-0.841519,0.82702,3.244845,1.416879,0.115776,5.923647,0.402578,0.460416,-0.999997,1.0,,,,,,,,,,,,,,0,gru
32,46684,378.0481,72.2848,1339,0,0,1,0,0.9583,1.896,collision,622.0,-0.023318,0.428938,-0.880125,0.882692,3.267602,1.408037,0.192929,5.906932,0.434599,0.429791,-0.785019,1.0,-0.006628,0.007048,1.841081,0.00491,0.073871,0.081473,0.008612,0.041806,0.0001,,,,,0,gru
33,48044,381.4186,108.8271,1360,0,0,1,0,0.9631,1.907,collision,639.3,-0.008067,0.435288,-0.863896,0.85518,3.349734,1.438013,0.162823,5.891054,0.433414,0.43335,-0.600381,1.002978,,,,,,,,,,,,,,0,gru
34,49542,84.9174,133.6595,1498,0,0,1,0,2.1467,1.925,collision,658.5,-0.020337,0.421722,-0.849362,0.847887,3.33203,1.387585,0.147097,5.925203,0.412412,0.452682,-0.995432,1.0,,,,,,,,,,,,,,0,gru
35,50987,279.1944,132.5236,1445,0,0,1,0,1.3677,1.901,collision,676.9,-0.042767,0.429833,-0.863034,0.864929,3.295381,1.419358,0.067358,5.876074,0.425085,0.436061,-1.0,1.0,,,,,,,,,,,,,,0,gru
36,52298,377.3482,130.8455,1311,0,0,1,0,0.9278,1.901,collision,695.2,-0.034351,0.424658,-0.857471,0.85191,3.230507,1.400677,0.135931,5.901243,0.434227,0.428284,-0.8276,1.0,0.001848,0.004836,1.841881,0.004898,0.059462,0.0587,0.01571,0.025509,0.0001,,,,,0,gru
37,53755,193.3386,161.3601,1457,0,0,1,0,1.7464,1.897,collision,713.5,0.014064,0.434658,-0.86737,0.876199,3.302661,1.419629,0.171225,5.918395,0.438176,0.427815,-0.548887,1.0,,,,,,,,,,,,,,0,gru
38,55317,652.0536,219.4523,1562,1,1,0,0,0.2981,1.904,goal,733.0,0.011687,0.431594,-0.88333,0.848854,3.328077,1.410849,0.218765,5.907457,0.459059,0.427861,-0.352845,1.007662,,,,,,,,,,,,,,0,gru
39,56950,2.1738,218.495,1633,0,0,1,0,2.5304,1.882,collision,754.1,-0.004694,0.431625,-0.84197,0.874338,3.26317,1.450313,0.149607,5.879034,0.418593,0.435315,-0.680228,1.006924,,,,,,,,,,,,,,0,gru
40,58306,416.9686,266.6795,1356,0,0,1,0,0.8447,1.885,collision,773.2,-0.016998,0.438005,-0.852242,0.876487,3.234682,1.409879,0.118433,5.885253,0.448859,0.430842,-0.557137,1.002192,-0.008288,0.006014,1.842511,0.004886,0.057123,0.088839,0.007524,0.0498,0.0001,,,,,0,gru
