episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1455,594.9086,594.9086,1455,1,1,0,0,0.2996,2.092,goal,18.0,0.01238,0.4355,-0.875027,0.88721,5.311638,0.684275,1.617021,5.996469,0.417028,0.403518,-0.569819,1.0,,,,,,,,,,,,,,0,gru
2,2930,607.6507,601.2797,1475,1,1,0,0,0.2999,2.078,goal,37.3,-0.044037,0.435769,-0.893254,0.884575,5.331408,0.70873,1.119108,5.995568,0.429215,0.407213,-0.657782,1.008601,,,,,,,,,,,,,,0,gru
3,4356,594.4754,599.0116,1426,1,1,0,0,0.2994,2.113,goal,55.5,-0.023622,0.415629,-0.85688,0.87282,5.321588,0.705052,1.438349,5.992427,0.426104,0.405816,-0.571598,1.0,,,,,,,,,,,,,,0,gru
4,5781,593.4606,597.6238,1425,1,1,0,0,0.2983,2.097,goal,77.4,-0.007421,0.427379,-0.862573,0.867356,5.269707,0.740522,1.23245,5.991872,0.420879,0.403361,-0.686869,1.0,-0.007204,0.00108,1.759285,0.004994,0.019751,0.140428,0.0152,0.099936,3.7e-05,,,,,0,gru
5,7210,595.7037,597.2398,1429,1,1,0,0,0.2986,2.094,goal,96.2,-0.018184,0.428489,-0.87807,0.854681,5.295362,0.740321,0.86569,5.991716,0.427026,0.40573,-0.583203,1.0,,,,,,,,,,,,,,0,gru
6,8655,597.8721,597.3452,1445,1,1,0,0,0.2984,2.107,goal,115.3,-0.023914,0.41863,-0.881737,0.859917,5.31221,0.689677,0.613248,5.992685,0.422468,0.405065,-0.53384,1.000747,,,,,,,,,,,,,,0,gru
7,10079,591.2062,596.4682,1424,1,1,0,0,0.2975,2.096,goal,133.8,-0.041154,0.425232,-0.858482,0.855904,5.311227,0.725521,0.545359,5.987298,0.424179,0.40324,-0.537266,1.0,,,,,,,,,,,,,,0,gru
8,11521,600.0613,596.9173,1442,1,1,0,0,0.2975,2.074,goal,154.2,-0.010944,0.439211,-0.878268,0.875166,5.281189,0.753371,1.013712,5.985918,0.420585,0.404024,-0.445751,1.0,-0.007716,0.00087,1.759268,0.004982,0.017036,0.152268,0.009936,0.103425,4.9e-05,,,,,0,gru
9,13001,602.4365,597.5306,1480,1,1,0,0,0.2986,2.082,goal,173.6,0.021749,0.438119,-0.884935,0.873074,5.295796,0.73145,1.661482,5.995515,0.417273,0.403676,-0.648562,1.003485,,,,,,,,,,,,,,0,gru
10,13351,55.9427,543.3718,350,0,0,1,0,3.079,2.017,collision,178.2,0.153441,0.460049,-0.82498,0.876811,5.217553,0.810904,1.149797,5.984078,0.402074,0.402725,-0.570984,1.0,,,,,,,,,,,,,,0,gru
