global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5781,4,0.031355,0.000833,1.759073,0.004994,0.012535,0.287714,0.006511,0.193429,3.7e-05,,,,,gru
5781,4,-0.106194,0.000662,1.759148,0.004994,0.015739,0.043978,0.018532,0.030048,3.7e-05,,,,,gru
5781,4,0.058918,0.001799,1.759216,0.004994,0.025661,0.172902,0.032579,0.146978,3.7e-05,,,,,gru
5781,4,-0.005654,0.001224,1.759254,0.004994,0.021977,0.254916,0.027236,0.202851,3.7e-05,,,,,gru
5781,4,-0.020122,0.001113,1.759286,0.004994,0.016127,0.055596,0.017845,0.040061,3.7e-05,,,,,gru
5781,4,0.000944,0.001041,1.759314,0.004994,0.015035,0.160135,0.008224,0.097838,3.7e-05,,,,,gru
5781,4,-0.021006,0.001039,1.75933,0.004994,0.015654,0.052335,0.002582,0.015626,3.7e-05,,,,,gru
5781,4,-0.055291,0.000979,1.759345,0.004994,0.021206,0.220359,0.011926,0.17379,3.7e-05,,,,,gru
5781,4,0.060498,0.001027,1.759352,0.004994,0.022116,0.067171,0.010401,0.043402,3.7e-05,,,,,gru
5781,4,-0.039314,0.001118,1.759362,0.004994,0.023202,0.162685,0.015457,0.112821,3.7e-05,,,,,gru
5781,4,0.049793,0.001165,1.759373,0.004994,0.024655,0.109577,0.014485,0.077839,3.7e-05,,,,,gru
5781,4,-0.040376,0.000961,1.759371,0.004994,0.023109,0.097767,0.01662,0.064555,3.7e-05,,,,,gru
11521,8,-0.021932,0.001058,1.759371,0.004982,0.015664,0.153271,0.002994,0.096643,4.9e-05,,,,,gru
11521,8,-0.010284,0.000998,1.759356,0.004982,0.014107,0.084774,0.001804,0.049216,4.9e-05,,,,,gru
11521,8,0.0162,0.000684,1.759349,0.004982,0.01357,0.083195,0.002202,0.045146,4.9e-05,,,,,gru
11521,8,0.026018,0.000866,1.75934,0.004982,0.015514,0.096659,0.003864,0.068024,4.9e-05,,,,,gru
11521,8,0.029428,0.000986,1.75932,0.004982,0.01622,0.1878,0.004748,0.132867,4.9e-05,,,,,gru
11521,8,-0.088349,0.00079,1.759302,0.004982,0.015582,0.135549,0.011528,0.088386,4.9e-05,,,,,gru
11521,8,0.033916,0.000859,1.759288,0.004982,0.019229,0.177593,0.013237,0.107981,4.9e-05,,,,,gru
11521,8,-0.048303,0.000888,1.759256,0.004982,0.02214,0.076598,0.020081,0.05554,4.9e-05,,,,,gru
11521,8,-0.002717,0.000951,1.759215,0.004982,0.021916,0.273292,0.020879,0.216875,4.9e-05,,,,,gru
11521,8,0.035661,0.001055,1.75918,0.004982,0.021163,0.095128,0.017676,0.067146,4.9e-05,,,,,gru
11521,8,0.000913,0.00061,1.759137,0.004982,0.016157,0.256591,0.01296,0.173317,4.9e-05,,,,,gru
11521,8,-0.063137,0.000689,1.759099,0.004982,0.013172,0.206763,0.007265,0.139953,4.9e-05,,,,,gru
16196,12,0.102325,0.000869,1.759058,0.00497,0.013744,0.061464,0.00245,0.043778,6.1e-05,,,,,gru
16196,12,0.006455,0.003398,1.759012,0.00497,0.017799,0.090747,0.002061,0.0682,6.1e-05,,,,,gru
16196,12,-0.165318,0.004419,1.758967,0.00497,0.03421,0.470331,0.00361,0.332081,6.1e-05,,,,,gru
16196,12,-0.076001,0.00341,1.758915,0.00497,0.036203,0.131846,0.019263,0.083818,6.1e-05,,,,,gru
16196,12,0.100409,0.002935,1.758864,0.00497,0.038459,0.111988,0.044551,0.104491,6.1e-05,,,,,gru
16196,12,0.134297,0.001682,1.758811,0.00497,0.041388,0.148079,0.051959,0.124281,6.1e-05,,,,,gru
