global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
4638,4,-0.002619,0.003209,1.75836,0.004994,0.027837,0.051757,0.010788,0.043906,3.7e-05,,,,,gru
4638,4,0.006778,0.004441,1.758361,0.004994,0.034926,0.21934,0.003206,0.149174,3.7e-05,,,,,gru
4638,4,0.02329,0.001883,1.758298,0.004994,0.028321,0.073053,0.002656,0.035047,3.7e-05,,,,,gru
4638,4,0.059126,0.002941,1.758235,0.004994,0.028656,0.098934,0.004,0.063081,3.7e-05,,,,,gru
4638,4,-0.079328,0.004656,1.758179,0.004994,0.037072,0.068927,0.020879,0.034898,3.7e-05,,,,,gru
4638,4,0.117229,0.001873,1.758139,0.004994,0.030791,0.128412,0.007985,0.095726,3.7e-05,,,,,gru
4638,4,0.105234,0.004976,1.758101,0.004994,0.033566,0.071257,0.009716,0.053653,3.7e-05,,,,,gru
4638,4,-0.077986,0.002827,1.758059,0.004994,0.033962,0.067469,0.016501,0.054167,3.7e-05,,,,,gru
4638,4,-0.036811,0.001127,1.758014,0.004994,0.027436,0.220306,0.01315,0.150718,3.7e-05,,,,,gru
4638,4,-0.08406,0.003158,1.757968,0.004994,0.028037,0.134062,0.006675,0.090197,3.7e-05,,,,,gru
4638,4,0.08959,0.003442,1.757921,0.004994,0.026343,0.037349,0.01328,0.03017,3.7e-05,,,,,gru
4638,4,0.035999,0.00556,1.757875,0.004994,0.048136,0.208353,0.012273,0.135652,3.7e-05,,,,,gru
10241,8,-0.050978,0.005819,1.757821,0.004982,0.034739,0.108071,0.006183,0.082606,4.9e-05,,,,,gru
10241,8,-0.015751,0.002825,1.757774,0.004982,0.026498,0.087719,0.001009,0.056891,4.9e-05,,,,,gru
10241,8,0.0862,0.003889,1.75773,0.004982,0.034821,0.101899,0.008794,0.068354,4.9e-05,,,,,gru
10241,8,0.005927,0.004943,1.757686,0.004982,0.03678,0.121348,0.005495,0.093928,4.9e-05,,,,,gru
10241,8,-0.051934,0.004136,1.757659,0.004982,0.03057,0.131763,0.006983,0.106156,4.9e-05,,,,,gru
10241,8,0.060281,0.00332,1.757643,0.004982,0.030749,0.183683,0.005555,0.154383,4.9e-05,,,,,gru
10241,8,-0.023343,0.003488,1.757628,0.004982,0.030764,0.063533,0.001549,0.038416,4.9e-05,,,,,gru
10241,8,-0.042123,0.005082,1.75763,0.004982,0.027455,0.050036,0.00141,0.036245,4.9e-05,,,,,gru
10241,8,0.086628,0.004009,1.757634,0.004982,0.036337,0.093399,0.014446,0.067872,4.9e-05,,,,,gru
10241,8,0.043711,0.002995,1.757632,0.004982,0.026448,0.049124,0.011478,0.039511,4.9e-05,,,,,gru
10241,8,0.026506,0.005542,1.757632,0.004982,0.03749,0.096986,0.007348,0.075688,4.9e-05,,,,,gru
10241,8,-0.091806,0.00402,1.757636,0.004982,0.027041,0.093272,0.004179,0.073697,4.9e-05,,,,,gru
14805,12,0.054886,0.001747,1.757633,0.00497,0.023192,0.084178,0.005526,0.044424,6.1e-05,,,,,gru
14805,12,-0.072984,0.002725,1.757646,0.00497,0.025,0.095128,0.004343,0.057119,6.1e-05,,,,,gru
