episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,729,183.6254,183.6254,729,0,0,1,0,2.3379,1.805,collision,9.5,-0.040013,0.440423,-0.854833,0.863845,3.05249,1.445322,0.136115,5.890166,0.435472,0.425895,-0.438887,1.0,,,,,,,,,,,,,,0,gru
2,1431,177.0469,180.3362,702,0,0,1,0,2.3406,1.828,collision,18.7,-0.012581,0.457301,-0.873784,0.883001,3.065221,1.443636,0.123903,5.918849,0.426596,0.421513,-0.389088,1.0,,,,,,,,,,,,,,0,gru
3,2201,193.9437,184.872,770,0,0,1,0,2.3076,1.806,collision,28.7,-0.039938,0.451312,-0.85465,0.869234,3.005065,1.448329,0.143357,5.873521,0.438328,0.427251,-0.465785,1.0,,,,,,,,,,,,,,0,gru
4,3868,639.2898,298.4765,1667,1,1,0,0,0.2987,1.842,goal,51.4,-0.014123,0.445556,-0.887188,0.869322,3.097159,1.441959,0.105983,5.900815,0.418787,0.425664,-0.697891,1.0,0.001071,0.005364,1.847239,0.004994,0.03003,0.063562,0.005129,0.041303,3.7e-05,,,,,0,gru
5,4648,191.5864,277.0985,780,0,0,1,0,2.2544,1.837,collision,61.4,-0.034445,0.428142,-0.885524,0.849092,3.040474,1.451072,0.160332,5.893443,0.439107,0.429098,-0.522587,1.0,,,,,,,,,,,,,,0,gru
6,6113,415.6356,300.188,1465,0,0,1,0,0.8784,1.83,collision,80.2,0.011299,0.436521,-0.868611,0.873934,3.038301,1.446535,0.068888,5.864094,0.426896,0.42847,-0.629367,1.008555,,,,,,,,,,,,,,0,gru
7,7547,372.3501,310.4969,1434,0,0,1,0,0.9476,1.832,collision,98.4,0.051644,0.430251,-0.837721,0.884584,3.026374,1.438959,0.147359,5.82647,0.418373,0.431948,-0.667126,1.0,,,,,,,,,,,,,,0,gru
8,8998,407.7087,322.6483,1451,0,0,1,0,0.8851,1.836,collision,119.3,0.008999,0.441505,-0.876024,0.8661,3.063658,1.427378,0.111181,5.847554,0.423981,0.426976,-0.573736,1.003494,0.021358,0.003986,1.847409,0.004982,0.025515,0.060477,0.004669,0.045097,4.9e-05,,,,,0,gru
9,10466,408.0401,332.1363,1468,0,0,1,0,0.8939,1.83,collision,137.7,0.012999,0.437071,-0.866261,0.881212,2.975338,1.410674,0.112213,5.854903,0.41804,0.425685,-0.712484,1.003594,,,,,,,,,,,,,,0,gru
10,11879,383.912,337.3139,1413,0,0,1,0,0.9278,1.866,collision,155.5,0.030319,0.431557,-0.860032,0.855777,3.084042,1.415495,0.097199,5.901603,0.41584,0.426114,-0.659139,1.0,,,,,,,,,,,,,,0,gru
11,13369,414.3186,360.3832,1490,0,0,1,0,0.8824,1.816,collision,174.2,0.017159,0.440902,-0.848251,0.865943,3.017686,1.448989,0.099911,5.902924,0.422807,0.4279,-0.687973,1.005958,,,,,,,,,,,,,,0,gru
12,14839,403.7763,383.0561,1470,0,0,1,0,0.8821,1.817,collision,194.5,0.018197,0.453297,-0.869928,0.877696,3.026711,1.410223,0.19684,5.834735,0.420849,0.42779,-0.724901,1.0,0.014928,0.003732,1.847613,0.00497,0.024627,0.064228,0.002975,0.041116,6.1e-05,,,,,0,gru
13,16324,396.0558,403.2673,1485,0,0,1,0,0.9029,1.805,collision,213.2,0.040484,0.436646,-0.864734,0.874628,2.942463,1.447771,0.05935,5.890749,0.413309,0.426958,-0.804508,1.0,,,,,,,,,,,,,,0,gru
14,17765,400.2682,379.3652,1441,0,0,1,0,0.8835,1.818,collision,231.0,0.001873,0.439601,-0.889123,0.872194,3.000105,1.456103,0.092566,5.916768,0.421241,0.425716,-0.646805,1.0,,,,,,,,,,,,,,0,gru
15,19317,433.8024,403.5868,1552,0,0,1,0,0.7633,1.814,collision,250.8,-0.011679,0.44456,-0.879228,0.857426,3.00623,1.453486,0.037536,5.919592,0.421624,0.427359,-0.688033,1.0,,,,,,,,,,,,,,0,gru
