global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
3868,4,0.027482,0.005511,1.847154,0.004994,0.036887,0.04565,0.005659,0.029598,3.7e-05,,,,,gru
3868,4,-0.025271,0.005131,1.847228,0.004994,0.025616,0.066338,0.004666,0.050611,3.7e-05,,,,,gru
3868,4,0.033307,0.005607,1.847229,0.004994,0.032365,0.042172,0.005675,0.025418,3.7e-05,,,,,gru
3868,4,-0.029718,0.004972,1.847247,0.004994,0.028215,0.079868,0.002916,0.041155,3.7e-05,,,,,gru
3868,4,-0.040221,0.004236,1.847255,0.004994,0.028286,0.055823,0.004032,0.025683,3.7e-05,,,,,gru
3868,4,0.05304,0.006543,1.847262,0.004994,0.030911,0.051846,0.004927,0.033884,3.7e-05,,,,,gru
3868,4,0.150444,0.003473,1.847268,0.004994,0.025235,0.078699,0.007935,0.053487,3.7e-05,,,,,gru
3868,4,-0.160491,0.007439,1.847272,0.004994,0.032725,0.088097,0.005225,0.070586,3.7e-05,,,,,gru
8998,8,0.050251,0.005416,1.847268,0.004982,0.025608,0.070602,0.008265,0.050459,4.9e-05,,,,,gru
8998,8,0.061944,0.003254,1.84728,0.004982,0.023528,0.02582,0.005423,0.011448,4.9e-05,,,,,gru
8998,8,-0.082175,0.003312,1.847288,0.004982,0.029299,0.069581,0.010695,0.04121,4.9e-05,,,,,gru
8998,8,-0.019563,0.005178,1.847313,0.004982,0.027672,0.068667,0.00713,0.047329,4.9e-05,,,,,gru
8998,8,0.066012,0.004298,1.847346,0.004982,0.022719,0.036616,0.001278,0.01401,4.9e-05,,,,,gru
8998,8,0.045159,0.001875,1.847381,0.004982,0.024534,0.083539,0.000986,0.078748,4.9e-05,,,,,gru
8998,8,-0.024519,0.005316,1.847419,0.004982,0.029173,0.03716,0.002349,0.031579,4.9e-05,,,,,gru
8998,8,0.053974,0.004549,1.847451,0.004982,0.026682,0.088355,0.002772,0.07554,4.9e-05,,,,,gru
8998,8,0.078841,0.001416,1.847493,0.004982,0.017502,0.056153,0.005088,0.033104,4.9e-05,,,,,gru
