global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5377,4,-0.006312,0.006623,1.800506,0.004994,0.053191,0.070065,0.036981,0.064585,3.7e-05,,,,,gru
5377,4,0.038934,0.005743,1.800506,0.004994,0.045354,0.038563,0.02494,0.040565,3.7e-05,,,,,gru
5377,4,-0.059834,0.01088,1.800537,0.004994,0.059591,0.199319,0.023323,0.131667,3.7e-05,,,,,gru
5377,4,-0.018629,0.006656,1.800591,0.004994,0.047459,0.188856,0.017052,0.136542,3.7e-05,,,,,gru
5377,4,0.027204,0.005685,1.80065,0.004994,0.049887,0.144805,0.01135,0.09896,3.7e-05,,,,,gru
5377,4,-0.017857,0.007295,1.80071,0.004994,0.065021,0.120281,0.019134,0.082445,3.7e-05,,,,,gru
5377,4,0.054713,0.006548,1.800763,0.004994,0.045328,0.046969,0.006921,0.020992,3.7e-05,,,,,gru
5377,4,0.069255,0.005618,1.80082,0.004994,0.053571,0.125265,0.010412,0.091912,3.7e-05,,,,,gru
5377,4,-0.19268,0.006181,1.800869,0.004994,0.059009,0.088951,0.024802,0.072007,3.7e-05,,,,,gru
5377,4,0.031311,0.005158,1.800915,0.004994,0.049209,0.114931,0.008963,0.078027,3.7e-05,,,,,gru
5377,4,-0.065099,0.00717,1.80095,0.004994,0.057255,0.118049,0.011761,0.073601,3.7e-05,,,,,gru
5377,4,0.051184,0.004783,1.800986,0.004994,0.047766,0.150603,0.008021,0.104715,3.7e-05,,,,,gru
11212,8,-0.065683,0.000618,1.80102,0.004982,0.017428,0.060097,0.014413,0.027373,4.9e-05,,,,,gru
11212,8,0.018657,0.00213,1.801073,0.004982,0.020187,0.127679,0.01874,0.094036,4.9e-05,,,,,gru
11212,8,0.020509,0.001361,1.801126,0.004982,0.019754,0.098182,0.016979,0.063514,4.9e-05,,,,,gru
11212,8,0.023007,0.000711,1.801178,0.004982,0.019728,0.095899,0.013939,0.063882,4.9e-05,,,,,gru
11212,8,-0.007553,0.002746,1.801237,0.004982,0.01406,0.139206,0.008101,0.080853,4.9e-05,,,,,gru
11212,8,-0.051974,0.000511,1.801283,0.004982,0.014922,0.11272,0.00448,0.053566,4.9e-05,,,,,gru
11212,8,-0.049072,0.001045,1.801336,0.004982,0.014917,0.115325,0.00108,0.077006,4.9e-05,,,,,gru
11212,8,-0.015644,0.00133,1.801388,0.004982,0.018197,0.252737,0.004516,0.174919,4.9e-05,,,,,gru
11212,8,0.041667,0.001921,1.801449,0.004982,0.015574,0.103708,0.003551,0.054284,4.9e-05,,,,,gru
11212,8,-0.035409,0.001544,1.801493,0.004982,0.015888,0.046399,0.005393,0.026809,4.9e-05,,,,,gru
11212,8,0.043337,0.001953,1.801529,0.004982,0.016724,0.079246,0.002539,0.043093,4.9e-05,,,,,gru
11212,8,-0.041639,0.0007,1.80157,0.004982,0.016317,0.092574,0.004398,0.027591,4.9e-05,,,,,gru
17040,12,-0.016302,0.000527,1.801614,0.00497,0.01554,0.093997,0.008587,0.074909,6.1e-05,,,,,gru
