episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1431,600.6689,600.6689,1431,1,1,0,0,0.2995,2.091,goal,19.1,-0.001258,0.424835,-0.861016,0.874807,4.995239,0.976787,0.697599,5.989598,0.381029,0.395844,-0.644082,1.0,,,,,,,,,,,,,,0,gru
2,1449,-44.719,277.9749,18,0,0,1,0,3.8727,2.143,collision,19.4,-0.0376,0.383027,-0.697721,0.586716,4.989586,0.774563,2.711371,5.928903,0.246847,0.3527,-0.386535,1.0,,,,,,,,,,,,,,0,gru
3,2909,606.8492,387.5997,1460,1,1,0,0,0.2978,2.086,goal,38.6,0.014631,0.43167,-0.866539,0.883369,5.00025,0.955521,0.696191,5.986169,0.378903,0.396427,-0.63775,1.0,,,,,,,,,,,,,,0,gru
4,4339,596.7992,439.8996,1430,1,1,0,0,0.2993,2.095,goal,59.4,-0.005699,0.42343,-0.888413,0.840039,5.011947,0.968891,0.578199,5.992726,0.382786,0.395947,-0.694105,1.0,0.028892,0.001452,1.799903,0.004994,0.019633,0.117668,0.005509,0.07427,3.7e-05,,,,,0,gru
5,5773,600.4867,472.017,1434,1,1,0,0,0.2976,2.092,goal,78.0,0.003705,0.426427,-0.861886,0.849687,4.996891,0.964212,0.380768,5.985217,0.384393,0.396083,-0.546186,1.0,,,,,,,,,,,,,,0,gru
6,7239,612.8955,495.4968,1466,1,1,0,0,0.2995,2.105,goal,97.2,0.012351,0.419339,-0.855982,0.863318,5.013335,0.936294,0.85223,5.985638,0.383997,0.397706,-0.681276,1.010937,,,,,,,,,,,,,,0,gru
7,7573,52.8307,432.2587,334,0,0,1,0,3.1484,2.036,collision,101.6,0.034651,0.450567,-0.831906,0.843487,4.860301,1.073563,0.874805,5.972764,0.370639,0.394032,-0.68667,1.0,,,,,,,,,,,,,,0,gru
8,9026,606.8708,454.0853,1453,1,1,0,0,0.2996,2.094,goal,121.7,0.005663,0.423811,-0.873589,0.862934,5.037019,0.930021,0.747792,5.984585,0.384856,0.397331,-0.739557,1.000998,0.019162,0.002194,1.799926,0.004982,0.01917,0.066321,0.005534,0.041295,4.9e-05,,,,,0,gru
9,10472,607.1659,471.0942,1446,1,1,0,0,0.2981,2.11,goal,140.4,0.001052,0.416726,-0.866887,0.858296,4.993995,0.944093,0.54204,5.985127,0.386729,0.396873,-0.609182,1.004678,,,,,,,,,,,,,,0,gru
10,11910,602.68,484.2528,1438,1,1,0,0,0.2986,2.102,goal,159.0,0.017531,0.418657,-0.8762,0.864118,5.059598,0.925874,0.580724,5.988987,0.387662,0.398213,-0.665872,1.0,,,,,,,,,,,,,,0,gru
11,13354,608.5281,485.0387,1444,1,1,0,0,0.3,2.099,goal,178.3,0.013014,0.415603,-0.838377,0.860844,4.993212,0.990757,0.528112,5.992442,0.385293,0.395405,-0.560968,1.003939,,,,,,,,,,,,,,0,gru
12,14793,605.514,550.062,1439,1,1,0,0,0.2991,2.086,goal,199.2,0.008646,0.430132,-0.881684,0.863624,5.022566,0.928338,1.022321,5.986081,0.384312,0.396405,-0.566439,1.0,-0.01465,0.000884,1.800071,0.00497,0.013819,0.082654,0.004082,0.055733,6.1e-05,,,,,0,gru
13,16215,597.7367,549.1508,1422,1,1,0,0,0.2998,2.105,goal,217.2,0.02573,0.416226,-0.846424,0.841667,4.980711,0.979156,0.356642,5.989097,0.385237,0.397231,-0.676326,1.0,,,,,,,,,,,,,,0,gru
14,17616,594.6291,548.9338,1401,1,1,0,0,0.2988,2.111,goal,235.3,0.000931,0.415343,-0.875373,0.84975,4.987653,0.971906,0.580763,5.989053,0.384594,0.395255,-0.639103,1.0,,,,,,,,,,,,,,0,gru
