global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
3217,4,0.01513,0.002947,1.757101,0.004994,0.021764,0.132647,0.005604,0.094269,3.7e-05,,,,,gru
3217,4,0.071837,0.005663,1.757101,0.004994,0.030973,0.094012,0.009295,0.068585,3.7e-05,,,,,gru
3217,4,-0.022361,0.004911,1.757153,0.004994,0.024562,0.109302,0.002298,0.077465,3.7e-05,,,,,gru
3217,4,0.136279,0.002265,1.757207,0.004994,0.0233,0.208168,0.011961,0.15098,3.7e-05,,,,,gru
3217,4,0.062822,0.003977,1.757228,0.004994,0.024025,0.071103,0.002209,0.04747,3.7e-05,,,,,gru
3217,4,-0.006229,0.003906,1.757235,0.004994,0.024217,0.108379,0.014195,0.073274,3.7e-05,,,,,gru
3217,4,0.022323,0.004555,1.757266,0.004994,0.026355,0.109062,0.01402,0.077768,3.7e-05,,,,,gru
3217,4,0.062933,0.002961,1.757296,0.004994,0.023686,0.045932,0.006979,0.029966,3.7e-05,,,,,gru
6760,8,0.017752,0.005085,1.757328,0.004982,0.02589,0.148217,0.010936,0.111333,4.9e-05,,,,,gru
6760,8,0.021919,0.003143,1.757353,0.004982,0.021661,0.244066,0.006512,0.182487,4.9e-05,,,,,gru
6760,8,-0.020642,0.004793,1.757388,0.004982,0.026912,0.218877,0.007936,0.161711,4.9e-05,,,,,gru
6760,8,0.077838,0.003322,1.757432,0.004982,0.026352,0.099587,0.007379,0.060171,4.9e-05,,,,,gru
6760,8,-0.002418,0.005862,1.757454,0.004982,0.03355,0.099828,0.003943,0.062355,4.9e-05,,,,,gru
6760,8,0.05356,0.00178,1.757471,0.004982,0.026404,0.142742,0.013015,0.104149,4.9e-05,,,,,gru
6760,8,0.053527,0.00432,1.757495,0.004982,0.029136,0.187172,0.010793,0.135968,4.9e-05,,,,,gru
6760,8,-0.022837,0.003743,1.757508,0.004982,0.03579,0.151847,0.007281,0.112265,4.9e-05,,,,,gru
12459,12,-0.042419,0.000893,1.757528,0.00497,0.012397,0.094125,0.010494,0.054461,6.1e-05,,,,,gru
12459,12,0.080741,0.001171,1.757549,0.00497,0.014296,0.060571,0.011437,0.046627,6.1e-05,,,,,gru
12459,12,-0.018725,0.000412,1.757574,0.00497,0.01126,0.075492,0.00681,0.024518,6.1e-05,,,,,gru
12459,12,0.085683,0.000727,1.757576,0.00497,0.012837,0.135804,0.00637,0.095315,6.1e-05,,,,,gru
12459,12,-0.050912,0.000854,1.757563,0.00497,0.010674,0.028962,0.003526,0.017551,6.1e-05,,,,,gru
12459,12,-0.015985,0.001106,1.757552,0.00497,0.012197,0.064714,0.002582,0.04561,6.1e-05,,,,,gru
12459,12,-0.001704,0.000673,1.757549,0.00497,0.011166,0.112058,0.002334,0.07624,6.1e-05,,,,,gru
12459,12,-0.020498,0.001281,1.757543,0.00497,0.011782,0.071619,0.001765,0.052366,6.1e-05,,,,,gru
12459,12,0.057137,0.000728,1.757531,0.00497,0.012654,0.182356,0.001715,0.114949,6.1e-05,,,,,gru
12459,12,0.023453,0.000845,1.757513,0.00497,0.010427,0.095578,0.001366,0.067272,6.1e-05,,,,,gru
12459,12,0.005099,0.000864,1.757491,0.00497,0.01219,0.198817,0.001518,0.140546,6.1e-05,,,,,gru
12459,12,-0.004799,0.001061,1.757454,0.00497,0.012684,0.105865,0.001707,0.066047,6.1e-05,,,,,gru
17056,16,-0.023869,0.003781,1.75741,0.004958,0.02065,0.065586,0.004872,0.042293,7.3e-05,,,,,gru
17056,16,0.059305,0.00157,1.757374,0.004958,0.014785,0.034474,0.002327,0.01919,7.3e-05,,,,,gru
17056,16,0.089152,0.000363,1.757347,0.004958,0.011095,0.062353,0.003581,0.04697,7.3e-05,,,,,gru
17056,16,0.003199,0.003475,1.757326,0.004958,0.017015,0.04148,0.006101,0.032762,7.3e-05,,,,,gru
17056,16,0.037818,0.001922,1.757308,0.004958,0.017347,0.063459,0.001766,0.039263,7.3e-05,,,,,gru
17056,16,0.069524,0.000415,1.7573,0.004958,0.011748,0.089265,0.002534,0.058722,7.3e-05,,,,,gru
17056,16,-0.018019,0.004563,1.757298,0.004958,0.020839,0.146483,0.008415,0.103253,7.3e-05,,,,,gru
17056,16,0.05203,0.000663,1.757306,0.004958,0.013051,0.024156,0.002162,0.013664,7.3e-05,,,,,gru
17056,16,0.093956,0.001203,1.757321,0.004958,0.011701,0.049321,0.004645,0.034624,7.3e-05,,,,,gru
17056,16,-0.017141,0.002841,1.757335,0.004958,0.017483,0.045326,0.003661,0.021734,7.3e-05,,,,,gru
17056,16,0.073279,0.002178,1.757354,0.004958,0.015806,0.020785,0.001067,0.011924,7.3e-05,,,,,gru
17056,16,0.011522,0.001479,1.757376,0.004958,0.009942,0.085605,0.001741,0.049514,7.3e-05,,,,,gru
22740,20,-0.095148,0.000897,1.757412,0.004946,0.011393,0.108752,0.006417,0.054149,8.5e-05,,,,,gru
22740,20,0.097551,0.000915,1.757467,0.004946,0.012474,0.118656,0.009136,0.08314,8.5e-05,,,,,gru
22740,20,-0.069411,0.00046,1.757529,0.004946,0.011072,0.109174,0.001819,0.073838,8.5e-05,,,,,gru
22740,20,-0.01907,0.000787,1.757588,0.004946,0.011012,0.125047,0.000784,0.087944,8.5e-05,,,,,gru
22740,20,-0.083551,0.000627,1.757638,0.004946,0.012678,0.163875,0.003784,0.115847,8.5e-05,,,,,gru
22740,20,0.064814,0.000869,1.757699,0.004946,0.013008,0.269522,0.00079,0.163354,8.5e-05,,,,,gru
22740,20,-0.052163,0.000519,1.757748,0.004946,0.015046,0.07434,0.008708,0.032464,8.5e-05,,,,,gru
22740,20,-0.051388,0.000914,1.757785,0.004946,0.016937,0.062144,0.013757,0.041849,8.5e-05,,,,,gru
22740,20,0.068181,0.001226,1.757822,0.004946,0.021012,0.080065,0.016328,0.053021,8.5e-05,,,,,gru
22740,20,0.018608,0.000943,1.757878,0.004946,0.020213,0.056064,0.018575,0.044239,8.5e-05,,,,,gru
22740,20,-0.07346,0.00091,1.757929,0.004946,0.016215,0.179235,0.013373,0.124874,8.5e-05,,,,,gru
22740,20,0.004485,0.000777,1.757982,0.004946,0.015598,0.11249,0.005939,0.07418,8.5e-05,,,,,gru
27536,24,0.026076,0.00172,1.758023,0.004934,0.015972,0.078048,0.001118,0.051544,9.7e-05,,,,,gru
27536,24,0.103296,0.00131,1.758059,0.004934,0.017954,0.115444,0.0126,0.083248,9.7e-05,,,,,gru
27536,24,-0.128858,0.007137,1.758091,0.004934,0.03649,0.201391,0.007743,0.063403,9.7e-05,,,,,gru
27536,24,0.033854,0.00164,1.758071,0.004934,0.025131,0.087737,0.018995,0.059536,9.7e-05,,,,,gru
27536,24,0.023,0.002966,1.758054,0.004934,0.028376,0.179307,0.013966,0.12693,9.7e-05,,,,,gru
27536,24,0.077528,0.003153,1.758019,0.004934,0.021057,0.101213,0.019321,0.072008,9.7e-05,,,,,gru
27536,24,0.085355,0.001585,1.757994,0.004934,0.018964,0.068796,0.015342,0.044066,9.7e-05,,,,,gru
27536,24,0.057292,0.000994,1.757969,0.004934,0.016519,0.081061,0.009485,0.052997,9.7e-05,,,,,gru
27536,24,-0.167674,0.008798,1.757943,0.004934,0.038133,0.305802,0.023668,0.13789,9.7e-05,,,,,gru
27536,24,0.040148,0.003173,1.757844,0.004934,0.017251,0.045282,0.005496,0.026752,9.7e-05,,,,,gru
27536,24,0.035827,0.002185,1.757747,0.004934,0.021543,0.1098,0.010184,0.072424,9.7e-05,,,,,gru
27536,24,0.024717,0.000996,1.757649,0.004934,0.016048,0.169111,0.009292,0.109904,9.7e-05,,,,,gru
33370,28,0.053358,0.000687,1.757563,0.004922,0.012012,0.099302,0.004886,0.058124,0.0001,,,,,gru
33370,28,-0.015637,0.000526,1.75748,0.004922,0.01192,0.161744,0.007015,0.113827,0.0001,,,,,gru
33370,28,-0.04761,0.000964,1.757411,0.004922,0.014868,0.115833,0.011582,0.066845,0.0001,,,,,gru
33370,28,-0.061768,0.000692,1.757352,0.004922,0.015701,0.23324,0.014692,0.174083,0.0001,,,,,gru
33370,28,0.069324,0.00103,1.757297,0.004922,0.019342,0.221983,0.02003,0.156065,0.0001,,,,,gru
33370,28,-0.010577,0.000591,1.757242,0.004922,0.014155,0.151388,0.011857,0.11278,0.0001,,,,,gru
33370,28,0.00727,0.000882,1.757201,0.004922,0.012889,0.07491,0.005649,0.053232,0.0001,,,,,gru
33370,28,-0.048502,0.000448,1.757157,0.004922,0.012201,0.067333,0.00493,0.044974,0.0001,,,,,gru
33370,28,0.047924,0.000807,1.757116,0.004922,0.017387,0.159671,0.008865,0.114347,0.0001,,,,,gru
33370,28,-0.014053,0.000541,1.757087,0.004922,0.018072,0.047395,0.015512,0.037192,0.0001,,,,,gru
33370,28,0.037136,0.001045,1.757068,0.004922,0.022241,0.273628,0.01533,0.191364,0.0001,,,,,gru
33370,28,-0.026752,0.000917,1.757043,0.004922,0.020918,0.145153,0.01842,0.1059,0.0001,,,,,gru
39134,32,-0.030791,0.000504,1.757017,0.00491,0.010892,0.078601,0.001733,0.054236,0.0001,,,,,gru
39134,32,0.094164,0.000916,1.756989,0.00491,0.012549,0.169383,0.00618,0.104735,0.0001,,,,,gru
39134,32,-0.137065,0.000349,1.756958,0.00491,0.01165,0.303084,0.006584,0.216077,0.0001,,,,,gru
39134,32,-0.023234,0.000534,1.75692,0.00491,0.014978,0.089245,0.01251,0.058349,0.0001,,,,,gru
39134,32,0.003832,0.000637,1.756884,0.00491,0.015779,0.065314,0.016803,0.044328,0.0001,,,,,gru
39134,32,-0.034458,0.000903,1.756848,0.00491,0.017986,0.115557,0.01611,0.059676,0.0001,,,,,gru
39134,32,-0.192193,0.000564,1.756801,0.00491,0.014772,0.300285,0.009746,0.213735,0.0001,,,,,gru
39134,32,0.094846,0.000669,1.756762,0.00491,0.012464,0.152068,0.010756,0.106562,0.0001,,,,,gru
39134,32,0.059327,0.0008,1.756717,0.00491,0.012427,0.116626,0.005064,0.077978,0.0001,,,,,gru
39134,32,-0.0887,0.000697,1.756662,0.00491,0.015982,0.088668,0.009314,0.058994,0.0001,,,,,gru
39134,32,0.010112,0.000948,1.756605,0.00491,0.019445,0.137331,0.015194,0.096434,0.0001,,,,,gru
39134,32,0.038777,0.000911,1.756548,0.00491,0.023428,0.136388,0.021943,0.104992,0.0001,,,,,gru
43756,36,0.045591,0.001828,1.75649,0.004898,0.016662,0.024731,0.015699,0.022605,0.0001,,,,,gru
43756,36,-0.02518,0.003492,1.756445,0.004898,0.024162,0.048709,0.023071,0.046417,0.0001,,,,,gru
43756,36,0.210746,0.000433,1.7564,0.004898,0.01482,0.076497,0.002214,0.047582,0.0001,,,,,gru
43756,36,0.022483,0.001399,1.75635,0.004898,0.015978,0.062092,0.011472,0.047176,0.0001,,,,,gru
43756,36,0.029196,0.003603,1.756307,0.004898,0.018701,0.100574,0.008272,0.075619,0.0001,,,,,gru
43756,36,0.100135,0.000376,1.756261,0.004898,0.009195,0.049557,0.006173,0.031337,0.0001,,,,,gru
43756,36,0.05418,0.001669,1.75622,0.004898,0.014836,0.04304,0.007599,0.023027,0.0001,,,,,gru
43756,36,-0.003401,0.002907,1.756192,0.004898,0.025113,0.053571,0.00473,0.036643,0.0001,,,,,gru
43756,36,0.10882,0.001054,1.756171,0.004898,0.020771,0.044258,0.022493,0.042062,0.0001,,,,,gru
43756,36,0.060295,0.00207,1.756148,0.004898,0.021731,0.056562,0.016706,0.037054,0.0001,,,,,gru
43756,36,0.026929,0.002641,1.756135,0.004898,0.024194,0.05983,0.010476,0.043323,0.0001,,,,,gru
43756,36,-0.024228,0.000675,1.756131,0.004898,0.021753,0.049343,0.011654,0.018666,0.0001,,,,,gru
48467,40,-0.04796,0.002944,1.756144,0.004886,0.021578,0.080886,0.013036,0.0443,0.0001,,,,,gru
48467,40,0.115509,0.000885,1.756178,0.004886,0.010812,0.07123,0.001616,0.03743,0.0001,,,,,gru
48467,40,0.059425,0.002508,1.756228,0.004886,0.015003,0.165109,0.005504,0.118562,0.0001,,,,,gru
48467,40,0.059394,0.001989,1.756276,0.004886,0.014649,0.064504,0.001742,0.012911,0.0001,,,,,gru
48467,40,0.024114,0.002471,1.756347,0.004886,0.018205,0.066419,0.004837,0.036109,0.0001,,,,,gru
48467,40,0.010815,0.000479,1.756427,0.004886,0.012101,0.117087,0.004284,0.081591,0.0001,,,,,gru
48467,40,-0.010179,0.003078,1.75649,0.004886,0.020995,0.11135,0.003252,0.067771,0.0001,,,,,gru
48467,40,0.052989,0.001283,1.75656,0.004886,0.016245,0.139612,0.008692,0.096773,0.0001,,,,,gru
48467,40,0.138544,0.001244,1.756626,0.004886,0.016499,0.106898,0.014632,0.079971,0.0001,,,,,gru
48467,40,-0.020437,0.002898,1.756694,0.004886,0.019827,0.075653,0.006852,0.038262,0.0001,,,,,gru
48467,40,0.081565,0.001498,1.756764,0.004886,0.014005,0.060669,0.003687,0.034149,0.0001,,,,,gru
48467,40,0.082889,0.00137,1.756839,0.004886,0.022158,0.233579,0.003449,0.158107,0.0001,,,,,gru
54454,44,0.012349,0.000897,1.756915,0.004874,0.014324,0.173713,0.002394,0.125632,0.0001,,,,,gru
54454,44,-0.00532,0.000857,1.756973,0.004874,0.014219,0.091028,0.004483,0.064615,0.0001,,,,,gru
54454,44,-0.06469,0.000794,1.757017,0.004874,0.016888,0.21446,0.007268,0.153246,0.0001,,,,,gru
54454,44,0.016379,0.000707,1.757058,0.004874,0.016661,0.263849,0.005371,0.189087,0.0001,,,,,gru
54454,44,0.027985,0.001199,1.757089,0.004874,0.015866,0.084296,0.003198,0.047476,0.0001,,,,,gru
