global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5510,4,-0.044144,0.001625,1.821705,0.004994,0.01821,0.035624,0.001158,0.019558,3.7e-05,,,,,gru
5510,4,0.057345,0.003044,1.821705,0.004994,0.026283,0.072541,0.008468,0.044649,3.7e-05,,,,,gru
5510,4,0.049505,0.003925,1.821697,0.004994,0.024953,0.054837,0.01053,0.028695,3.7e-05,,,,,gru
5510,4,0.005436,0.002697,1.821696,0.004994,0.020904,0.035495,0.005316,0.027795,3.7e-05,,,,,gru
5510,4,0.034132,0.0021,1.821692,0.004994,0.020345,0.050268,0.003453,0.034435,3.7e-05,,,,,gru
5510,4,0.012328,0.003501,1.821697,0.004994,0.023167,0.123642,0.004567,0.07392,3.7e-05,,,,,gru
5510,4,-0.028206,0.001749,1.821711,0.004994,0.018075,0.036101,0.006778,0.015543,3.7e-05,,,,,gru
5510,4,0.041847,0.00271,1.821734,0.004994,0.019615,0.044574,0.00573,0.027346,3.7e-05,,,,,gru
5510,4,0.051626,0.003745,1.82175,0.004994,0.02948,0.070389,0.004122,0.049464,3.7e-05,,,,,gru
5510,4,0.052538,0.001628,1.821761,0.004994,0.01791,0.038895,0.001111,0.022349,3.7e-05,,,,,gru
5510,4,0.049727,0.002839,1.821766,0.004994,0.022917,0.040514,0.003257,0.025813,3.7e-05,,,,,gru
5510,4,-0.075936,0.00379,1.821769,0.004994,0.022105,0.103151,0.002821,0.060565,3.7e-05,,,,,gru
11296,8,0.050864,0.001286,1.82178,0.004982,0.015389,0.08316,0.000437,0.057934,4.9e-05,,,,,gru
11296,8,0.11223,0.00191,1.8218,0.004982,0.015518,0.043248,0.002936,0.025366,4.9e-05,,,,,gru
11296,8,-0.123638,0.005763,1.821828,0.004982,0.03072,0.233282,0.014144,0.153712,4.9e-05,,,,,gru
11296,8,0.07012,0.001637,1.82183,0.004982,0.015524,0.023596,0.003686,0.013577,4.9e-05,,,,,gru
11296,8,0.009651,0.002087,1.821834,0.004982,0.0214,0.078324,0.002336,0.053297,4.9e-05,,,,,gru
11296,8,-0.019681,0.005126,1.821837,0.004982,0.026344,0.117821,0.003135,0.078835,4.9e-05,,,,,gru
11296,8,0.027774,0.003876,1.821839,0.004982,0.024274,0.170045,0.005657,0.123639,4.9e-05,,,,,gru
11296,8,-0.093605,0.002324,1.821841,0.004982,0.024062,0.101303,0.005113,0.069329,4.9e-05,,,,,gru
11296,8,0.155935,0.002502,1.821854,0.004982,0.024192,0.101348,0.018689,0.078146,4.9e-05,,,,,gru
11296,8,0.019505,0.004081,1.821863,0.004982,0.029634,0.033524,0.010962,0.017945,4.9e-05,,,,,gru
11296,8,0.081161,0.00175,1.821863,0.004982,0.017577,0.023049,0.011839,0.019218,4.9e-05,,,,,gru
11296,8,-0.042778,0.002649,1.821866,0.004982,0.020083,0.05911,0.00187,0.037451,4.9e-05,,,,,gru
17253,12,-0.079561,0.002211,1.821877,0.00497,0.017599,0.080631,0.003424,0.050947,6.1e-05,,,,,gru
17253,12,-0.094567,0.001561,1.821879,0.00497,0.015173,0.054226,0.005198,0.033274,6.1e-05,,,,,gru
17253,12,0.11241,0.001375,1.821881,0.00497,0.016321,0.121122,0.006585,0.078621,6.1e-05,,,,,gru
17253,12,-0.066075,0.002059,1.821869,0.00497,0.022092,0.033218,0.012754,0.028071,6.1e-05,,,,,gru
17253,12,0.023297,0.001642,1.821864,0.00497,0.019694,0.07618,0.009794,0.050081,6.1e-05,,,,,gru
17253,12,-0.029835,0.001413,1.821852,0.00497,0.017695,0.099866,0.008501,0.051033,6.1e-05,,,,,gru
17253,12,0.009955,0.00172,1.82182,0.00497,0.016217,0.044745,0.005104,0.034052,6.1e-05,,,,,gru
17253,12,-0.018176,0.001921,1.821793,0.00497,0.017514,0.099013,0.001541,0.048953,6.1e-05,,,,,gru
17253,12,-0.066784,0.001423,1.821746,0.00497,0.012839,0.042498,0.000588,0.028329,6.1e-05,,,,,gru
17253,12,-0.041502,0.001855,1.821704,0.00497,0.017214,0.033593,0.003472,0.022622,6.1e-05,,,,,gru
17253,12,0.03217,0.001776,1.821663,0.00497,0.0172,0.048976,0.006695,0.027791,6.1e-05,,,,,gru
17253,12,-0.065045,0.001685,1.821618,0.00497,0.015932,0.055368,0.006292,0.031834,6.1e-05,,,,,gru
23175,16,0.035055,0.002713,1.821567,0.004958,0.022368,0.065662,0.013378,0.046612,7.3e-05,,,,,gru
23175,16,0.004914,0.001823,1.821512,0.004958,0.018362,0.037267,0.010635,0.017617,7.3e-05,,,,,gru
23175,16,-0.100992,0.002035,1.821447,0.004958,0.020918,0.055639,0.004879,0.022833,7.3e-05,,,,,gru
23175,16,-0.049538,0.002123,1.821397,0.004958,0.018514,0.061208,0.002666,0.033509,7.3e-05,,,,,gru
23175,16,0.097893,0.002368,1.82134,0.004958,0.022553,0.067451,0.006915,0.045787,7.3e-05,,,,,gru
23175,16,-0.110114,0.001613,1.821279,0.004958,0.017464,0.062422,0.003957,0.033669,7.3e-05,,,,,gru
23175,16,0.039515,0.002142,1.821236,0.004958,0.020685,0.065276,0.001157,0.043641,7.3e-05,,,,,gru
23175,16,-0.089706,0.001879,1.821189,0.004958,0.019664,0.064223,0.005589,0.042661,7.3e-05,,,,,gru
23175,16,-0.002404,0.001983,1.821155,0.004958,0.020515,0.084218,0.001981,0.059149,7.3e-05,,,,,gru
23175,16,0.027678,0.001717,1.821117,0.004958,0.02043,0.043126,0.001524,0.019965,7.3e-05,,,,,gru
23175,16,-0.068119,0.002378,1.821076,0.004958,0.021146,0.048569,0.003842,0.026916,7.3e-05,,,,,gru
23175,16,-0.013261,0.001918,1.821049,0.004958,0.015992,0.047734,0.001178,0.030694,7.3e-05,,,,,gru
29135,20,-0.024505,0.002323,1.821019,0.004946,0.017487,0.064485,0.00866,0.047173,8.5e-05,,,,,gru
29135,20,-0.079046,0.001641,1.820992,0.004946,0.014302,0.047169,0.004725,0.035629,8.5e-05,,,,,gru
29135,20,0.027102,0.002307,1.820971,0.004946,0.018611,0.080128,0.006095,0.043587,8.5e-05,,,,,gru
29135,20,-0.022917,0.001758,1.820972,0.004946,0.015649,0.076808,0.003607,0.056892,8.5e-05,,,,,gru
29135,20,-0.016559,0.001686,1.820977,0.004946,0.013759,0.029737,0.001086,0.019641,8.5e-05,,,,,gru
29135,20,-0.041756,0.002614,1.820982,0.004946,0.021055,0.146866,0.001201,0.101178,8.5e-05,,,,,gru
29135,20,0.007672,0.00145,1.821014,0.004946,0.015438,0.034688,0.00124,0.015327,8.5e-05,,,,,gru
29135,20,-0.074458,0.001851,1.821055,0.004946,0.015717,0.058039,0.000527,0.040706,8.5e-05,,,,,gru
29135,20,-0.010437,0.002866,1.821097,0.004946,0.017827,0.05186,0.004167,0.034147,8.5e-05,,,,,gru
29135,20,-0.062161,0.002015,1.82114,0.004946,0.014915,0.075748,0.004133,0.05232,8.5e-05,,,,,gru
29135,20,-0.085295,0.001783,1.821179,0.004946,0.014014,0.053615,0.004218,0.025766,8.5e-05,,,,,gru
29135,20,0.077085,0.002553,1.821229,0.004946,0.019715,0.053024,0.00859,0.033414,8.5e-05,,,,,gru
33962,24,-0.035419,0.004066,1.821273,0.004934,0.021695,0.085773,0.00653,0.056159,9.7e-05,,,,,gru
33962,24,0.076074,0.002136,1.821302,0.004934,0.017947,0.088876,0.003128,0.065718,9.7e-05,,,,,gru
33962,24,0.051111,0.002366,1.821327,0.004934,0.015682,0.090242,0.005991,0.064996,9.7e-05,,,,,gru
33962,24,0.073165,0.002044,1.821352,0.004934,0.016936,0.051834,0.00366,0.025735,9.7e-05,,,,,gru
33962,24,0.003388,0.004075,1.821353,0.004934,0.022613,0.073084,0.006343,0.02081,9.7e-05,,,,,gru
33962,24,-0.040788,0.002551,1.821343,0.004934,0.019108,0.068857,0.004768,0.049453,9.7e-05,,,,,gru
33962,24,0.0593,0.00261,1.821342,0.004934,0.020698,0.064953,0.002356,0.034739,9.7e-05,,,,,gru
33962,24,-0.024006,0.003909,1.821324,0.004934,0.02483,0.033239,0.002067,0.013762,9.7e-05,,,,,gru
33962,24,0.069371,0.00177,1.821305,0.004934,0.013746,0.037651,0.005001,0.027146,9.7e-05,,,,,gru
33962,24,0.026947,0.004612,1.821287,0.004934,0.027002,0.080077,0.001258,0.035936,9.7e-05,,,,,gru
33962,24,0.045431,0.002135,1.821264,0.004934,0.020137,0.035355,0.003387,0.023101,9.7e-05,,,,,gru
33962,24,-0.027919,0.00129,1.821234,0.004934,0.016456,0.065657,0.001511,0.041596,9.7e-05,,,,,gru
39345,28,0.085692,0.00188,1.821204,0.004922,0.020496,0.050214,0.0036,0.029398,0.0001,,,,,gru
39345,28,-0.010309,0.004942,1.821163,0.004922,0.026848,0.057684,0.013227,0.046515,0.0001,,,,,gru
39345,28,-0.023446,0.004347,1.821127,0.004922,0.028184,0.092006,0.009631,0.067238,0.0001,,,,,gru
39345,28,0.084109,0.00299,1.82108,0.004922,0.018718,0.025015,0.002053,0.01447,0.0001,,,,,gru
