episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1462,596.2665,596.2665,1462,1,1,0,0,0.2984,2.046,goal,19.2,0.001146,0.439693,-0.891078,0.853681,4.352746,1.20942,0.398344,5.982957,0.410894,0.397334,-0.476321,1.0,,,,,,,,,,,,,,0,gru
2,2943,604.6546,600.4605,1481,1,1,0,0,0.2991,2.023,goal,38.8,-0.021063,0.446968,-0.879629,0.862148,4.30911,1.264953,0.220421,5.972166,0.414862,0.396903,-0.42463,1.0,,,,,,,,,,,,,,0,gru
3,4465,619.1568,606.6926,1522,1,1,0,0,0.2981,2.016,goal,58.6,0.011333,0.445451,-0.878971,0.874718,4.296484,1.259006,0.301554,5.940799,0.414235,0.397721,-0.450294,1.003461,,,,,,,,,,,,,,0,gru
4,5980,611.93,608.0019,1515,1,1,0,0,0.2991,2.014,goal,82.2,0.01215,0.451377,-0.883724,0.862554,4.368675,1.242975,0.149522,5.984668,0.416942,0.409515,-0.570621,1.0,-0.020633,0.001698,1.812693,0.004994,0.01891,0.076058,0.010351,0.062079,3.7e-05,,,,,0,gru
5,7487,613.2395,609.0495,1507,1,1,0,0,0.299,2.028,goal,101.9,-0.02748,0.43345,-0.892978,0.860838,4.286632,1.271055,0.389853,5.984079,0.420994,0.398959,-0.394863,1.0,,,,,,,,,,,,,,0,gru
6,8976,607.1917,608.7398,1489,1,1,0,0,0.2993,2.021,goal,121.3,-0.007361,0.444353,-0.886429,0.872675,4.25797,1.266955,0.354386,5.989819,0.41328,0.397207,-0.435819,1.0,,,,,,,,,,,,,,0,gru
7,10472,612.018,609.2081,1496,1,1,0,0,0.2989,2.038,goal,140.4,-0.019765,0.438601,-0.883018,0.848869,4.33071,1.23598,0.376575,5.981577,0.421425,0.399459,-0.388077,1.000371,,,,,,,,,,,,,,0,gru
8,11973,611.4323,609.4862,1501,1,1,0,0,0.2985,2.034,goal,162.2,-0.015443,0.437203,-0.872854,0.870532,4.283764,1.256929,0.338389,5.960773,0.422686,0.399249,-0.509972,1.0,-0.020792,0.00166,1.812811,0.004982,0.016077,0.110763,0.005743,0.095293,4.9e-05,,,,,0,gru
9,13446,599.4499,608.371,1473,1,1,0,0,0.2988,2.025,goal,180.8,-0.028933,0.441266,-0.852998,0.860666,4.245696,1.2766,0.12214,5.964339,0.414293,0.39758,-0.478293,1.0,,,,,,,,,,,,,,0,gru
10,14953,613.9354,608.9275,1507,1,1,0,0,0.2983,2.051,goal,200.2,0.000111,0.430519,-0.878122,0.875478,4.298792,1.237167,0.118457,5.969362,0.418989,0.399589,-0.424067,1.009744,,,,,,,,,,,,,,0,gru
