global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5980,4,0.047886,0.001294,1.81258,0.004994,0.014905,0.046971,0.005169,0.024966,3.7e-05,,,,,gru
5980,4,-0.02601,0.001652,1.812654,0.004994,0.017344,0.130225,0.00706,0.111114,3.7e-05,,,,,gru
5980,4,-0.088532,0.001618,1.81267,0.004994,0.014218,0.036709,0.004214,0.028138,3.7e-05,,,,,gru
5980,4,-0.040979,0.002312,1.812694,0.004994,0.0188,0.088603,0.012005,0.07154,3.7e-05,,,,,gru
5980,4,-0.024762,0.001861,1.812699,0.004994,0.025112,0.036864,0.018855,0.041497,3.7e-05,,,,,gru
5980,4,0.006902,0.001507,1.812702,0.004994,0.025784,0.120491,0.021671,0.130119,3.7e-05,,,,,gru
5980,4,-0.024244,0.001911,1.812714,0.004994,0.022607,0.078616,0.015977,0.063251,3.7e-05,,,,,gru
5980,4,-0.031262,0.001301,1.812714,0.004994,0.017865,0.124318,0.011697,0.114606,3.7e-05,,,,,gru
5980,4,-0.00154,0.002067,1.812715,0.004994,0.01705,0.06743,0.007344,0.039418,3.7e-05,,,,,gru
5980,4,0.118436,0.001623,1.812718,0.004994,0.017882,0.072372,0.003897,0.065439,3.7e-05,,,,,gru
5980,4,-0.00321,0.001852,1.812724,0.004994,0.014944,0.047258,0.003723,0.029312,3.7e-05,,,,,gru
5980,4,-0.180287,0.001376,1.812733,0.004994,0.020404,0.062843,0.012596,0.025553,3.7e-05,,,,,gru
11973,8,-0.092534,0.002091,1.812738,0.004982,0.01819,0.176637,0.011899,0.167565,4.9e-05,,,,,gru
11973,8,0.040856,0.001612,1.812743,0.004982,0.016686,0.068505,0.005912,0.041693,4.9e-05,,,,,gru
11973,8,-0.008358,0.001227,1.812745,0.004982,0.016078,0.09077,0.003338,0.086945,4.9e-05,,,,,gru
11973,8,-0.057945,0.001938,1.812753,0.004982,0.012944,0.040867,0.003067,0.032464,4.9e-05,,,,,gru
11973,8,0.091194,0.001238,1.812758,0.004982,0.017785,0.118917,0.010382,0.120653,4.9e-05,,,,,gru
11973,8,-0.098347,0.001949,1.812773,0.004982,0.019532,0.260589,0.008981,0.244583,4.9e-05,,,,,gru
11973,8,0.0799,0.001504,1.812797,0.004982,0.016789,0.057453,0.010001,0.036412,4.9e-05,,,,,gru
11973,8,-0.038267,0.001815,1.812829,0.004982,0.01679,0.090051,0.004989,0.063955,4.9e-05,,,,,gru
11973,8,-0.103728,0.001694,1.81287,0.004982,0.01435,0.121846,0.002057,0.092551,4.9e-05,,,,,gru
