global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5728,4,0.011488,0.000925,1.719698,0.004994,0.012155,0.12917,0.007096,0.08657,3.7e-05,,,,,gru
5728,4,-0.019857,0.001048,1.719698,0.004994,0.013286,0.161372,0.004857,0.082354,3.7e-05,,,,,gru
5728,4,-0.018645,0.00072,1.719704,0.004994,0.011137,0.163417,0.004147,0.112248,3.7e-05,,,,,gru
5728,4,0.05802,0.000901,1.719705,0.004994,0.011351,0.104995,0.002095,0.072743,3.7e-05,,,,,gru
5728,4,-0.065267,0.000719,1.71971,0.004994,0.009071,0.036707,0.005319,0.019759,3.7e-05,,,,,gru
5728,4,-0.016152,0.001245,1.719722,0.004994,0.01407,0.194134,0.010942,0.097812,3.7e-05,,,,,gru
5728,4,-0.016298,0.000753,1.719729,0.004994,0.014992,0.056384,0.012539,0.045325,3.7e-05,,,,,gru
5728,4,-0.025727,0.001121,1.719732,0.004994,0.014972,0.113038,0.012597,0.066567,3.7e-05,,,,,gru
5728,4,0.028115,0.001351,1.719735,0.004994,0.013971,0.165744,0.012061,0.090835,3.7e-05,,,,,gru
5728,4,0.034816,0.001461,1.719738,0.004994,0.016744,0.080058,0.013168,0.036862,3.7e-05,,,,,gru
5728,4,-0.090495,0.000591,1.71974,0.004994,0.012129,0.074341,0.008171,0.050794,3.7e-05,,,,,gru
5728,4,0.046805,0.001121,1.719743,0.004994,0.013808,0.126883,0.010012,0.066182,3.7e-05,,,,,gru
11672,8,-0.025351,0.000935,1.719743,0.004982,0.013104,0.044833,0.007978,0.029272,4.9e-05,,,,,gru
11672,8,-0.096752,0.00101,1.719738,0.004982,0.012556,0.04311,0.003536,0.027367,4.9e-05,,,,,gru
11672,8,0.101122,0.001417,1.719738,0.004982,0.015774,0.32193,0.004758,0.203026,4.9e-05,,,,,gru
11672,8,-0.01159,0.000933,1.719746,0.004982,0.016643,0.064727,0.004284,0.026333,4.9e-05,,,,,gru
11672,8,-0.079278,0.001053,1.71975,0.004982,0.017795,0.05068,0.009948,0.033829,4.9e-05,,,,,gru
11672,8,0.068964,0.001357,1.71975,0.004982,0.019281,0.183616,0.008783,0.102715,4.9e-05,,,,,gru
11672,8,-0.012866,0.00104,1.719742,0.004982,0.022767,0.176687,0.014962,0.099942,4.9e-05,,,,,gru
11672,8,0.040763,0.001227,1.719724,0.004982,0.02552,0.188959,0.016615,0.127284,4.9e-05,,,,,gru
11672,8,-0.061454,0.001464,1.719709,0.004982,0.025643,0.162541,0.019447,0.083899,4.9e-05,,,,,gru
11672,8,-0.044306,0.001325,1.719685,0.004982,0.025713,0.087035,0.018828,0.049745,4.9e-05,,,,,gru
11672,8,0.016846,0.001242,1.719664,0.004982,0.025064,0.065273,0.016504,0.043092,4.9e-05,,,,,gru
11672,8,0.001388,0.001106,1.719635,0.004982,0.02287,0.080894,0.015242,0.047565,4.9e-05,,,,,gru
16935,12,-0.01265,0.002459,1.719607,0.00497,0.014792,0.057837,0.007714,0.02666,6.1e-05,,,,,gru
16935,12,0.024309,0.002994,1.719567,0.00497,0.018438,0.068875,0.007618,0.039247,6.1e-05,,,,,gru
16935,12,0.129744,0.000903,1.719526,0.00497,0.011632,0.046849,0.004835,0.027578,6.1e-05,,,,,gru
16935,12,0.111502,0.001014,1.719479,0.00497,0.012192,0.04295,0.005066,0.024845,6.1e-05,,,,,gru
16935,12,-0.007966,0.002279,1.719427,0.00497,0.015064,0.032233,0.002757,0.012676,6.1e-05,,,,,gru
16935,12,-0.024672,0.004296,1.719373,0.00497,0.019856,0.093803,0.009649,0.057899,6.1e-05,,,,,gru
16935,12,0.082561,0.00121,1.71932,0.00497,0.012906,0.060022,0.0041,0.033548,6.1e-05,,,,,gru
16935,12,-0.003191,0.001864,1.71926,0.00497,0.015979,0.06859,0.002882,0.033214,6.1e-05,,,,,gru
16935,12,0.016731,0.00449,1.7192,0.00497,0.01636,0.094068,0.005245,0.063438,6.1e-05,,,,,gru
16935,12,0.074852,0.001651,1.719138,0.00497,0.016174,0.089611,0.004089,0.042774,6.1e-05,,,,,gru
16935,12,0.047401,0.000716,1.719069,0.00497,0.01068,0.048861,0.002934,0.026036,6.1e-05,,,,,gru
16935,12,-0.055002,0.005456,1.719001,0.00497,0.022953,0.088311,0.005741,0.053617,6.1e-05,,,,,gru
22743,16,-0.103254,0.00055,1.718934,0.004958,0.011125,0.112653,0.001453,0.064692,7.3e-05,,,,,gru
