episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1475,600.6315,600.6315,1475,1,1,0,0,0.2989,2.04,goal,19.3,-0.018968,0.44,-0.860833,0.8715,4.467286,1.217931,0.276592,5.980761,0.417983,0.396673,-0.438866,1.0,,,,,,,,,,,,,,0,lstm
2,2916,596.324,598.4778,1441,1,1,0,0,0.2999,2.042,goal,37.9,-0.006048,0.439702,-0.873057,0.86208,4.432289,1.212889,0.385366,5.969041,0.41684,0.396681,-0.438596,1.0,,,,,,,,,,,,,,0,lstm
3,4396,606.9173,601.2909,1480,1,1,0,0,0.2981,2.041,goal,56.7,-0.011102,0.438942,-0.879305,0.852115,4.466394,1.221861,0.344688,5.980924,0.420109,0.398765,-0.466033,1.0,,,,,,,,,,,,,,0,lstm
4,5878,595.0552,599.732,1482,1,1,0,0,0.2992,2.043,goal,79.3,-0.020779,0.440863,-0.860925,0.871047,4.463532,1.208278,0.214273,5.97926,0.413392,0.395605,-0.512938,1.0,-0.012012,0.002492,1.866888,0.006742,0.018245,0.05513,0.008846,0.050438,3.7e-05,,,,,0,lstm
5,7340,605.1363,600.8129,1462,1,1,0,0,0.2985,2.043,goal,98.2,-0.014065,0.435945,-0.865715,0.875175,4.412535,1.224853,0.433589,5.953104,0.418614,0.397111,-0.416077,1.0,,,,,,,,,,,,,,0,lstm
6,8880,620.8633,604.1546,1540,1,1,0,0,0.2979,2.014,goal,117.5,-0.012961,0.450812,-0.882446,0.867828,4.426625,1.224983,0.441061,5.961077,0.41282,0.397632,-0.512907,1.008616,,,,,,,,,,,,,,0,lstm
7,10302,594.3742,602.7574,1422,1,1,0,0,0.2991,2.057,goal,135.8,0.008716,0.435012,-0.856948,0.864499,4.393212,1.186381,0.349566,5.966866,0.408229,0.402182,-0.56818,1.0,,,,,,,,,,,,,,0,lstm
8,11789,611.2033,603.8131,1487,1,1,0,0,0.2998,2.049,goal,157.7,0.010258,0.433032,-0.863411,0.854069,4.456451,1.220791,0.313553,5.977283,0.420717,0.398263,-0.393946,1.003501,-0.012127,0.002183,1.866984,0.006726,0.016195,0.074257,0.002715,0.058437,4.9e-05,,,,,0,lstm
9,13309,617.7452,605.3612,1520,1,1,0,0,0.2989,2.021,goal,177.4,-0.008299,0.447033,-0.884983,0.868619,4.421808,1.240555,0.380979,5.98183,0.417018,0.398381,-0.475316,1.0036,,,,,,,,,,,,,,0,lstm
10,14779,611.8033,606.0054,1470,1,1,0,0,0.299,2.025,goal,196.6,0.007515,0.449329,-0.878096,0.87177,4.428887,1.195566,0.475314,5.966891,0.410096,0.404258,-0.518029,1.0,,,,,,,,,,,,,,0,lstm
