global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
3548,4,0.107568,0.004415,1.847242,0.006742,0.015358,0.043669,0.007065,0.031511,3.7e-05,,,,,lstm
3548,4,-0.078194,0.00824,1.847242,0.006742,0.028845,0.225614,0.017665,0.190816,3.7e-05,,,,,lstm
3548,4,0.025105,0.005697,1.847245,0.006742,0.02002,0.096731,0.002506,0.070109,3.7e-05,,,,,lstm
3548,4,0.036204,0.006075,1.847248,0.006742,0.023615,0.067,0.00572,0.060063,3.7e-05,,,,,lstm
3548,4,0.002301,0.007692,1.847252,0.006742,0.029579,0.189061,0.003402,0.188205,3.7e-05,,,,,lstm
3548,4,0.067188,0.003264,1.847256,0.006742,0.019418,0.091768,0.011549,0.052004,3.7e-05,,,,,lstm
3548,4,0.102224,0.002787,1.847271,0.006742,0.020327,0.050138,0.014011,0.042298,3.7e-05,,,,,lstm
3548,4,-0.068361,0.009839,1.84729,0.006742,0.031339,0.134698,0.00493,0.119923,3.7e-05,,,,,lstm
9283,8,0.013348,0.003515,1.847308,0.006726,0.009862,0.073702,0.001511,0.040735,4.9e-05,,,,,lstm
9283,8,-0.061512,0.001244,1.847324,0.006726,0.008139,0.161065,0.00285,0.151824,4.9e-05,,,,,lstm
9283,8,0.024651,0.003707,1.847338,0.006726,0.008273,0.141489,0.002348,0.104444,4.9e-05,,,,,lstm
9283,8,-0.001289,0.003262,1.847348,0.006726,0.010174,0.10054,0.004562,0.072873,4.9e-05,,,,,lstm
9283,8,-0.007192,0.003412,1.847356,0.006726,0.010811,0.126828,0.006116,0.114343,4.9e-05,,,,,lstm
9283,8,-0.024311,0.001633,1.847363,0.006726,0.009846,0.202276,0.005021,0.181888,4.9e-05,,,,,lstm
9283,8,0.02193,0.004387,1.847376,0.006726,0.00998,0.103373,0.003052,0.081055,4.9e-05,,,,,lstm
9283,8,-0.0088,0.001664,1.847385,0.006726,0.009614,0.056228,0.002939,0.021241,4.9e-05,,,,,lstm
