global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5576,4,0.059059,0.003472,1.904272,0.006742,0.02948,0.0259,0.002205,0.016053,3.7e-05,,,,,lstm
5576,4,-0.035118,0.006594,1.904198,0.006742,0.032143,0.070067,0.006391,0.047333,3.7e-05,,,,,lstm
5576,4,-0.022572,0.006402,1.904223,0.006742,0.036467,0.038301,0.003217,0.027916,3.7e-05,,,,,lstm
5576,4,0.100012,0.004802,1.904235,0.006742,0.035282,0.046261,0.009636,0.013912,3.7e-05,,,,,lstm
5576,4,-0.080228,0.004535,1.904242,0.006742,0.026024,0.024453,0.002162,0.019245,3.7e-05,,,,,lstm
5576,4,-0.01459,0.007684,1.904257,0.006742,0.03231,0.061412,0.006283,0.036712,3.7e-05,,,,,lstm
5576,4,-0.07154,0.004387,1.904268,0.006742,0.024165,0.039794,0.00326,0.023271,3.7e-05,,,,,lstm
5576,4,0.068074,0.005029,1.904289,0.006742,0.03114,0.053117,0.008818,0.047578,3.7e-05,,,,,lstm
5576,4,0.018225,0.007281,1.90431,0.006742,0.034989,0.101704,0.004585,0.084994,3.7e-05,,,,,lstm
5576,4,0.026587,0.0042,1.90431,0.006742,0.025582,0.043639,0.001962,0.034301,3.7e-05,,,,,lstm
5576,4,-0.034183,0.00648,1.904316,0.006742,0.031216,0.027962,0.004907,0.020936,3.7e-05,,,,,lstm
5576,4,0.023843,0.005103,1.904322,0.006742,0.03078,0.077354,0.002027,0.062272,3.7e-05,,,,,lstm
10290,8,0.031815,0.004934,1.904327,0.006726,0.027911,0.051238,0.002114,0.042665,4.9e-05,,,,,lstm
10290,8,0.022593,0.006366,1.904339,0.006726,0.031151,0.074928,0.004837,0.060517,4.9e-05,,,,,lstm
10290,8,-0.108419,0.007626,1.904362,0.006726,0.038873,0.103121,0.008414,0.044236,4.9e-05,,,,,lstm
10290,8,0.071935,0.006257,1.904347,0.006726,0.030829,0.026036,0.00086,0.013866,4.9e-05,,,,,lstm
10290,8,-0.050542,0.006712,1.904334,0.006726,0.033176,0.062734,0.007641,0.043011,4.9e-05,,,,,lstm
10290,8,0.004729,0.00251,1.904328,0.006726,0.02281,0.088973,0.002069,0.07423,4.9e-05,,,,,lstm
10290,8,-0.036437,0.008218,1.904314,0.006726,0.038975,0.047874,0.005041,0.036046,4.9e-05,,,,,lstm
10290,8,0.019046,0.004824,1.904306,0.006726,0.026829,0.100838,0.001635,0.087816,4.9e-05,,,,,lstm
10290,8,0.126927,0.002581,1.904294,0.006726,0.019776,0.062248,0.007639,0.028886,4.9e-05,,,,,lstm
10290,8,-0.026071,0.006453,1.904282,0.006726,0.032845,0.072865,0.000944,0.066388,4.9e-05,,,,,lstm
