episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1442,603.6151,603.6151,1442,1,1,0,0,0.3,2.025,goal,18.9,-0.001888,0.443593,-0.86928,0.876423,4.28219,1.277585,0.329398,5.985012,0.418197,0.400924,-0.472002,1.0,,,,,,,,,,,,,,0,lstm
2,2918,611.6718,607.6435,1476,1,1,0,0,0.2985,2.002,goal,38.2,-0.023698,0.454744,-0.876516,0.878137,4.270764,1.315903,0.169425,5.979624,0.421374,0.39879,-0.447667,1.0,,,,,,,,,,,,,,0,lstm
3,4423,623.6158,612.9676,1505,1,1,0,0,0.2995,2.009,goal,57.8,0.011299,0.446463,-0.885374,0.877766,4.247264,1.318192,0.205486,5.960102,0.421626,0.401475,-0.432644,1.004104,,,,,,,,,,,,,,0,lstm
4,5948,624.1707,615.7684,1525,1,1,0,0,0.2998,1.979,goal,79.9,0.003548,0.461639,-0.889921,0.882409,4.286399,1.318271,0.106721,5.988603,0.416967,0.400536,-0.531312,1.0,-0.007062,0.002854,1.911681,0.006742,0.018057,0.11465,0.006492,0.105216,3.7e-05,,,,,0,lstm
5,7445,618.2626,616.2672,1497,1,1,0,0,0.2995,2.018,goal,99.6,-0.020581,0.439568,-0.878366,0.864447,4.319552,1.300384,0.305247,5.986202,0.427366,0.401403,-0.462608,1.00008,,,,,,,,,,,,,,0,lstm
6,8925,614.5012,615.9729,1480,1,1,0,0,0.2991,2.002,goal,119.2,-0.008323,0.450915,-0.892519,0.876943,4.233616,1.318797,0.275005,5.991686,0.420062,0.401509,-0.459823,1.0,,,,,,,,,,,,,,0,lstm
7,10417,618.2771,616.302,1492,1,1,0,0,0.2998,2.022,goal,138.2,-0.024355,0.446002,-0.887647,0.877049,4.330161,1.290421,0.3547,5.984869,0.419117,0.399704,-0.419907,1.000987,,,,,,,,,,,,,,0,lstm
8,11916,616.9263,616.3801,1499,1,1,0,0,0.2996,2.015,goal,159.4,-0.027421,0.446047,-0.88884,0.882,4.295979,1.29937,0.278414,5.977728,0.42232,0.40112,-0.510041,1.0,-0.003468,0.002824,1.91177,0.006726,0.019029,0.096264,0.008039,0.08129,4.9e-05,,,,,0,lstm
9,13381,606.0276,615.2298,1465,1,1,0,0,0.2996,2.006,goal,178.3,-0.031553,0.451269,-0.875781,0.870383,4.272848,1.312353,0.091385,5.967983,0.416069,0.398402,-0.479159,1.0,,,,,,,,,,,,,,0,lstm
10,14877,623.0225,616.0091,1496,1,1,0,0,0.298,2.031,goal,197.5,-0.005593,0.438123,-0.862062,0.8844,4.303019,1.279721,0.100632,5.974238,0.421367,0.399958,-0.436169,1.01015,,,,,,,,,,,,,,0,lstm
