episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1114,332.5971,332.5971,1114,0,0,1,0,1.1376,2.033,collision,15.1,0.010795,0.431941,-0.882586,0.870222,4.343455,1.312418,0.209909,5.994483,0.410027,0.397952,-0.470357,1.0,,,,,,,,,,,,,,0,lstm
2,2609,612.2129,472.405,1495,1,1,0,0,0.2978,2.019,goal,34.0,-0.030768,0.451411,-0.870813,0.871727,4.646088,1.284528,0.202281,5.993704,0.400734,0.392968,-0.521345,1.0,,,,,,,,,,,,,,0,lstm
3,4121,620.2948,521.7016,1512,1,1,0,0,0.2975,2.034,goal,53.9,0.002657,0.434853,-0.86894,0.878556,4.554599,1.315612,0.157991,5.992551,0.406052,0.39384,-0.49555,1.005019,,,,,,,,,,,,,,0,lstm
4,5268,346.2836,477.8471,1147,0,0,1,0,1.1505,2.005,collision,70.6,0.000969,0.445745,-0.86271,0.842601,4.405572,1.34998,0.07721,5.990408,0.409789,0.394279,-0.458169,1.0,0.022967,0.003336,1.934745,0.006742,0.026393,0.099389,0.010558,0.097002,3.7e-05,,,,,0,lstm
5,6445,356.4999,453.5777,1177,0,0,1,0,1.1301,2.002,collision,86.0,-0.058149,0.448975,-0.895078,0.866044,4.571179,1.26384,0.201807,5.995147,0.399734,0.38929,-0.429582,1.000545,,,,,,,,,,,,,,0,lstm
6,7922,609.2783,479.5278,1477,1,1,0,0,0.2986,2.036,goal,105.5,-0.022588,0.435936,-0.874405,0.870945,4.629306,1.294753,0.376472,5.994885,0.402146,0.391908,-0.489377,1.0,,,,,,,,,,,,,,0,lstm
7,9210,385.4975,466.0949,1288,0,0,1,0,0.9098,1.999,collision,122.8,-0.029404,0.448293,-0.889188,0.873041,4.349624,1.357332,0.210912,5.994841,0.396763,0.391264,-0.540104,1.001884,,,,,,,,,,,,,,0,lstm
8,9276,-35.0165,403.456,66,0,0,1,0,3.898,1.985,collision,124.9,-0.195843,0.410171,-0.804513,0.754121,4.339909,1.304641,0.484676,5.994078,0.240511,0.332789,-0.518859,1.001002,0.026618,0.005681,1.935018,0.006726,0.027918,0.073793,0.012221,0.056981,4.9e-05,,,,,0,lstm
9,10734,598.9192,425.1741,1458,1,1,0,0,0.2989,2.046,goal,144.1,-0.023649,0.437228,-0.863682,0.88294,4.755058,1.255087,0.254942,5.992519,0.401316,0.390224,-0.454769,1.0,,,,,,,,,,,,,,0,lstm
10,12254,622.3809,444.8948,1520,1,1,0,0,0.2992,2.041,goal,163.7,0.001935,0.438122,-0.884468,0.871469,4.647379,1.264256,0.228032,5.99574,0.401357,0.389374,-0.466773,1.010659,,,,,,,,,,,,,,0,lstm
