episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1319,358.3005,358.3005,1319,0,0,1,0,0.8955,2.012,collision,19.1,0.037264,0.432672,-0.880801,0.869703,4.163018,1.373611,0.209632,5.990209,0.366184,0.394754,-0.784144,1.0,,,,,,,,,,,,,,0,lstm
2,2686,372.9164,365.6085,1367,0,0,1,0,0.8962,1.96,collision,38.7,0.01569,0.456195,-0.873819,0.872984,4.137065,1.442285,0.093175,5.986603,0.353868,0.389838,-0.791162,1.0,,,,,,,,,,,,,,0,lstm
3,4039,368.9899,366.7356,1353,0,0,1,0,0.9204,2.01,collision,57.4,0.06556,0.421366,-0.860791,0.866559,4.121387,1.401194,0.120601,5.964893,0.367809,0.393345,-0.696375,1.001443,,,,,,,,,,,,,,0,lstm
4,5396,366.6798,366.7216,1357,0,0,1,0,0.9334,1.974,collision,78.0,0.05463,0.442934,-0.864684,0.854788,4.122615,1.439544,0.061795,5.990765,0.368186,0.393826,-0.715051,1.0,0.025024,0.005191,1.938936,0.006742,0.028714,0.053917,0.011475,0.049905,3.7e-05,,,,,0,lstm
5,6529,307.1402,354.8054,1133,0,0,1,0,1.4472,1.969,collision,93.5,-0.016944,0.451144,-0.886444,0.86458,4.2072,1.409176,0.188602,5.990668,0.375305,0.393577,-0.626381,1.0,,,,,,,,,,,,,,0,lstm
6,7864,366.9569,356.8306,1335,0,0,1,0,0.8915,2.008,collision,111.4,0.036481,0.428783,-0.877188,0.868808,4.173766,1.402531,0.227014,5.971265,0.365585,0.39318,-0.746799,1.0,,,,,,,,,,,,,,0,lstm
7,9277,381.2447,360.3183,1413,0,0,1,0,0.8837,1.97,collision,130.2,0.010836,0.448915,-0.885285,0.875046,4.127672,1.418935,0.207234,5.997368,0.369135,0.397077,-0.78735,1.0,,,,,,,,,,,,,,0,lstm
8,9345,-29.2777,311.6188,68,0,0,1,0,3.8762,1.889,collision,132.4,-0.382909,0.364457,-0.848328,0.644571,4.542843,1.202331,0.915605,5.925087,0.258052,0.346142,-0.509979,1.0,0.012775,0.007144,1.938916,0.006726,0.032801,0.080259,0.018405,0.067783,4.9e-05,,,,,0,lstm
9,10618,359.1125,316.8959,1273,0,0,1,0,0.9336,2.019,collision,149.6,0.01224,0.439898,-0.867103,0.87984,4.375019,1.391053,0.218751,5.986004,0.367615,0.390491,-0.632775,1.0,,,,,,,,,,,,,,0,lstm
10,11980,377.5536,322.9617,1362,0,0,1,0,0.9275,2.004,collision,167.6,0.052278,0.433126,-0.880816,0.86851,4.203359,1.410135,0.162452,5.98787,0.371735,0.395291,-0.673337,1.008244,,,,,,,,,,,,,,0,lstm
11,13309,356.1234,322.744,1329,0,0,1,0,0.9074,2.015,collision,184.5,0.034971,0.429116,-0.874535,0.872127,4.168915,1.405353,0.075619,5.971808,0.366145,0.3952,-0.764551,1.0,,,,,,,,,,,,,,0,lstm
12,14656,368.4835,322.3007,1347,0,0,1,0,0.9177,2.038,collision,203.9,0.039694,0.421103,-0.856647,0.88808,4.208302,1.365996,0.071962,5.981915,0.373653,0.397855,-0.717527,1.010524,0.00906,0.004409,1.939403,0.00671,0.032354,0.072616,0.006846,0.063006,6.1e-05,,,,,0,lstm
13,15963,350.4561,320.4473,1307,0,0,1,0,0.9282,2.012,collision,221.9,0.035317,0.428203,-0.860985,0.889849,4.208651,1.386222,0.092913,5.989928,0.365281,0.394522,-0.755264,1.0,,,,,,,,,,,,,,0,lstm
14,16014,-38.1606,279.9633,51,0,0,1,0,3.8557,2.013,collision,222.6,-0.216118,0.396822,-0.835597,0.809084,4.446233,1.341995,0.782605,5.893276,0.240963,0.352281,-0.715081,1.0,,,,,,,,,,,,,,0,lstm
15,17316,359.6744,285.2167,1302,0,0,1,0,0.9352,2.042,collision,240.2,0.018719,0.41555,-0.868134,0.878408,4.281035,1.365625,0.222245,5.968691,0.370639,0.39581,-0.716378,1.0,,,,,,,,,,,,,,0,lstm
16,18633,359.6862,284.4896,1317,0,0,1,0,0.9077,2.014,collision,259.4,0.051708,0.432972,-0.846148,0.873692,4.262022,1.370175,0.213429,5.995126,0.368416,0.394322,-0.738445,1.0,0.017454,0.004477,1.939923,0.006693,0.027678,0.064599,0.008883,0.045108,7.3e-05,,,,,0,lstm
17,18711,-30.6435,243.3008,78,0,0,1,0,3.8433,1.93,collision,260.5,0.073686,0.407556,-0.753891,0.802548,3.924116,1.569455,0.516176,5.939341,0.272743,0.377946,-0.653221,1.0,,,,,,,,,,,,,,0,lstm
