global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5396,4,-0.003377,0.004891,1.93903,0.006742,0.030835,0.051515,0.021083,0.040913,3.7e-05,,,,,lstm
5396,4,-0.003572,0.00636,1.938956,0.006742,0.030583,0.08666,0.022654,0.063381,3.7e-05,,,,,lstm
5396,4,0.101125,0.004772,1.938943,0.006742,0.023053,0.089432,0.01838,0.104157,3.7e-05,,,,,lstm
5396,4,-0.024487,0.006944,1.938956,0.006742,0.03017,0.043603,0.0222,0.054762,3.7e-05,,,,,lstm
5396,4,0.054736,0.003006,1.938967,0.006742,0.023092,0.032028,0.009635,0.030751,3.7e-05,,,,,lstm
5396,4,0.046557,0.005988,1.93897,0.006742,0.025554,0.077454,0.006237,0.087371,3.7e-05,,,,,lstm
5396,4,0.058456,0.003869,1.938963,0.006742,0.026247,0.07862,0.004508,0.055236,3.7e-05,,,,,lstm
5396,4,-0.031226,0.005832,1.938947,0.006742,0.034039,0.05031,0.008563,0.042474,3.7e-05,,,,,lstm
5396,4,0.051385,0.005193,1.938918,0.006742,0.026188,0.043879,0.004139,0.040891,3.7e-05,,,,,lstm
5396,4,0.089883,0.002435,1.938889,0.006742,0.02334,0.022441,0.005657,0.018636,3.7e-05,,,,,lstm
5396,4,-0.011218,0.0061,1.938861,0.006742,0.033444,0.03094,0.006761,0.029679,3.7e-05,,,,,lstm
5396,4,-0.02797,0.006906,1.938835,0.006742,0.038028,0.04012,0.007885,0.030603,3.7e-05,,,,,lstm
9345,8,0.085244,0.005268,1.938824,0.006726,0.024535,0.05039,0.014106,0.033201,4.9e-05,,,,,lstm
9345,8,-0.065788,0.009241,1.938826,0.006726,0.040685,0.076499,0.027339,0.058224,4.9e-05,,,,,lstm
9345,8,-0.079066,0.010293,1.938846,0.006726,0.041964,0.085572,0.031808,0.072907,4.9e-05,,,,,lstm
9345,8,0.108864,0.003879,1.938873,0.006726,0.022266,0.063429,0.006279,0.035831,4.9e-05,,,,,lstm
9345,8,0.040422,0.006353,1.938911,0.006726,0.032235,0.057128,0.017326,0.034851,4.9e-05,,,,,lstm
9345,8,-0.017025,0.008045,1.938959,0.006726,0.033041,0.084493,0.019539,0.10401,4.9e-05,,,,,lstm
9345,8,-0.055565,0.009257,1.939013,0.006726,0.039935,0.084453,0.022885,0.05296,4.9e-05,,,,,lstm
9345,8,0.085116,0.004816,1.93908,0.006726,0.027744,0.140107,0.007962,0.150284,4.9e-05,,,,,lstm
14656,12,-0.00378,0.005083,1.939137,0.00671,0.031641,0.082932,0.011468,0.089103,6.1e-05,,,,,lstm
14656,12,0.03634,0.003902,1.93919,0.00671,0.029788,0.050146,0.005675,0.039953,6.1e-05,,,,,lstm
14656,12,0.001789,0.004603,1.939236,0.00671,0.029278,0.073583,0.007595,0.069164,6.1e-05,,,,,lstm
14656,12,0.023447,0.004359,1.939287,0.00671,0.031094,0.080089,0.005059,0.056086,6.1e-05,,,,,lstm
14656,12,0.051629,0.003953,1.939337,0.00671,0.034832,0.062507,0.007444,0.060356,6.1e-05,,,,,lstm
14656,12,-0.066412,0.004896,1.939376,0.00671,0.036591,0.121309,0.005907,0.096015,6.1e-05,,,,,lstm
14656,12,-0.027939,0.006384,1.939425,0.00671,0.039952,0.058183,0.006494,0.038737,6.1e-05,,,,,lstm
14656,12,0.057216,0.002876,1.93948,0.00671,0.034756,0.077504,0.0105,0.086193,6.1e-05,,,,,lstm
14656,12,0.010115,0.002926,1.939529,0.00671,0.02371,0.049208,0.004384,0.055871,6.1e-05,,,,,lstm
14656,12,0.00887,0.003709,1.939574,0.00671,0.033017,0.066388,0.005259,0.050975,6.1e-05,,,,,lstm
14656,12,0.041057,0.002479,1.939617,0.00671,0.026125,0.027423,0.004525,0.009471,6.1e-05,,,,,lstm
14656,12,-0.023614,0.007742,1.939647,0.00671,0.037466,0.12212,0.007837,0.10415,6.1e-05,,,,,lstm
18633,16,0.0115,0.005729,1.939678,0.006693,0.029721,0.079535,0.012304,0.066296,7.3e-05,,,,,lstm
18633,16,0.02348,0.003508,1.939728,0.006693,0.024234,0.066119,0.0103,0.057615,7.3e-05,,,,,lstm
18633,16,0.062521,0.004741,1.93979,0.006693,0.02472,0.041195,0.007931,0.022198,7.3e-05,,,,,lstm
18633,16,-0.028276,0.004304,1.939862,0.006693,0.02959,0.063783,0.012503,0.043193,7.3e-05,,,,,lstm
18633,16,0.068539,0.003141,1.939942,0.006693,0.024823,0.053022,0.004707,0.023578,7.3e-05,,,,,lstm
18633,16,-0.035468,0.005747,1.940031,0.006693,0.030781,0.045164,0.011646,0.025441,7.3e-05,,,,,lstm
18633,16,-0.007754,0.004822,1.940125,0.006693,0.032218,0.057133,0.007858,0.041414,7.3e-05,,,,,lstm
18633,16,0.045086,0.003826,1.940225,0.006693,0.025334,0.110842,0.003819,0.081125,7.3e-05,,,,,lstm
22787,20,0.017832,0.004385,1.940328,0.006677,0.028069,0.084078,0.007261,0.084051,8.5e-05,,,,,lstm
22787,20,0.063481,0.003926,1.940423,0.006677,0.025123,0.061003,0.004142,0.040841,8.5e-05,,,,,lstm
22787,20,-0.742159,0.009012,1.940526,0.006677,0.078456,0.749442,0.046363,0.510942,8.5e-05,,,,,lstm
22787,20,0.104677,0.002873,1.940509,0.006677,0.024774,0.087516,0.007367,0.058297,8.5e-05,,,,,lstm
22787,20,-0.06228,0.00535,1.94049,0.006677,0.035757,0.098159,0.005873,0.064649,8.5e-05,,,,,lstm
22787,20,0.248136,0.000782,1.940467,0.006677,0.02036,0.196216,0.018402,0.174752,8.5e-05,,,,,lstm
22787,20,0.008676,0.005295,1.940449,0.006677,0.037433,0.167759,0.007174,0.115467,8.5e-05,,,,,lstm
22787,20,0.040298,0.00276,1.94043,0.006677,0.028734,0.143467,0.00936,0.11858,8.5e-05,,,,,lstm
22787,20,0.059929,0.000468,1.940405,0.006677,0.015616,0.06474,0.013064,0.046229,8.5e-05,,,,,lstm
22787,20,-0.056307,0.006104,1.940379,0.006677,0.037974,0.074704,0.006228,0.04267,8.5e-05,,,,,lstm
22787,20,0.113718,0.00182,1.940351,0.006677,0.023595,0.042491,0.011444,0.044475,8.5e-05,,,,,lstm
