episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1457,596.1315,596.1315,1457,1,1,0,0,0.299,2.042,goal,19.8,0.01243,0.444391,-0.879479,0.880434,4.811146,1.173845,0.286657,5.997268,0.407111,0.407021,-0.695391,1.0,,,,,,,,,,,,,,0,lstm
2,2952,608.2506,602.191,1495,1,1,0,0,0.2984,2.012,goal,39.2,-0.010281,0.460547,-0.871264,0.866593,4.824037,1.205391,0.137178,5.996531,0.402605,0.403932,-0.630255,1.0,,,,,,,,,,,,,,0,lstm
3,4472,618.3232,607.5684,1520,1,1,0,0,0.2983,2.021,goal,59.2,0.022794,0.448892,-0.878268,0.877889,4.763337,1.237857,0.206527,5.988973,0.409557,0.400968,-0.610464,1.003456,,,,,,,,,,,,,,0,lstm
4,5980,610.5899,608.3238,1508,1,1,0,0,0.2991,2.021,goal,80.7,0.015044,0.45356,-0.886393,0.864131,4.778669,1.242693,0.079463,5.998387,0.403751,0.398552,-0.56515,1.0,-0.005614,0.002064,1.96851,0.006742,0.022555,0.11094,0.009832,0.082873,3.7e-05,,,,,0,lstm
5,6377,77.7179,502.2026,397,0,0,1,0,3.069,1.96,collision,85.9,0.010834,0.485708,-0.879128,0.869192,4.482761,1.292966,0.617426,5.988921,0.368811,0.386581,-0.464958,1.0,,,,,,,,,,,,,,0,lstm
6,7884,598.1191,518.1887,1507,1,1,0,0,0.2982,2.05,goal,105.9,-0.006555,0.440449,-0.880525,0.855477,4.931414,1.16851,0.37516,5.994609,0.408632,0.392079,-0.491771,1.0,,,,,,,,,,,,,,0,lstm
7,9404,612.4793,531.6588,1520,1,1,0,0,0.2995,2.029,goal,126.2,-0.005096,0.45115,-0.888953,0.882913,4.79115,1.21429,0.330208,5.998417,0.410137,0.409715,-0.62452,1.000372,,,,,,,,,,,,,,0,lstm
8,9468,-33.0667,461.0681,64,0,0,1,0,3.8459,2.046,collision,129.3,-0.11726,0.380646,-0.869998,0.791782,4.367095,1.399112,0.393032,5.872238,0.237383,0.329842,-0.511755,1.0,0.015702,0.004701,1.968809,0.006726,0.03447,0.09939,0.021428,0.070431,4.9e-05,,,,,0,lstm
9,10934,601.5948,476.6822,1466,1,1,0,0,0.2982,2.025,goal,148.5,-0.010258,0.457853,-0.86689,0.887137,4.931157,1.125476,0.401254,5.995262,0.399549,0.402154,-0.653453,1.0,,,,,,,,,,,,,,0,lstm
10,12428,612.158,490.2298,1494,1,1,0,0,0.2988,2.059,goal,168.4,0.021301,0.434728,-0.871021,0.87655,4.855039,1.188558,0.363508,5.9942,0.40798,0.402566,-0.619983,1.009739,,,,,,,,,,,,,,0,lstm
11,13903,596.1716,490.2338,1475,1,1,0,0,0.2981,2.053,goal,187.7,0.002433,0.444076,-0.868327,0.873442,4.927241,1.12046,0.303353,5.99651,0.408846,0.392177,-0.464169,1.0,,,,,,,,,,,,,,0,lstm
12,15402,611.42,490.5507,1499,1,1,0,0,0.2988,2.062,goal,209.4,0.005001,0.43244,-0.873236,0.885932,4.859789,1.161531,0.153569,5.99469,0.405021,0.40415,-0.657377,1.010366,-0.01022,0.002383,1.969427,0.00671,0.025435,0.127795,0.010676,0.112358,6.1e-05,,,,,0,lstm
13,16863,597.0748,488.4259,1461,1,1,0,0,0.298,2.04,goal,229.0,0.001949,0.442823,-0.88871,0.891635,4.808297,1.224681,0.098029,5.996866,0.396959,0.393732,-0.527255,1.0,,,,,,,,,,,,,,0,lstm
