episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1568,-7.3858,-7.3858,1568,0,0,1,0,2.3489,1.863,collision,17.9,0.047857,0.432077,-0.832692,0.874399,3.162962,1.434072,0.136093,5.918557,0.424649,0.442878,-0.769028,1.0,,,,,,,,,,,,,,0,none
2,3024,154.4194,73.5168,1456,0,0,1,0,1.8696,1.884,collision,34.7,0.034901,0.422744,-0.8616,0.870227,3.154978,1.436476,0.138371,5.879525,0.434885,0.42954,-0.507432,1.0,,,,,,,,,,,,,,0,none
3,4393,-56.866,30.0558,1369,0,0,1,0,2.7116,1.871,collision,50.7,0.046686,0.429147,-0.862998,0.84157,3.168247,1.451381,0.118118,5.906464,0.415713,0.45082,-0.897767,1.0,,,,,,,,,,,,,,0,none
4,5859,-30.0994,15.017,1466,0,0,1,0,2.4072,1.871,collision,72.6,0.053823,0.426213,-0.868519,0.860475,3.159475,1.425017,0.077034,5.889627,0.423257,0.449966,-0.971097,1.0,-0.003823,0.005535,1.838251,0.004994,0.070953,0.048515,0.014883,0.0,3.7e-05,,,,,0,none
5,7276,252.6068,62.535,1417,0,0,1,0,1.5151,1.876,collision,87.2,0.032316,0.421479,-0.839126,0.861985,3.132566,1.435191,0.162377,5.832697,0.437494,0.423083,-0.466267,1.0,,,,,,,,,,,,,,0,none
6,8771,258.6154,95.215,1495,0,0,1,0,1.5328,1.868,collision,104.4,0.040496,0.430466,-0.873064,0.874336,3.161898,1.423603,0.178431,5.853057,0.436894,0.427254,-0.58531,1.00863,,,,,,,,,,,,,,0,none
7,10215,393.6328,137.8462,1444,0,0,1,0,0.7897,1.87,collision,120.8,0.050605,0.425403,-0.878082,0.852809,3.080431,1.388529,0.124712,5.860881,0.441463,0.436862,-0.588121,1.0,,,,,,,,,,,,,,0,none
8,11687,269.9222,154.3557,1472,0,0,1,0,1.475,1.889,collision,139.7,0.045814,0.423642,-0.852914,0.866341,3.191281,1.415179,0.107221,5.904629,0.437377,0.428524,-0.556347,1.003493,0.008915,0.004206,1.839128,0.004982,0.068863,0.048017,0.01915,0.0,4.9e-05,,,,,0,none
9,13286,153.8897,154.3039,1599,0,0,1,0,1.8072,1.847,collision,157.4,0.057285,0.427751,-0.877745,0.869547,3.105085,1.439385,0.108666,5.913482,0.43147,0.434106,-0.701595,1.00361,,,,,,,,,,,,,,0,none
10,14771,295.1056,168.3841,1485,0,0,1,0,1.3125,1.856,collision,174.1,0.05667,0.436959,-0.867101,0.878359,3.121252,1.40003,0.23205,5.851842,0.431871,0.427044,-0.682996,1.0,,,,,,,,,,,,,,0,none
11,16199,329.0182,202.0245,1428,0,0,1,0,1.2489,1.86,collision,190.2,0.035724,0.424353,-0.867017,0.859478,3.068192,1.438033,0.06641,5.896721,0.441562,0.422388,-0.448017,1.005974,,,,,,,,,,,,,,0,none
12,17717,180.9441,204.6769,1518,0,0,1,0,1.7503,1.862,collision,209.2,0.053211,0.427371,-0.882002,0.871832,3.10851,1.446354,0.102467,5.920351,0.432232,0.430067,-0.65568,1.0,0.00145,0.004431,1.839854,0.00497,0.067204,0.049365,0.007437,0.0,6.1e-05,,,,,0,none
13,19130,351.979,245.5614,1413,0,0,1,0,1.1093,1.848,collision,225.7,0.06037,0.42771,-0.868376,0.865686,3.067152,1.441976,0.122221,5.927564,0.434844,0.421396,-0.577842,1.0,,,,,,,,,,,,,,0,none
14,20627,171.1213,265.6835,1497,0,0,1,0,1.7834,1.856,collision,242.4,0.050837,0.430053,-0.869398,0.86471,3.120981,1.437485,0.041883,5.885252,0.433122,0.429343,-0.607404,1.0,,,,,,,,,,,,,,0,none
15,22275,-0.1913,240.4037,1648,0,0,1,0,2.1786,1.86,collision,261.5,0.046821,0.427629,-0.857225,0.882139,3.102771,1.43229,0.123474,5.929012,0.420823,0.440269,-0.792592,1.0,,,,,,,,,,,,,,0,none
16,24213,367.9626,251.3384,1938,0,0,1,0,0.3557,1.85,collision,285.0,0.050154,0.427036,-0.870551,0.878467,3.062564,1.440591,0.102394,5.8945,0.41984,0.427957,-0.844702,1.0,0.013129,0.005323,1.839599,0.004958,0.074072,0.067057,0.005499,0.0,7.3e-05,,,,,0,none
17,25849,-7.5494,211.2202,1636,0,0,1,0,2.2588,1.841,collision,303.7,0.042898,0.431232,-0.853466,0.860131,3.03556,1.409582,0.131152,5.938633,0.421833,0.441645,-0.778887,1.0,,,,,,,,,,,,,,0,none
18,27542,630.9659,247.3246,1693,1,1,0,0,0.2994,1.859,goal,323.1,0.040705,0.42074,-0.885019,0.862196,3.023372,1.423088,0.073961,5.929779,0.44739,0.441514,-0.665034,1.0,,,,,,,,,,,,,,0,none
19,28976,281.9311,260.1287,1434,0,0,1,0,1.3937,1.869,collision,340.8,0.036323,0.422373,-0.848283,0.874561,3.056529,1.401463,0.081837,5.923595,0.439588,0.425242,-0.494447,1.0,,,,,,,,,,,,,,0,none
20,30432,203.2706,250.9452,1456,0,0,1,0,1.6779,1.855,collision,359.8,0.030948,0.431953,-0.85775,0.873881,3.075659,1.410945,0.181946,5.945141,0.434154,0.426143,-0.535806,1.0,0.058093,0.003916,1.838612,0.004946,0.05558,0.069968,0.008861,0.0,8.5e-05,,,,,0,none
21,31843,394.3522,257.4786,1411,0,0,1,0,0.8772,1.868,collision,377.0,0.049235,0.423069,-0.856144,0.874926,3.090237,1.416916,0.143462,5.914688,0.441116,0.430714,-0.576939,1.0,,,,,,,,,,,,,,0,none
22,33241,362.4335,275.6276,1398,0,0,1,0,1.0581,1.856,collision,393.8,0.025127,0.429196,-0.86608,0.880529,3.103156,1.442828,0.136996,5.876436,0.438352,0.422727,-0.482869,1.0,,,,,,,,,,,,,,0,none
23,34732,390.6837,279.498,1491,0,0,1,0,0.898,1.866,collision,411.1,0.059723,0.425474,-0.868585,0.875859,3.141404,1.438466,0.117221,5.870331,0.436827,0.432974,-0.627811,1.002356,,,,,,,,,,,,,,0,none
24,36188,-20.5109,260.3348,1456,0,0,1,0,2.6246,1.882,collision,429.9,0.019237,0.426133,-0.865984,0.868388,3.152772,1.415201,0.184281,5.901015,0.424084,0.445096,-0.703006,1.0,0.009187,0.003902,1.837371,0.004934,0.060008,0.057009,0.006851,0.0,9.7e-05,,,,,0,none
25,37858,51.8667,265.5406,1670,0,0,1,0,1.8806,1.862,collision,450.2,0.058928,0.424438,-0.863869,0.879869,3.116207,1.457392,0.093988,5.867714,0.420573,0.43773,-0.827844,1.0,,,,,,,,,,,,,,0,none
26,38989,-209.5738,207.787,1131,0,0,1,0,3.2202,1.889,collision,463.8,0.063149,0.426602,-0.857608,0.883369,3.153476,1.399843,0.185378,5.901247,0.390795,0.46981,-0.999997,1.0,,,,,,,,,,,,,,0,none
27,40395,394.1825,247.9602,1406,0,0,1,0,0.9778,1.853,collision,480.8,0.041044,0.435414,-0.857759,0.872008,3.137582,1.434883,0.169933,5.895385,0.440236,0.421418,-0.384351,1.005876,,,,,,,,,,,,,,0,none
28,41852,263.3943,211.203,1457,0,0,1,0,1.4666,1.869,collision,499.3,0.040818,0.420924,-0.850171,0.881268,3.125633,1.42415,0.16628,5.886432,0.435825,0.427592,-0.56667,1.0,-0.00557,0.006256,1.837441,0.004922,0.07548,0.051078,0.012812,0.0,0.0001,,,,,0,none
29,43964,267.9043,209.8003,2112,0,0,1,0,0.3758,1.859,collision,524.1,0.052679,0.431766,-0.862332,0.86775,3.126223,1.426397,0.100005,5.980072,0.409651,0.438754,-0.960758,1.0,,,,,,,,,,,,,,0,none
30,45445,208.5103,210.3243,1481,0,0,1,0,1.6769,1.852,collision,541.0,0.051984,0.423901,-0.849111,0.860438,3.086553,1.440768,0.047988,5.916931,0.434301,0.427646,-0.583553,1.0,,,,,,,,,,,,,,0,none
31,46743,-107.3638,160.1527,1298,0,0,1,0,2.6321,1.873,collision,556.0,0.075137,0.418088,-0.815381,0.879688,3.084483,1.416209,0.083677,5.890502,0.406613,0.457834,-1.0,1.0,,,,,,,,,,,,,,0,none
32,48168,306.2027,154.5296,1425,0,0,1,0,1.2877,1.887,collision,574.6,0.044243,0.425566,-0.866045,0.878042,3.190873,1.409032,0.192297,5.877666,0.436136,0.424858,-0.556104,1.0,0.045064,0.005481,1.838513,0.00491,0.068281,0.068626,0.008418,0.0,0.0001,,,,,0,none
33,49594,446.2312,160.0844,1426,0,0,1,0,0.6291,1.881,collision,592.7,0.019219,0.418961,-0.856921,0.86608,3.140438,1.434002,0.071743,5.90601,0.452024,0.425942,-0.173744,1.0,,,,,,,,,,,,,,0,none
34,51205,158.4931,177.9848,1611,0,0,1,0,1.7989,1.86,collision,612.3,0.05363,0.425569,-0.857743,0.872021,3.075012,1.429869,0.194054,5.896673,0.41382,0.455179,-0.916704,1.0,,,,,,,,,,,,,,0,none
35,52663,253.3725,198.1353,1458,0,0,1,0,1.5037,1.868,collision,630.0,0.042641,0.430273,-0.871514,0.878781,3.116413,1.416387,0.166667,5.885491,0.435556,0.427346,-0.559889,1.0,,,,,,,,,,,,,,0,none
36,54047,305.8734,249.6801,1384,0,0,1,0,1.2745,1.884,collision,648.0,0.028191,0.42531,-0.86129,0.864879,3.155371,1.406334,0.089475,5.866347,0.439943,0.422114,-0.431782,1.0,0.014722,0.002941,1.839115,0.004898,0.045113,0.061794,0.004579,0.0,0.0001,,,,,0,none
37,55604,164.0159,226.6634,1557,0,0,1,0,1.9024,1.862,collision,667.1,0.004226,0.42546,-0.869151,0.867805,3.140077,1.445273,0.051416,5.837001,0.438824,0.431634,-0.604452,1.009523,,,,,,,,,,,,,,0,none
38,56947,414.5638,241.7803,1343,0,0,1,0,0.7984,1.868,collision,683.9,0.009437,0.424113,-0.85479,0.887041,3.135887,1.47218,0.191977,5.923536,0.453409,0.426147,-0.286844,1.0,,,,,,,,,,,,,,0,none
39,58311,376.4292,252.6328,1364,0,0,1,0,0.9135,1.87,collision,701.0,0.033043,0.434576,-0.850134,0.882764,3.115878,1.41906,0.092404,5.945986,0.4353,0.436772,-0.648865,1.0,,,,,,,,,,,,,,0,none
40,59911,654.9513,297.2769,1600,1,1,0,0,0.2988,1.846,goal,723.6,0.02328,0.431825,-0.872189,0.877695,3.075823,1.430558,0.144341,5.926027,0.450825,0.434644,-0.472989,1.0,0.00191,0.003546,1.839007,0.004886,0.047559,0.049592,0.012149,0.0,0.0001,,,,,0,none
41,61444,-22.2049,305.7928,1533,0,0,1,0,2.4923,1.856,collision,742.6,0.006748,0.428754,-0.859568,0.872505,3.082621,1.461436,0.081702,5.899204,0.424876,0.444177,-0.698999,1.0,,,,,,,,,,,,,,0,none
42,63119,5.8221,275.7548,1675,0,0,1,0,2.4752,1.884,collision,763.8,0.009206,0.420065,-0.868629,0.86131,3.18597,1.438166,0.097645,5.84372,0.418678,0.434377,-0.700233,1.012153,,,,,,,,,,,,,,0,none
43,64646,643.9358,295.5252,1527,1,1,0,0,0.2984,1.89,goal,782.9,0.009718,0.420639,-0.876913,0.868557,3.126406,1.398445,0.075955,5.925283,0.453698,0.430782,-0.275122,1.0,,,,,,,,,,,,,,0,none
44,66289,21.8604,281.862,1643,0,0,1,0,2.3978,1.885,collision,805.6,0.00228,0.429451,-0.83998,0.870489,3.15894,1.397177,0.193707,5.933598,0.403672,0.452671,-1.0,1.0,-0.035423,0.004206,1.838775,0.004874,0.056313,0.071598,0.013078,0.0,0.0001,,,,,0,none
