episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1011,287.3156,287.3156,1011,0,0,1,0,1.3535,2.103,collision,12.8,-0.03127,0.415866,-0.843594,0.847641,5.150756,0.902378,0.55022,5.992027,0.424862,0.399984,-0.438887,1.0,,,,,,,,,,,,,,0,none
2,2427,588.5272,437.9214,1416,1,1,0,0,0.2976,2.084,goal,30.1,-0.020194,0.433517,-0.863343,0.871513,5.136879,0.87,0.944483,5.985934,0.425616,0.399252,-0.41239,1.0,,,,,,,,,,,,,,0,none
3,3861,597.0165,490.9531,1434,1,1,0,0,0.2985,2.095,goal,48.6,-0.01501,0.427117,-0.874766,0.849398,5.097478,0.898242,0.799456,5.989116,0.40704,0.399022,-0.465153,1.0,,,,,,,,,,,,,,0,none
4,5265,587.2984,515.0394,1404,1,1,0,0,0.298,2.098,goal,68.5,-0.017936,0.426773,-0.874863,0.849678,5.085117,0.895564,1.108637,5.988113,0.40751,0.399136,-0.51241,1.0,0.03667,0.001334,1.810832,0.004994,0.017348,0.082342,0.004966,0.0,3.7e-05,,,,,0,none
5,6701,592.2387,530.4793,1436,1,1,0,0,0.298,2.102,goal,86.9,-0.009276,0.422454,-0.855806,0.855038,5.098608,0.887945,0.584178,5.98876,0.426223,0.400292,-0.452103,1.0,,,,,,,,,,,,,,0,none
6,8160,611.5074,543.984,1459,1,1,0,0,0.2971,2.077,goal,105.8,-0.020157,0.434568,-0.834707,0.863882,5.079204,0.924037,0.783795,5.984012,0.410917,0.400766,-0.446016,1.00774,,,,,,,,,,,,,,0,none
7,9557,588.2209,550.3035,1397,1,1,0,0,0.2981,2.091,goal,122.7,0.015141,0.427388,-0.877964,0.835805,5.049884,0.902409,0.698379,5.98385,0.407662,0.399111,-0.525171,1.0,,,,,,,,,,,,,,0,none
8,11009,603.4333,556.9448,1452,1,1,0,0,0.298,2.094,goal,141.6,-0.001036,0.426512,-0.848453,0.858011,5.060561,0.922213,0.686005,5.984437,0.404937,0.397787,-0.506498,1.00426,0.00107,0.000245,1.811442,0.004982,0.011962,0.129508,0.005434,0.0,4.9e-05,,,,,0,none
9,12454,606.2144,562.4192,1445,1,1,0,0,0.2981,2.088,goal,160.4,-0.005257,0.427779,-0.87661,0.853014,5.031273,0.909206,1.180007,5.988608,0.409294,0.399935,-0.466972,1.003196,,,,,,,,,,,,,,0,none
10,13874,597.5381,565.9311,1420,1,1,0,0,0.2981,2.084,goal,178.4,-0.012859,0.429533,-0.861532,0.857338,5.028981,0.947877,0.5106,5.991599,0.408893,0.40019,-0.436899,1.0,,,,,,,,,,,,,,0,none
11,15341,609.3319,598.1327,1467,1,1,0,0,0.2984,2.079,goal,196.2,0.002299,0.435856,-0.870389,0.877145,4.977823,0.972534,0.755049,5.988798,0.404273,0.397611,-0.530862,1.006593,,,,,,,,,,,,,,0,none
12,16755,594.5313,598.7331,1414,1,1,0,0,0.2989,2.105,goal,214.9,0.002046,0.420896,-0.891848,0.864837,5.00772,0.944918,0.306526,5.98638,0.411403,0.401341,-0.44259,1.0,-0.004776,0.000188,1.811934,0.00497,0.010977,0.142422,0.006268,0.0,6.1e-05,,,,,0,none
