episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1472,595.2526,595.2526,1472,1,1,0,0,0.2976,2.072,goal,17.8,0.002301,0.441585,-0.886979,0.866369,5.136195,0.903647,0.680195,5.994086,0.391643,0.404619,-0.626582,1.0,,,,,,,,,,,,,,0,none
2,1498,-42.7279,276.2624,26,0,0,1,0,3.8488,1.46,collision,18.2,-0.751366,0.125608,-0.885371,-0.339585,4.637896,1.171157,1.386008,5.930114,0.254718,0.354586,-0.385124,1.0,,,,,,,,,,,,,,0,none
3,2968,595.2843,382.603,1470,1,1,0,0,0.299,2.094,goal,36.1,0.007424,0.430847,-0.888277,0.871169,5.148475,0.87239,0.901998,5.988912,0.393237,0.404846,-0.62386,1.0,,,,,,,,,,,,,,0,none
4,4430,593.9938,435.4507,1462,1,1,0,0,0.2988,2.068,goal,55.3,-0.007893,0.445606,-0.891867,0.858922,5.14113,0.877429,0.80316,5.992379,0.390254,0.404128,-0.598319,1.0,0.031005,0.000717,1.770291,0.004994,0.014417,0.099751,0.005748,0.0,3.7e-05,,,,,0,none
5,5912,592.0114,466.7628,1482,1,1,0,0,0.2994,2.079,goal,73.5,0.004663,0.437357,-0.884956,0.858627,5.139732,0.874122,0.496374,5.988173,0.387779,0.402865,-0.637121,1.0,,,,,,,,,,,,,,0,none
6,7397,604.3992,489.7022,1485,1,1,0,0,0.2989,2.096,goal,92.2,0.022626,0.425208,-0.85358,0.856926,5.180771,0.852432,1.028673,5.982553,0.395733,0.404983,-0.601872,1.009844,,,,,,,,,,,,,,0,none
7,8847,587.4583,503.6674,1450,1,1,0,0,0.2978,2.078,goal,109.4,0.031276,0.436448,-0.872631,0.866822,5.202747,0.832117,0.779417,5.986006,0.395583,0.405424,-0.630243,1.0,,,,,,,,,,,,,,0,none
8,9535,162.1247,460.9745,688,0,0,1,0,2.3372,2.107,collision,118.7,-0.035593,0.415532,-0.866482,0.848191,5.06314,0.914778,0.832058,5.985655,0.391321,0.401551,-0.640966,1.002333,0.036174,0.001241,1.770249,0.004982,0.01516,0.095968,0.004837,0.0,4.9e-05,,,,,0,none
9,11020,602.4405,476.693,1485,1,1,0,0,0.2979,2.09,goal,136.5,0.016945,0.430284,-0.86586,0.861542,5.164886,0.872909,0.860616,5.988475,0.391976,0.403734,-0.642437,1.004115,,,,,,,,,,,,,,0,none
10,12465,591.6658,488.1903,1445,1,1,0,0,0.2976,2.107,goal,154.7,0.017385,0.421224,-0.870991,0.854815,5.174576,0.834125,1.121783,5.990526,0.395299,0.405388,-0.599378,1.0,,,,,,,,,,,,,,0,none
