episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1433,596.4656,596.4656,1433,1,1,0,0,0.2977,2.093,goal,17.9,-0.044002,0.424487,-0.882311,0.845666,5.258508,0.822591,0.775629,5.995665,0.398112,0.387174,-0.438886,1.0,,,,,,,,,,,,,,0,none
2,1456,-44.3886,276.0385,23,0,0,1,0,3.8907,1.607,collision,18.3,-0.662489,0.171635,-0.863583,-0.192174,4.801994,0.843942,2.483226,5.921,0.258196,0.352455,-0.385111,1.0,,,,,,,,,,,,,,0,none
3,2890,598.9025,383.6598,1434,1,1,0,0,0.2981,2.107,goal,36.3,-0.022417,0.423282,-0.880067,0.85461,5.292625,0.772829,0.875461,5.992303,0.403569,0.390689,-0.442237,1.0,,,,,,,,,,,,,,0,none
4,4303,592.9983,435.9944,1413,1,1,0,0,0.2984,2.094,goal,55.6,-0.039483,0.426651,-0.885394,0.833935,5.270754,0.833394,0.414089,5.993029,0.399922,0.388289,-0.512419,1.0,0.070845,0.000601,1.75778,0.004994,0.0131,0.12453,0.007681,0.0,3.7e-05,,,,,0,none
5,5741,598.725,468.5406,1438,1,1,0,0,0.2983,2.104,goal,74.1,-0.028249,0.423501,-0.876409,0.860865,5.251843,0.826352,0.692794,5.993734,0.400118,0.388043,-0.3641,1.0,,,,,,,,,,,,,,0,none
6,7166,598.1154,490.1364,1425,1,1,0,0,0.2995,2.142,goal,92.4,-0.019035,0.399727,-0.864236,0.843484,5.296238,0.75741,0.92296,5.987508,0.403507,0.38904,-0.414122,1.00637,,,,,,,,,,,,,,0,none
7,8566,588.2348,504.1504,1400,1,1,0,0,0.2979,2.105,goal,110.4,-0.00421,0.421507,-0.85071,0.864028,5.3028,0.793013,0.992921,5.990409,0.403949,0.389908,-0.458459,1.0,,,,,,,,,,,,,,0,none
8,10006,600.1864,516.1549,1440,1,1,0,0,0.298,2.126,goal,128.9,-0.016691,0.407532,-0.87679,0.851236,5.280389,0.763962,0.805383,5.991018,0.404807,0.389343,-0.375751,1.005337,-0.01727,0.000126,1.758075,0.004982,0.008813,0.117161,0.007713,0.0,4.9e-05,,,,,0,none
9,11453,602.3983,525.7375,1447,1,1,0,0,0.2985,2.116,goal,147.6,-0.020151,0.416449,-0.860604,0.858349,5.317808,0.778094,0.949263,5.994454,0.405533,0.388986,-0.354975,1.002572,,,,,,,,,,,,,,0,none
10,12861,590.7888,532.2426,1408,1,1,0,0,0.2993,2.131,goal,165.2,-0.00614,0.403803,-0.845473,0.836441,5.294266,0.781519,0.928727,5.992313,0.403329,0.389585,-0.413967,1.0,,,,,,,,,,,,,,0,none
11,14319,606.4171,533.2378,1458,1,1,0,0,0.2997,2.109,goal,183.8,-0.015908,0.419524,-0.866176,0.851041,5.314541,0.765623,1.193608,5.994573,0.403568,0.388304,-0.385939,1.007459,,,,,,,,,,,,,,0,none
12,15744,597.3754,597.4142,1425,1,1,0,0,0.2989,2.109,goal,204.9,-0.017345,0.41895,-0.879743,0.838109,5.265604,0.820928,0.720948,5.993167,0.403532,0.389417,-0.39791,1.0,-0.024001,0.000123,1.757864,0.00497,0.008112,0.146177,0.004815,0.0,6.1e-05,,,,,0,none
13,17146,589.7484,596.4988,1402,1,1,0,0,0.2992,2.134,goal,222.6,-0.008169,0.405335,-0.879575,0.857634,5.313675,0.764412,0.484926,5.994221,0.404447,0.389939,-0.385419,1.0,,,,,,,,,,,,,,0,none
14,18566,593.0085,596.4998,1420,1,1,0,0,0.2983,2.109,goal,240.3,-0.025934,0.418728,-0.873513,0.846042,5.252852,0.820606,0.666335,5.995872,0.398747,0.389201,-0.41144,1.0,,,,,,,,,,,,,,0,none
15,19999,599.228,596.5501,1433,1,1,0,0,0.2994,2.101,goal,257.9,-0.036972,0.424667,-0.887209,0.841713,5.28645,0.787209,0.511545,5.992573,0.396012,0.387216,-0.428553,1.0,,,,,,,,,,,,,,0,none
