episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1426,594.1947,594.1947,1426,1,1,0,0,0.2992,2.084,goal,18.2,-0.019194,0.422215,-0.873635,0.873946,4.891573,1.121935,0.201466,5.990242,0.399704,0.396345,-0.535222,1.0,,,,,,,,,,,,,,0,none
2,1450,-43.5823,275.3062,24,0,0,1,0,3.8455,1.501,collision,18.6,-0.623799,0.203934,-0.84681,-0.050021,3.072839,1.428131,0.3645,5.608884,0.256972,0.353706,-0.385182,1.0,,,,,,,,,,,,,,0,none
3,2893,598.7854,383.1326,1443,1,1,0,0,0.2999,2.09,goal,36.7,-0.006013,0.424191,-0.875769,0.860195,4.898067,1.098764,0.404339,5.991023,0.39779,0.396477,-0.533958,1.0,,,,,,,,,,,,,,0,none
4,4312,590.9321,435.0825,1419,1,1,0,0,0.2987,2.084,goal,55.4,-0.026994,0.42117,-0.885137,0.835008,4.916664,1.131659,0.064388,5.994901,0.402209,0.400988,-0.585612,1.0,-0.021137,0.001827,1.753937,0.004994,0.025689,0.212659,0.013608,0.0,3.7e-05,,,,,0,none
5,5743,594.7662,467.0192,1431,1,1,0,0,0.2987,2.097,goal,73.8,-0.010231,0.420006,-0.870579,0.859576,4.910548,1.075267,0.383649,5.985246,0.400158,0.395659,-0.503328,1.0,,,,,,,,,,,,,,0,none
6,7163,595.0623,488.3597,1420,1,1,0,0,0.2995,2.145,goal,92.5,0.002082,0.392724,-0.849268,0.859299,5.001802,0.978179,0.879174,5.983492,0.408114,0.404224,-0.576786,1.008615,,,,,,,,,,,,,,0,none
7,7850,173.6942,443.4075,687,0,0,1,0,2.1706,2.091,collision,101.6,0.042523,0.418824,-0.831567,0.829049,4.951949,1.03216,0.807539,5.981102,0.395897,0.395693,-0.568178,1.0,,,,,,,,,,,,,,0,none
8,9301,600.9028,463.0944,1451,1,1,0,0,0.2988,2.102,goal,121.4,0.00937,0.415351,-0.876673,0.882325,4.959521,1.009322,0.530726,5.98703,0.401814,0.396146,-0.560562,1.003428,0.020702,0.001943,1.753479,0.004982,0.024714,0.122524,0.005505,0.0,4.9e-05,,,,,0,none
9,10737,598.9853,478.1934,1436,1,1,0,0,0.2989,2.118,goal,140.4,-0.011657,0.408722,-0.882597,0.846342,4.944592,1.021219,0.874331,5.989332,0.404014,0.396309,-0.546105,1.003599,,,,,,,,,,,,,,0,none
10,12156,592.1718,489.5912,1419,1,1,0,0,0.2991,2.116,goal,158.4,0.003002,0.406195,-0.862806,0.864605,4.965736,1.011183,0.310483,5.991015,0.400025,0.395937,-0.569475,1.0,,,,,,,,,,,,,,0,none
11,13607,603.7115,490.5429,1451,1,1,0,0,0.2987,2.098,goal,176.8,0.004802,0.415425,-0.848749,0.851467,4.967686,1.023378,0.584306,5.994663,0.403292,0.396064,-0.526693,1.005962,,,,,,,,,,,,,,0,none
12,15038,596.9276,554.5939,1431,1,1,0,0,0.2979,2.095,goal,196.2,-0.007028,0.420069,-0.869497,0.870419,4.903873,1.060952,0.675689,5.990241,0.401619,0.394685,-0.520237,1.0,-0.000192,0.00086,1.753116,0.00497,0.023154,0.143534,0.005627,0.0,6.1e-05,,,,,0,none
13,16443,585.2813,553.2435,1405,1,1,0,0,0.3,2.129,goal,214.4,0.00957,0.401651,-0.838053,0.856457,4.972319,1.011833,0.331505,5.987551,0.404261,0.398765,-0.522491,1.0,,,,,,,,,,,,,,0,none
14,17869,587.6724,552.9175,1426,1,1,0,0,0.2979,2.103,goal,232.2,-0.015553,0.41189,-0.886015,0.851341,4.938941,1.074255,0.206065,5.993773,0.405581,0.403148,-0.589745,1.0,,,,,,,,,,,,,,0,none
15,19311,595.3306,552.974,1442,1,1,0,0,0.2996,2.099,goal,251.0,-0.014756,0.419185,-0.893586,0.832285,4.870876,1.100738,0.176522,5.991905,0.397828,0.394825,-0.563508,1.0,,,,,,,,,,,,,,0,none
16,20736,591.8316,552.6509,1425,1,1,0,0,0.2976,2.11,goal,271.8,0.022705,0.413873,-0.85851,0.864484,5.031639,0.975462,0.226793,5.993965,0.404357,0.397684,-0.602275,1.0,-0.007459,0.000942,1.752939,0.004958,0.021658,0.215622,0.002947,0.0,7.3e-05,,,,,0,none
17,22174,598.4275,595.1242,1438,1,1,0,0,0.298,2.099,goal,290.5,-0.034126,0.412478,-0.872097,0.865651,4.895,1.130197,0.173448,5.988938,0.397193,0.394204,-0.535614,1.0,,,,,,,,,,,,,,0,none
18,23604,588.2524,593.8592,1430,1,1,0,0,0.299,2.118,goal,308.3,0.033907,0.407156,-0.838807,0.862987,5.047199,0.990512,0.367067,5.98952,0.4076,0.40555,-0.616196,1.0,,,,,,,,,,,,,,0,none
19,25025,593.6477,593.3254,1421,1,1,0,0,0.2989,2.116,goal,326.2,-0.004768,0.406038,-0.856581,0.849828,5.027241,0.982836,0.730282,5.993566,0.407275,0.402986,-0.599008,1.0,,,,,,,,,,,,,,0,none
20,26436,588.7606,592.9843,1411,1,1,0,0,0.2976,2.096,goal,345.6,-0.011923,0.418596,-0.881357,0.846658,4.867594,1.08132,0.2648,5.986935,0.396686,0.396307,-0.536788,1.0,-0.010754,0.000792,1.753543,0.004946,0.020026,0.198268,0.004691,0.0,8.5e-05,,,,,0,none
21,27825,582.9905,590.9122,1389,1,1,0,0,0.2978,2.146,goal,363.7,0.025707,0.391532,-0.848319,0.859443,5.096637,0.921583,0.376897,5.997018,0.410072,0.405366,-0.572659,1.0,,,,,,,,,,,,,,0,none
22,29248,591.5377,590.3732,1423,1,1,0,0,0.2995,2.11,goal,381.8,-0.000285,0.409085,-0.859416,0.838121,4.986807,1.020809,0.33242,5.992992,0.396738,0.395709,-0.548598,1.0,,,,,,,,,,,,,,0,none
23,30680,593.3969,591.1848,1432,1,1,0,0,0.2995,2.121,goal,400.4,0.023629,0.406631,-0.845911,0.843662,5.073123,0.929428,1.091374,5.995677,0.411004,0.406165,-0.604404,1.002353,,,,,,,,,,,,,,0,none
24,30744,-35.3896,528.8786,64,0,0,1,0,3.8373,1.927,collision,402.1,-0.247713,0.350207,-0.813442,0.580249,3.295071,1.456741,0.502105,5.790376,0.23788,0.340994,-0.641183,1.0,-0.041838,0.000725,1.754222,0.004934,0.016636,0.322256,0.004592,0.0,9.7e-05,,,,,0,none
25,32148,585.1555,527.8611,1404,1,1,0,0,0.2997,2.134,goal,419.8,0.000141,0.400095,-0.851551,0.866251,5.043233,0.968042,0.756896,5.992321,0.407524,0.404316,-0.534545,1.0,,,,,,,,,,,,,,0,none
26,32235,-32.6885,465.4091,87,0,0,1,0,3.8271,2.017,collision,421.0,-0.075622,0.402926,-0.788843,0.743904,3.851412,1.38593,0.61109,5.90383,0.268848,0.369765,-0.674902,1.0,,,,,,,,,,,,,,0,none
27,33681,601.1335,465.6797,1446,1,1,0,0,0.2983,2.109,goal,439.4,-0.002118,0.410468,-0.84615,0.878337,4.945932,1.067134,0.609124,5.98802,0.404024,0.398105,-0.564338,1.005344,,,,,,,,,,,,,,0,none
28,35072,588.1275,465.6672,1391,1,1,0,0,0.299,2.131,goal,458.0,-0.000885,0.400553,-0.853306,0.838023,4.980579,0.998764,0.366054,5.992255,0.400525,0.394167,-0.512547,1.0,0.023466,0.000818,1.754807,0.004922,0.0205,0.282107,0.004171,0.0,0.0001,,,,,0,none
29,36478,584.6481,464.7672,1406,1,1,0,0,0.297,2.114,goal,475.6,0.024112,0.411341,-0.845645,0.867762,5.026037,0.963492,0.948026,5.990663,0.405283,0.40333,-0.638188,1.0,,,,,,,,,,,,,,0,none
30,37126,163.0355,422.1947,648,0,0,1,0,2.3197,2.079,collision,483.8,0.024466,0.422096,-0.87781,0.863311,4.745566,1.250521,0.369878,5.984503,0.379201,0.389706,-0.50811,1.0,,,,,,,,,,,,,,0,none
31,38544,589.7721,422.8729,1418,1,1,0,0,0.298,2.085,goal,501.6,-0.032993,0.41665,-0.868986,0.857381,4.775194,1.19177,0.160975,5.988176,0.391884,0.393141,-0.486735,1.0,,,,,,,,,,,,,,0,none
32,39962,596.6344,423.3825,1418,1,1,0,0,0.2994,2.105,goal,522.1,0.013952,0.413158,-0.851537,0.884024,4.944353,1.028017,0.646692,5.986176,0.397821,0.394782,-0.546851,1.0,0.026835,0.001379,1.755545,0.00491,0.022706,0.140073,0.008896,0.0,0.0001,,,,,0,none
33,41395,598.3896,423.8818,1433,1,1,0,0,0.2987,2.098,goal,539.6,-0.010983,0.414872,-0.871956,0.868785,4.866775,1.099301,0.326218,5.986928,0.393716,0.392644,-0.539947,1.0,,,,,,,,,,,,,,0,none
34,42822,590.9533,486.5161,1427,1,1,0,0,0.2984,2.116,goal,557.9,0.03272,0.405409,-0.828447,0.827604,5.018994,0.977269,0.713443,5.999166,0.408366,0.404801,-0.712424,1.0,,,,,,,,,,,,,,0,none
35,44230,590.0391,487.0045,1408,1,1,0,0,0.2993,2.114,goal,576.8,-0.002592,0.404332,-0.84165,0.850768,4.918034,1.047078,0.353398,5.982842,0.397917,0.393198,-0.513094,1.0,,,,,,,,,,,,,,0,none
36,45638,591.0713,549.3805,1408,1,1,0,0,0.2996,2.105,goal,597.4,-0.009559,0.407675,-0.844719,0.860342,4.921521,1.085501,0.298808,5.993225,0.403571,0.401309,-0.614335,1.0,-0.003719,0.000532,1.75579,0.004898,0.016192,0.158906,0.00577,0.0,0.0001,,,,,0,none
37,45733,-26.1084,486.6563,95,0,0,1,0,3.845,1.845,collision,598.6,-0.24814,0.427993,-0.833501,0.857111,3.501037,1.491077,0.3944,5.772745,0.267095,0.348581,-0.567081,1.009536,,,,,,,,,,,,,,0,none
38,47121,587.8547,486.629,1388,1,1,0,0,0.2977,2.123,goal,616.9,-0.006823,0.403178,-0.850129,0.860524,4.927865,1.036193,0.223993,5.986285,0.398807,0.393911,-0.554209,1.0,,,,,,,,,,,,,,0,none
39,48521,582.8545,486.4496,1400,1,1,0,0,0.2973,2.114,goal,635.3,0.01827,0.407946,-0.861531,0.872594,5.033098,0.990613,0.763633,5.994255,0.400822,0.396775,-0.646083,1.0,,,,,,,,,,,,,,0,none
