episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,980,284.9722,284.9722,980,0,0,1,0,1.4397,2.026,collision,11.7,0.007957,0.428174,-0.859509,0.863238,3.914855,1.295735,0.323625,5.97204,0.411414,0.402022,-0.445448,1.0,,,,,,,,,,,,,,0,none
2,1975,285.5388,285.2555,995,0,0,1,0,1.4542,2.022,collision,23.5,-0.005956,0.427475,-0.884092,0.850517,3.916765,1.299757,0.436412,5.93625,0.431452,0.410489,-0.369788,1.0,,,,,,,,,,,,,,0,none
3,3022,302.226,290.9123,1047,0,0,1,0,1.4618,1.986,collision,36.0,0.020573,0.442093,-0.853573,0.861419,3.93223,1.369472,0.193808,5.960472,0.429865,0.410839,-0.427887,1.003434,,,,,,,,,,,,,,0,none
4,3351,57.3641,232.5253,329,0,0,1,0,3.1465,2.042,collision,41.1,0.121732,0.413672,-0.850863,0.874731,4.088644,1.255364,0.275555,5.891921,0.389593,0.399588,-0.566773,1.0,0.009929,0.004413,1.815755,0.004994,0.032339,0.085806,0.016111,0.0,3.7e-05,,,,,0,none
5,4380,299.007,245.8216,1029,0,0,1,0,1.4602,1.999,collision,52.7,0.006313,0.429215,-0.863365,0.866459,3.88993,1.348214,0.268642,5.9106,0.430195,0.408928,-0.352384,1.0,,,,,,,,,,,,,,0,none
6,4695,57.2151,214.3872,315,0,0,1,0,3.1472,1.989,collision,56.5,0.024389,0.434326,-0.823695,0.860439,3.969867,1.345237,0.12213,5.904125,0.387228,0.395957,-0.164362,1.0,,,,,,,,,,,,,,0,none
7,5721,296.1914,226.0735,1026,0,0,1,0,1.4656,2.007,collision,69.0,-0.025643,0.436484,-0.882422,0.82681,4.003376,1.301125,0.241703,5.977748,0.436604,0.41344,-0.386735,1.000119,,,,,,,,,,,,,,0,none
8,7235,614.9097,274.678,1514,1,1,0,0,0.2995,2.007,goal,87.6,-0.028409,0.427111,-0.888967,0.851114,3.934477,1.341477,0.263865,5.976918,0.432298,0.408124,-0.510209,1.0,0.018951,0.002766,1.816027,0.004982,0.028458,0.04875,0.005366,0.0,4.9e-05,,,,,0,none
9,8220,275.8439,274.8076,985,0,0,1,0,1.4633,2.03,collision,99.1,-0.036222,0.422525,-0.870416,0.850159,3.992479,1.327883,0.287263,5.98492,0.435656,0.414676,-0.478259,1.0,,,,,,,,,,,,,,0,none
10,9266,306.3634,277.9631,1046,0,0,1,0,1.4582,1.994,collision,111.5,0.018853,0.435919,-0.886845,0.87113,3.907906,1.327118,0.300859,5.967734,0.42525,0.408799,-0.345991,1.009712,,,,,,,,,,,,,,0,none
