global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5876,4,-0.00763,0.0002,1.770981,0.004994,0.011295,0.090716,0.002481,0.0,3.7e-05,,,,,none
5876,4,-0.040054,0.000209,1.771055,0.004994,0.012699,0.044534,0.002412,0.0,3.7e-05,,,,,none
5876,4,0.0354,0.000168,1.771128,0.004994,0.01284,0.230411,0.003062,0.0,3.7e-05,,,,,none
5876,4,-0.087099,0.000141,1.771166,0.004994,0.011141,0.099728,0.003561,0.0,3.7e-05,,,,,none
5876,4,0.083635,0.000288,1.771214,0.004994,0.013253,0.102979,0.00424,0.0,3.7e-05,,,,,none
5876,4,-0.010973,0.000143,1.771264,0.004994,0.011101,0.102738,0.002194,0.0,3.7e-05,,,,,none
5876,4,0.053849,0.00023,1.771319,0.004994,0.012597,0.131646,0.00592,0.0,3.7e-05,,,,,none
5876,4,-0.078312,0.000125,1.771371,0.004994,0.00978,0.028491,0.003139,0.0,3.7e-05,,,,,none
5876,4,0.011255,0.000246,1.771425,0.004994,0.011203,0.159355,0.006739,0.0,3.7e-05,,,,,none
5876,4,0.039491,0.000237,1.771472,0.004994,0.011743,0.129743,0.007115,0.0,3.7e-05,,,,,none
5876,4,-0.05686,0.000221,1.771502,0.004994,0.011387,0.115525,0.003805,0.0,3.7e-05,,,,,none
5876,4,0.00211,0.000128,1.771534,0.004994,0.010436,0.052253,0.003481,0.0,3.7e-05,,,,,none
11770,8,-0.065288,0.000138,1.771566,0.004982,0.010339,0.055037,0.000658,0.0,4.9e-05,,,,,none
11770,8,0.110038,0.000375,1.771609,0.004982,0.014105,0.102802,0.003832,0.0,4.9e-05,,,,,none
11770,8,-0.075461,0.000215,1.771628,0.004982,0.013648,0.138933,0.006514,0.0,4.9e-05,,,,,none
11770,8,-0.047329,0.000192,1.77164,0.004982,0.013235,0.058469,0.007974,0.0,4.9e-05,,,,,none
11770,8,0.008332,0.000251,1.771648,0.004982,0.015705,0.161623,0.009287,0.0,4.9e-05,,,,,none
11770,8,0.018686,0.000265,1.771649,0.004982,0.015947,0.130067,0.008792,0.0,4.9e-05,,,,,none
11770,8,0.058873,0.000253,1.771648,0.004982,0.015991,0.099328,0.009577,0.0,4.9e-05,,,,,none
11770,8,0.020887,0.000245,1.771643,0.004982,0.016547,0.105726,0.011984,0.0,4.9e-05,,,,,none
11770,8,-0.113083,0.000192,1.771636,0.004982,0.015048,0.04689,0.015008,0.0,4.9e-05,,,,,none
11770,8,-0.004418,0.000224,1.771631,0.004982,0.015702,0.109289,0.012801,0.0,4.9e-05,,,,,none
11770,8,-0.03555,0.000184,1.771626,0.004982,0.013819,0.053728,0.009336,0.0,4.9e-05,,,,,none
11770,8,0.021163,0.000184,1.771624,0.004982,0.012206,0.087334,0.004785,0.0,4.9e-05,,,,,none
17597,12,-0.055836,0.000137,1.771612,0.00497,0.010241,0.100384,0.001613,0.0,6.1e-05,,,,,none
17597,12,0.006725,0.000143,1.771595,0.00497,0.010529,0.075946,0.002844,0.0,6.1e-05,,,,,none
17597,12,0.050765,0.000144,1.771587,0.00497,0.011224,0.075215,0.005844,0.0,6.1e-05,,,,,none
17597,12,0.020642,0.000174,1.771569,0.00497,0.010714,0.099818,0.007268,0.0,6.1e-05,,,,,none
17597,12,-0.038247,0.000131,1.771549,0.00497,0.011289,0.119704,0.007982,0.0,6.1e-05,,,,,none
17597,12,0.015746,0.00013,1.771531,0.00497,0.011635,0.080781,0.010921,0.0,6.1e-05,,,,,none
17597,12,-0.049905,0.000145,1.771506,0.00497,0.01137,0.074796,0.010827,0.0,6.1e-05,,,,,none
17597,12,0.027091,0.000167,1.771478,0.00497,0.013425,0.118772,0.01258,0.0,6.1e-05,,,,,none
17597,12,0.022365,0.000165,1.771444,0.00497,0.01284,0.086364,0.012335,0.0,6.1e-05,,,,,none
17597,12,-0.006264,0.000132,1.771425,0.00497,0.011792,0.050542,0.011719,0.0,6.1e-05,,,,,none
17597,12,-0.023881,0.000181,1.771408,0.00497,0.013379,0.202707,0.008391,0.0,6.1e-05,,,,,none
17597,12,0.03153,0.000131,1.771397,0.00497,0.010704,0.104896,0.008179,0.0,6.1e-05,,,,,none
23415,16,-0.047433,0.000128,1.771379,0.004958,0.010118,0.139012,0.001817,0.0,7.3e-05,,,,,none
23415,16,0.003843,0.000109,1.771367,0.004958,0.009245,0.062976,0.001178,0.0,7.3e-05,,,,,none
23415,16,0.060396,0.00013,1.771341,0.004958,0.010348,0.167672,0.000744,0.0,7.3e-05,,,,,none
23415,16,-0.099567,0.000137,1.771317,0.004958,0.011204,0.080199,0.003496,0.0,7.3e-05,,,,,none
23415,16,0.115063,0.000115,1.771294,0.004958,0.00978,0.195578,0.001082,0.0,7.3e-05,,,,,none
23415,16,-0.008763,0.00012,1.771269,0.004958,0.010264,0.481785,0.001439,0.0,7.3e-05,,,,,none
23415,16,0.047159,0.000141,1.771235,0.004958,0.011255,0.239446,0.001781,0.0,7.3e-05,,,,,none
23415,16,0.006603,0.000143,1.771199,0.004958,0.009898,0.174191,0.001426,0.0,7.3e-05,,,,,none
23415,16,-0.051557,9.8e-05,1.771165,0.004958,0.010007,0.207859,0.001645,0.0,7.3e-05,,,,,none
23415,16,-0.02626,0.000124,1.771131,0.004958,0.010197,0.1477,0.002335,0.0,7.3e-05,,,,,none
23415,16,-0.059895,0.000156,1.771108,0.004958,0.010644,0.141197,0.005028,0.0,7.3e-05,,,,,none
23415,16,0.111057,0.000174,1.771078,0.004958,0.011188,0.048053,0.009252,0.0,7.3e-05,,,,,none
29313,20,0.01711,0.000223,1.771047,0.004946,0.011451,0.192823,0.005316,0.0,8.5e-05,,,,,none
29313,20,-0.041071,0.000189,1.771025,0.004946,0.011945,0.175459,0.002733,0.0,8.5e-05,,,,,none
29313,20,0.031984,0.000122,1.771012,0.004946,0.010538,0.099559,0.002143,0.0,8.5e-05,,,,,none
29313,20,-0.001641,0.000174,1.770998,0.004946,0.012865,0.072008,0.002468,0.0,8.5e-05,,,,,none
29313,20,-0.043959,0.000149,1.770983,0.004946,0.012483,0.151595,0.006232,0.0,8.5e-05,,,,,none
29313,20,0.059272,0.000199,1.770969,0.004946,0.013828,0.122929,0.006463,0.0,8.5e-05,,,,,none
29313,20,0.01928,0.00021,1.770948,0.004946,0.015392,0.08874,0.011635,0.0,8.5e-05,,,,,none
29313,20,0.089999,0.000182,1.770913,0.004946,0.01514,0.118131,0.01292,0.0,8.5e-05,,,,,none
29313,20,-0.115384,0.000253,1.77087,0.004946,0.018851,0.342053,0.019411,0.0,8.5e-05,,,,,none
29313,20,-0.009151,0.000208,1.770831,0.004946,0.016231,0.071652,0.014637,0.0,8.5e-05,,,,,none
29313,20,0.046533,0.000211,1.770788,0.004946,0.015996,0.080584,0.012614,0.0,8.5e-05,,,,,none
29313,20,-0.033417,0.000173,1.770744,0.004946,0.014188,0.13507,0.010518,0.0,8.5e-05,,,,,none
34291,24,0.054722,0.00282,1.770705,0.004934,0.020457,0.120199,0.013219,0.0,9.7e-05,,,,,none
34291,24,0.003516,0.003334,1.770663,0.004934,0.020936,0.110182,0.014477,0.0,9.7e-05,,,,,none
34291,24,0.057351,0.000656,1.770612,0.004934,0.016146,0.046867,0.001448,0.0,9.7e-05,,,,,none
34291,24,0.115229,0.001302,1.770564,0.004934,0.017575,0.106753,0.008905,0.0,9.7e-05,,,,,none
34291,24,-0.069782,0.004364,1.770516,0.004934,0.032317,0.181872,0.009319,0.0,9.7e-05,,,,,none
34291,24,0.087571,0.001432,1.770458,0.004934,0.01788,0.062526,0.014086,0.0,9.7e-05,,,,,none
34291,24,-0.012744,0.002976,1.770412,0.004934,0.029674,0.091781,0.005842,0.0,9.7e-05,,,,,none
