global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
1722,4,-0.011424,0.012378,1.718986,0.004994,0.068562,0.230408,0.095788,0.0,3.7e-05,,,,,none
1722,4,-0.01037,0.012143,1.71906,0.004994,0.065922,0.219321,0.088988,0.0,3.7e-05,,,,,none
1722,4,-0.010417,0.011935,1.719133,0.004994,0.063949,0.283973,0.082395,0.0,3.7e-05,,,,,none
1722,4,-0.010441,0.011644,1.719204,0.004994,0.062766,0.301378,0.073586,0.0,3.7e-05,,,,,none
4076,8,0.003941,0.00746,1.719274,0.004982,0.050168,0.148127,0.042198,0.0,4.9e-05,,,,,none
4076,8,-0.053122,0.009582,1.719341,0.004982,0.054192,0.424423,0.042727,0.0,4.9e-05,,,,,none
4076,8,0.011085,0.007067,1.719411,0.004982,0.053025,0.169065,0.020843,0.0,4.9e-05,,,,,none
4076,8,-0.088965,0.00955,1.71947,0.004982,0.058998,0.286664,0.03373,0.0,4.9e-05,,,,,none
4076,8,0.00105,0.007186,1.719504,0.004982,0.05987,0.265951,0.00858,0.0,4.9e-05,,,,,none
4076,8,-0.028574,0.007669,1.719527,0.004982,0.061035,0.427927,0.008451,0.0,4.9e-05,,,,,none
4076,8,-0.029676,0.007402,1.719548,0.004982,0.065965,0.185476,0.008678,0.0,4.9e-05,,,,,none
4076,8,0.160756,0.00577,1.719563,0.004982,0.056054,0.13159,0.040172,0.0,4.9e-05,,,,,none
7612,12,-0.058779,0.005119,1.719581,0.00497,0.043672,0.199158,0.005853,0.0,6.1e-05,,,,,none
7612,12,0.11274,0.003239,1.719591,0.00497,0.037336,0.052764,0.027937,0.0,6.1e-05,,,,,none
7612,12,0.03625,0.004522,1.719606,0.00497,0.043338,0.103008,0.016931,0.0,6.1e-05,,,,,none
7612,12,-0.017665,0.003963,1.719622,0.00497,0.041449,0.194489,0.010118,0.0,6.1e-05,,,,,none
7612,12,0.081,0.003488,1.719628,0.00497,0.039473,0.07548,0.025333,0.0,6.1e-05,,,,,none
7612,12,-0.077256,0.005254,1.719631,0.00497,0.046479,0.213279,0.004451,0.0,6.1e-05,,,,,none
7612,12,0.014676,0.004839,1.719633,0.00497,0.044677,0.101616,0.013469,0.0,6.1e-05,,,,,none
7612,12,0.013744,0.00331,1.719638,0.00497,0.036157,0.104597,0.010641,0.0,6.1e-05,,,,,none
9396,16,-0.006945,0.009164,1.71964,0.004958,0.058656,0.142689,0.053483,0.0,7.3e-05,,,,,none
9396,16,-0.006363,0.009124,1.719632,0.004958,0.058077,0.13639,0.054426,0.0,7.3e-05,,,,,none
9396,16,-0.005973,0.00907,1.719616,0.004958,0.057807,0.10536,0.05438,0.0,7.3e-05,,,,,none
9396,16,-0.006335,0.008993,1.719608,0.004958,0.057916,0.297964,0.05283,0.0,7.3e-05,,,,,none
13502,20,-0.017009,0.002306,1.71961,0.004946,0.031109,0.171079,0.007452,0.0,8.5e-05,,,,,none
13502,20,0.074393,0.00401,1.719614,0.004946,0.039719,0.130492,0.021597,0.0,8.5e-05,,,,,none
13502,20,-0.744784,0.008238,1.719617,0.004946,0.111553,3.063838,0.082305,0.0,8.5e-05,,,,,none
13502,20,-0.053471,0.003591,1.719629,0.004946,0.041682,0.051802,0.012744,0.0,8.5e-05,,,,,none
13502,20,0.095551,0.002877,1.719643,0.004946,0.039217,0.08544,0.034885,0.0,8.5e-05,,,,,none
13502,20,0.128528,0.000275,1.719656,0.004946,0.022843,0.10632,0.042917,0.0,8.5e-05,,,,,none
13502,20,0.022584,0.002258,1.719646,0.004946,0.039331,0.203086,0.0304,0.0,8.5e-05,,,,,none
13502,20,0.02118,0.004176,1.719647,0.004946,0.04481,0.156117,0.025015,0.0,8.5e-05,,,,,none
13502,20,-0.013969,9.1e-05,1.719643,0.004946,0.012497,0.11304,0.019629,0.0,8.5e-05,,,,,none
13502,20,0.009337,0.003047,1.719642,0.004946,0.044114,0.081037,0.027455,0.0,8.5e-05,,,,,none
13502,20,0.029524,0.003239,1.719646,0.004946,0.038042,0.178551,0.024201,0.0,8.5e-05,,,,,none
13502,20,0.336548,0.000854,1.719651,0.004946,0.040232,0.424067,0.071051,0.0,8.5e-05,,,,,none
14944,24,-0.006171,0.009659,1.719654,0.004934,0.063898,0.05679,0.046408,0.0,9.7e-05,,,,,none
14944,24,-0.006134,0.009596,1.719652,0.004934,0.064326,0.054872,0.044418,0.0,9.7e-05,,,,,none
14944,24,-0.006152,0.009506,1.719646,0.004934,0.065388,0.088721,0.040897,0.0,9.7e-05,,,,,none
14944,24,-0.006517,0.009403,1.71963,0.004934,0.06688,0.287741,0.036496,0.0,9.7e-05,,,,,none
18958,28,0.014417,0.001947,1.719603,0.004922,0.034794,0.087021,0.029874,0.0,0.0001,,,,,none
18958,28,0.037553,0.003122,1.71959,0.004922,0.041712,0.122593,0.035153,0.0,0.0001,,,,,none
18958,28,0.034508,0.002571,1.719585,0.004922,0.03922,0.118953,0.035531,0.0,0.0001,,,,,none
18958,28,0.017738,0.002481,1.719587,0.004922,0.04021,0.081841,0.034567,0.0,0.0001,,,,,none
18958,28,-0.005096,0.00274,1.719597,0.004922,0.040309,0.076438,0.031071,0.0,0.0001,,,,,none
