episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1215,344.1808,344.1808,1215,0,0,1,0,0.9113,2.122,collision,15.3,0.033011,0.40979,-0.866769,0.846952,5.129705,0.884533,0.630921,5.993323,0.362615,0.387034,-0.610651,1.0,,,,,,,,,,,,,,0,none
2,3085,83.5745,213.8776,1870,0,0,1,0,0.9581,2.076,collision,38.7,0.025346,0.422011,-0.85638,0.8745,4.701484,1.161568,0.280024,5.988843,0.334389,0.406968,-1.0,1.0,,,,,,,,,,,,,,0,none
3,4359,361.1688,262.9747,1274,0,0,1,0,0.9021,2.105,collision,54.6,0.055849,0.413209,-0.877749,0.87039,5.088915,0.926816,0.756851,5.983784,0.365743,0.387727,-0.613627,1.001483,,,,,,,,,,,,,,0,none
4,5822,603.2395,348.0409,1463,1,1,0,0,0.298,2.084,goal,75.1,0.028915,0.427504,-0.874014,0.867968,5.083259,0.951768,0.310041,5.996878,0.387249,0.399073,-0.682001,1.0,0.007246,0.003674,1.722926,0.004994,0.04634,0.082781,0.010656,0.0,3.7e-05,,,,,0,none
5,7278,607.0502,399.8428,1456,1,1,0,0,0.2994,2.106,goal,93.5,0.001604,0.414741,-0.857718,0.841734,5.090163,0.946904,0.67139,5.995486,0.389593,0.397791,-0.541551,1.0,,,,,,,,,,,,,,0,none
6,8707,597.2363,432.7417,1429,1,1,0,0,0.2995,2.113,goal,111.8,0.008359,0.412112,-0.89295,0.871604,5.087972,0.918783,0.900649,5.997393,0.390944,0.400211,-0.513774,1.0,,,,,,,,,,,,,,0,none
7,10152,603.9531,457.2004,1445,1,1,0,0,0.2999,2.11,goal,130.0,-0.00162,0.415249,-0.880105,0.86449,5.072599,0.950358,0.781533,5.994408,0.387365,0.397663,-0.494023,1.0,,,,,,,,,,,,,,0,none
8,11671,596.3085,474.589,1519,1,1,0,0,0.299,2.091,goal,150.4,-0.008443,0.423379,-0.858883,0.86508,5.103728,0.938134,0.598033,5.987848,0.403236,0.407176,-0.904077,1.0,-0.010209,0.000355,1.723745,0.004982,0.019022,0.241009,0.009942,0.0,4.9e-05,,,,,0,none
9,13092,596.0674,488.0866,1421,1,1,0,0,0.2996,2.1,goal,168.0,-0.008943,0.420294,-0.862543,0.864032,5.066053,0.962711,0.33112,5.987315,0.389222,0.399077,-0.512617,1.0,,,,,,,,,,,,,,0,none
10,14536,601.0003,499.3779,1444,1,1,0,0,0.2992,2.139,goal,187.0,0.022401,0.399312,-0.83597,0.882344,5.142014,0.881016,0.33747,5.994433,0.392923,0.400564,-0.511653,1.008253,,,,,,,,,,,,,,0,none
11,16407,77.0868,472.6685,1871,0,0,1,0,0.9632,2.089,collision,211.0,0.029959,0.411833,-0.852504,0.88099,4.73146,1.148394,0.27853,5.981548,0.335918,0.408047,-1.0,1.0,,,,,,,,,,,,,,0,none
12,17866,605.4402,524.8551,1459,1,1,0,0,0.298,2.13,goal,230.6,0.015905,0.400552,-0.878398,0.87802,5.097888,0.931291,0.629648,5.988008,0.391305,0.400734,-0.567752,1.010565,-0.018268,0.002147,1.724928,0.00497,0.03679,0.175046,0.011835,0.0,6.1e-05,,,,,0,none
13,19273,587.9446,547.5327,1407,1,1,0,0,0.2999,2.111,goal,247.8,0.036975,0.410244,-0.84542,0.830263,5.086547,0.949519,0.732853,5.994024,0.392696,0.399885,-0.591349,1.0,,,,,,,,,,,,,,0,none
