global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5822,4,-0.05974,0.004002,1.72259,0.004994,0.047294,0.057123,0.036165,0.0,3.7e-05,,,,,none
5822,4,0.063182,0.003409,1.722664,0.004994,0.038368,0.065313,0.013114,0.0,3.7e-05,,,,,none
5822,4,0.017907,0.004109,1.722719,0.004994,0.047544,0.11657,0.011108,0.0,3.7e-05,,,,,none
5822,4,-0.034566,0.003678,1.722774,0.004994,0.043854,0.059844,0.013704,0.0,3.7e-05,,,,,none
5822,4,0.011557,0.003146,1.722835,0.004994,0.046488,0.041462,0.006866,0.0,3.7e-05,,,,,none
5822,4,0.050577,0.004271,1.722896,0.004994,0.048789,0.109033,0.006976,0.0,3.7e-05,,,,,none
5822,4,-0.020095,0.003358,1.722956,0.004994,0.045611,0.056938,0.00731,0.0,3.7e-05,,,,,none
5822,4,0.032549,0.003433,1.72302,0.004994,0.047319,0.043683,0.008319,0.0,3.7e-05,,,,,none
5822,4,0.009241,0.004101,1.723076,0.004994,0.049916,0.170902,0.004561,0.0,3.7e-05,,,,,none
5822,4,0.040512,0.003375,1.723134,0.004994,0.041418,0.057366,0.006095,0.0,3.7e-05,,,,,none
5822,4,0.006182,0.004307,1.723194,0.004994,0.052175,0.115958,0.006015,0.0,3.7e-05,,,,,none
5822,4,-0.03035,0.002901,1.72325,0.004994,0.047309,0.099177,0.007638,0.0,3.7e-05,,,,,none
11671,8,-0.05336,0.000375,1.723307,0.004982,0.019786,0.181578,0.026407,0.0,4.9e-05,,,,,none
11671,8,0.071533,0.000446,1.723382,0.004982,0.020217,0.166436,0.024981,0.0,4.9e-05,,,,,none
11671,8,-0.055866,0.000326,1.723463,0.004982,0.01724,0.387263,0.013516,0.0,4.9e-05,,,,,none
11671,8,0.001853,0.000333,1.723539,0.004982,0.017521,0.157923,0.011434,0.0,4.9e-05,,,,,none
11671,8,-0.021934,0.000371,1.723617,0.004982,0.019831,0.187739,0.003999,0.0,4.9e-05,,,,,none
11671,8,-0.006183,0.000308,1.723697,0.004982,0.018178,0.223542,0.003123,0.0,4.9e-05,,,,,none
11671,8,-0.007972,0.00035,1.723779,0.004982,0.019763,0.456196,0.0053,0.0,4.9e-05,,,,,none
11671,8,0.021574,0.000463,1.723857,0.004982,0.022482,0.433049,0.007199,0.0,4.9e-05,,,,,none
11671,8,-0.044605,0.00025,1.723942,0.004982,0.016181,0.275937,0.003433,0.0,4.9e-05,,,,,none
11671,8,-0.090544,0.000345,1.724029,0.004982,0.020182,0.156799,0.008717,0.0,4.9e-05,,,,,none
11671,8,0.08393,0.000348,1.724122,0.004982,0.018283,0.029975,0.007328,0.0,4.9e-05,,,,,none
11671,8,-0.020929,0.00035,1.72421,0.004982,0.018599,0.235672,0.003872,0.0,4.9e-05,,,,,none
17866,12,0.026176,0.001787,1.724288,0.00497,0.032333,0.078595,0.006206,0.0,6.1e-05,,,,,none
17866,12,-0.018113,0.002528,1.724382,0.00497,0.039439,0.081409,0.009576,0.0,6.1e-05,,,,,none
17866,12,-0.033277,0.002271,1.724475,0.00497,0.034809,0.151575,0.008733,0.0,6.1e-05,,,,,none
17866,12,0.341897,0.000308,1.724561,0.00497,0.016465,0.444449,0.028311,0.0,6.1e-05,,,,,none
17866,12,-0.080362,0.002417,1.724643,0.00497,0.036764,0.047714,0.013434,0.0,6.1e-05,,,,,none
17866,12,0.015556,0.00231,1.724717,0.00497,0.037331,0.109039,0.008457,0.0,6.1e-05,,,,,none
17866,12,0.062131,0.001731,1.724791,0.00497,0.031351,0.137108,0.008608,0.0,6.1e-05,,,,,none
17866,12,-0.204327,0.002308,1.724866,0.00497,0.039818,0.195525,0.025685,0.0,6.1e-05,,,,,none
17866,12,0.020349,0.002064,1.724956,0.00497,0.035211,0.135628,0.010089,0.0,6.1e-05,,,,,none
17866,12,-0.053846,0.002174,1.725041,0.00497,0.03542,0.067967,0.016721,0.0,6.1e-05,,,,,none
17866,12,0.031963,0.002094,1.725127,0.00497,0.03587,0.193337,0.00505,0.0,6.1e-05,,,,,none
17866,12,-0.245229,0.003578,1.725207,0.00497,0.05478,0.34626,0.020087,0.0,6.1e-05,,,,,none
17866,12,0.087659,0.00176,1.725308,0.00497,0.03274,0.053016,0.005503,0.0,6.1e-05,,,,,none
17866,12,-0.054112,0.002474,1.725403,0.00497,0.040686,0.100157,0.005402,0.0,6.1e-05,,,,,none
17866,12,-0.038209,0.002031,1.7255,0.00497,0.03915,0.11508,0.004473,0.0,6.1e-05,,,,,none
17866,12,-0.150549,0.002513,1.725587,0.00497,0.046475,0.543869,0.013026,0.0,6.1e-05,,,,,none
23269,16,0.00305,0.003031,1.725639,0.004958,0.030112,0.107644,0.008417,0.0,7.3e-05,,,,,none
23269,16,0.060904,0.000955,1.725707,0.004958,0.026239,0.191021,0.008721,0.0,7.3e-05,,,,,none
23269,16,0.009848,0.003056,1.725769,0.004958,0.033115,0.243837,0.006471,0.0,7.3e-05,,,,,none
23269,16,-0.027213,0.00196,1.725824,0.004958,0.03422,0.188401,0.011499,0.0,7.3e-05,,,,,none
23269,16,0.022145,0.002626,1.725878,0.004958,0.032004,0.17494,0.019425,0.0,7.3e-05,,,,,none
23269,16,0.118787,0.002074,1.72593,0.004958,0.036645,0.151142,0.032896,0.0,7.3e-05,,,,,none
23269,16,0.042846,0.002528,1.725979,0.004958,0.038372,0.148733,0.027772,0.0,7.3e-05,,,,,none
23269,16,0.05473,0.000857,1.726027,0.004958,0.029946,0.210789,0.030755,0.0,7.3e-05,,,,,none
23269,16,-0.037952,0.00374,1.726072,0.004958,0.037703,0.327973,0.011278,0.0,7.3e-05,,,,,none
23269,16,0.075003,0.001391,1.726122,0.004958,0.028973,0.249188,0.019679,0.0,7.3e-05,,,,,none
23269,16,0.007811,0.002657,1.726169,0.004958,0.029563,0.30656,0.004068,0.0,7.3e-05,,,,,none
23269,16,-0.014893,0.002253,1.726218,0.004958,0.028512,0.20624,0.008319,0.0,7.3e-05,,,,,none
28519,20,0.001229,0.002436,1.72627,0.004946,0.031416,0.109015,0.017959,0.0,8.5e-05,,,,,none
28519,20,0.139904,0.00142,1.726321,0.004946,0.022876,0.076173,0.008358,0.0,8.5e-05,,,,,none
28519,20,-0.134629,0.005074,1.726364,0.004946,0.042694,0.10051,0.043064,0.0,8.5e-05,,,,,none
28519,20,0.003975,0.002457,1.726392,0.004946,0.03136,0.106576,0.029799,0.0,8.5e-05,,,,,none
